"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"AASDHPPT","0.109","0.623","0.284","2","hsa-miR-8073","hsa-miR-27a-5p","",""
"ABL1","0.125","0.623","0.308","2","hsa-miR-203a-3p","hsa-miR-8073","",""
"ABL2","0.0774","0.623","0.337","3","hsa-miR-490-3p","hsa-miR-1208","hsa-miR-122-3p",""
"ACBD5","0.128","0.623","0.313","2","hsa-miR-16-2-3p","hsa-miR-122-3p","",""
"ACBD7","0.0938","0.623","0.260","2","hsa-miR-3130-3p","hsa-miR-2277-3p","",""
"ACOX1","0.297","0.623","0.543","2","hsa-miR-450a-1-3p","hsa-miR-491-5p","",""
"ACVR1B","0.141","0.623","0.332","2","hsa-miR-199a-5p","hsa-miR-518b","",""
"ADCYAP1","0.0233","0.623","0.120","2","hsa-miR-106a-3p","hsa-miR-8073","",""
"ADM2","0.0794","0.623","0.236","2","hsa-miR-106a-3p","hsa-miR-4485-5p","",""
"ADORA2B","0.0269","0.623","0.130","2","hsa-miR-452-5p","hsa-miR-1208","",""
"AGAP9","0.196","0.623","0.409","2","hsa-miR-450a-1-3p","hsa-miR-4485-5p","",""
"AGTRAP","0.0656","0.623","0.314","3","hsa-miR-8073","hsa-miR-199a-5p","hsa-miR-450a-1-3p",""
"AKIRIN1","0.175","0.623","0.380","2","hsa-miR-1207-3p","hsa-miR-3140-5p","",""
"ALG14","0.221","0.623","0.442","2","hsa-miR-506-3p","hsa-miR-8073","",""
"AMOTL1","0.141","0.623","0.332","2","hsa-miR-506-3p","hsa-miR-16-2-3p","",""
"ANP32E","0.239","0.623","0.467","2","hsa-miR-16-2-3p","hsa-miR-506-3p","",""
"AQR","0.135","0.623","0.322","2","hsa-miR-450a-1-3p","hsa-miR-3130-3p","",""
"AR","0.239","0.623","0.467","2","hsa-miR-491-5p","hsa-miR-16-2-3p","",""
"ARHGAP1","0.175","0.623","0.380","2","hsa-miR-506-3p","hsa-miR-198","",""
"ARL6IP1","0.308","0.623","0.558","2","hsa-miR-1208","hsa-miR-16-2-3p","",""
"ASNA1","0.0631","0.623","0.207","2","hsa-miR-203a-3p","hsa-miR-491-5p","",""
"ASPA","0.0605","0.623","0.202","2","hsa-miR-203a-3p","hsa-miR-490-3p","",""
"ATF7IP","0.268","0.623","0.505","2","hsa-miR-198","hsa-miR-4485-5p","",""
"BACE2","0.0640","0.623","0.311","3","hsa-miR-2277-3p","hsa-miR-1207-3p","hsa-miR-198",""
"BAMBI","0.165","0.623","0.366","2","hsa-miR-450a-1-3p","hsa-miR-1207-3p","",""
"BCL2L2","0.109","0.623","0.284","2","hsa-miR-203a-3p","hsa-miR-8073","",""
