"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"ANGPTL3","0.000881","0.339","0.156","5","hsa-miR-4802-3p","hsa-miR-548l","hsa-miR-6717-5p","hsa-miR-498","hsa-miR-6829-3p",""
"CNNM1","0.000520","0.339","0.0558","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","","",""
"CSTF2","0.000720","0.339","0.150","5","hsa-miR-124-5p","hsa-miR-498","hsa-miR-3973","hsa-miR-8072","hsa-miR-4285",""
"LMAN2L","0.000158","0.339","0.0725","4","hsa-miR-124-5p","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","",""
"NFATC2IP","0.000881","0.339","0.156","5","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-512-3p","hsa-miR-4483","hsa-miR-4680-5p",""
"SPTY2D1","0.000366","0.339","0.129","5","hsa-miR-490-3p","hsa-miR-3124-3p","hsa-miR-4802-3p","hsa-miR-4722-3p","hsa-miR-3973",""
"STPG1","0.000641","0.339","0.103","4","hsa-miR-6829-3p","hsa-miR-4483","hsa-miR-4722-3p","hsa-miR-498","",""
"SLC4A4","0.00107","0.362","0.0707","3","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-6829-3p","","",""
"AGMO","0.00190","0.503","0.0855","3","hsa-miR-6829-3p","hsa-miR-498","hsa-miR-4722-3p","","",""
"CENPI","0.00216","0.503","0.0893","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","","",""
"LRIF1","0.00224","0.503","0.192","5","hsa-miR-1254","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-1208","hsa-miR-512-3p",""
"PIGG","0.00218","0.503","0.142","4","hsa-miR-4680-5p","hsa-miR-106a-3p","hsa-miR-6829-3p","hsa-miR-3124-3p","",""
"RASA2","0.00244","0.506","0.0391","2","hsa-miR-3973","hsa-miR-548l","","","",""
"C11orf1","0.00643","0.525","0.130","3","hsa-miR-512-3p","hsa-miR-4722-3p","hsa-miR-498","","",""
"CENPM","0.00473","0.525","0.176","4","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-1207-3p","hsa-miR-4722-3p","",""
"CSNK1E","0.00622","0.525","0.190","4","hsa-miR-4483","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-1207-3p","",""
"DCP1A","0.00752","0.525","0.138","3","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-1208","","",""
"DNASE2","0.00936","0.525","0.149","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","","",""
"ETFDH","0.00455","0.525","0.115","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","","",""
"GJA9","0.00741","0.525","0.0669","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"GTF3C6","0.00689","0.525","0.195","4","hsa-miR-4680-5p","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","",""
"IL17RD","0.00621","0.525","0.0614","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"IPP","0.00535","0.525","0.234","5","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-1207-3p","hsa-miR-3973","hsa-miR-498",""
"ITGA2","0.00580","0.525","0.239","5","hsa-miR-1255a","hsa-miR-4483","hsa-miR-196a-3p","hsa-miR-4722-3p","hsa-miR-6829-3p",""
