Score,Name,Disease categories,# Total Genes,# Matched Genes,Matched Genes (Symbols),Evidence URL,Genetic Associations,Matched Genes for Genetic Associations,Diferentially Expressed Genes in Tissue Samples,Genes Matched to Differentially Expressed Genes
9.40,Breast Cancer,"Skin diseases, Reproductive diseases, Immune diseases, Genetic diseases, Rare diseases, Cancer diseases",1682,14,"MMP2, MMP9, PIK3CB, MFAP2, EGFR, CYP1A1, FANCA, TERT, RTN2, RHOC, PIN1, NQO2, ST18, SPC25",https://www.malacards.org/card/breast_cancer,"Causative mutation, Risk factor",NQO2,Breast,"EGFR, MFAP2, MMP9, RTN2, SPC25"
7.00,Ovarian Cancer,"Reproductive diseases, Endocrine diseases, Genetic diseases, Rare diseases, Cancer diseases",845,8,"PIK3CB, MMP2, MMP9, CYP1A1, FANCA, EGFR, RHOC, TERT",https://www.malacards.org/card/ovarian_cancer,Causative mutation,"EGFR, FANCA",,
6.79,Prostate Cancer,"Reproductive diseases, Genetic diseases, Rare diseases, Cancer diseases",1262,9,"EGFR, CYP1A1, ELOC, MYO1F, PIK3CB, MMP9, MMP2, RHOC, TERT",https://www.malacards.org/card/prostate_cancer,Causative mutation,EGFR,Bone,MYO1F
6.48,Bladder Cancer,"Nephrological diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",594,7,"PIK3CB, MMP9, MMP2, CYP1A1, EGFR, RHOC, TERT",https://www.malacards.org/card/bladder_cancer,Causative mutation,"EGFR, TERT",,
6.42,Lung Cancer,"Endocrine diseases, Neuronal diseases, Respiratory diseases, Genetic diseases, Cancer diseases",1236,8,"CYB5A, F2RL3, CYP1A1, EGFR, MMP9, MMP2, PIK3CB, TERT",https://www.malacards.org/card/lung_cancer,"Causative mutation, Risk factor, Genetic tests",EGFR,,
5.85,Squamous Cell Carcinoma,"Skin diseases, Rare diseases, Cancer diseases",257,6,"TERT, CYP1A1, EGFR, MMP9, MMP2, PIK3CB",https://www.malacards.org/card/squamous_cell_carcinoma,Causative mutation,EGFR,,
5.69,Hepatocellular Carcinoma,"Gastrointestinal diseases, Liver diseases, Genetic diseases, Rare diseases, Cancer diseases",878,7,"EGFR, CYP1A1, GRAMD1C, MMP9, MMP2, TERT, RHOC",https://www.malacards.org/card/hepatocellular_carcinoma,Causative mutation,TERT,Liver,GRAMD1C
5.58,"Leukemia, Acute Myeloid","Immune diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",644,7,"TERT, FANCA, EGFR, PIK3CB, MLLT1, MMP9, MMP2",https://www.malacards.org/card/leukemia_acute_myeloid,"Causative mutation, Risk factor, Genetic tests",TERT,,
5.36,Nervous System Disease,"Immune diseases, Blood diseases, Neuronal diseases, Rare diseases",986,7,"SNAP25, RMND1, TERT, MMP9, MMP2, PIK3CB, EGFR",https://www.malacards.org/card/nervous_system_disease,Causative mutation,RMND1,,
5.32,Esophageal Cancer,"Gastrointestinal diseases, Genetic diseases, Rare diseases, Cancer diseases",345,6,"CYP1A1, EGFR, MMP2, MMP9, PIK3CB, TERT",https://www.malacards.org/card/esophageal_cancer,Causative mutation,EGFR,,
