Feature,Normalized Importance
SVM_hsa-miR-1228-5p,1.0
SVM_hsa-miR-6746-5p,-1.445455006101473
SVM_hsa-miR-4648,-1.0421939435889347
SVM_hsa-miR-4787-3p,0.16549211896608407
SVM_hsa-miR-7110-5p,-1.0041206480276366
SVM_hsa-miR-4481,0.03749118073335964
SVM_hsa-miR-575,0.029427632933396983
SVM_hsa-miR-6825-5p,-0.8844013437454209
SVM_hsa-miR-1238-5p,-0.8739005261363543
SVM_hsa-miR-128-1-5p,-0.0
XGB_hsa-miR-1228-5p,1.0
XGB_hsa-miR-6746-5p,-1.445455006101473
XGB_hsa-miR-4648,-1.0421939435889347
XGB_hsa-miR-4787-3p,0.16549211896608407
XGB_hsa-miR-7110-5p,-1.0041206480276366
XGB_hsa-miR-4481,0.03749118073335964
XGB_hsa-miR-575,0.029427632933396983
XGB_hsa-miR-6825-5p,-0.8844013437454209
XGB_hsa-miR-1238-5p,-0.8739005261363543
XGB_hsa-miR-128-1-5p,-0.0
