,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-28-3p,1.1276009863074792,-0.14662386879670997,0.25610181480208993,-0.5725217875164915,0.5669685296754625,0.9335280492027537
hsa-miR-27a-5p,1.1331800817165727,0.10681486983141775,0.2649429925091172,0.40316170969399023,0.6868292660411602,0.9767715025347828
hsa-miR-518b,2.1088056992054325,-0.11955494004213627,0.15469346685877955,-0.7728506088190432,0.43961079815864945,0.8710937439397676
hsa-miR-520b,1.5691025806935983,-0.005341233344035899,0.22038568403524966,-0.024235845297381445,0.980664486107844,0.9981611377863947
hsa-miR-498,5.616244137600092,0.009254076018729986,0.056171790144139803,0.16474596937330171,0.8691439329751437,0.9879591661715004
hsa-miR-512-3p,1.4775472132726517,-0.0054502306411547295,0.21450388120985356,-0.02540854091037475,0.9797290986470986,0.9981611377863947
hsa-miR-491-5p,4.69600356915827,-0.09378173898453357,0.060927070540240394,-1.5392458254265433,0.12374429408151863,0.6006548471184588
hsa-miR-490-3p,2.2046912432709007,-0.11272637149331935,0.15679185233195558,-0.7189555440333598,0.4721683114723658,0.8902949641056969
hsa-miR-452-5p,1.7723308014864745,-0.005137319131679961,0.19523029298762062,-0.02631414957721604,0.9790067690890829,0.9981611377863947
hsa-miR-451a,7.642452381341212,0.08810432757345091,0.04887165323475015,1.8027695349336863,0.07142441656276814,0.5221816578854602
hsa-miR-1302,0.8654147795357295,-0.07644826985997981,0.33420051894333846,-0.22874970422455004,0.8190634604674667,0.986222160025139
hsa-miR-548l,0.39108544580990096,-0.07948003841940982,0.4919220186152685,-0.16157040224209,0.8716441666112836,
hsa-miR-1208,0.6485514101592603,0.06356712910457829,0.35979604339200494,0.17667545341881552,0.8597633228739598,0.9879591661715004
hsa-miR-1207-3p,1.1474079632484468,-0.07793717050163984,0.2425302025994679,-0.32135037066023064,0.747944888600821,0.9816960290752765
hsa-miR-124-5p,0.8355405973281383,0.2174984929243497,0.30323194821145477,0.7172677358280204,0.4732089111847253,0.8902949641056969
hsa-miR-122-3p,0.7804398293523326,0.1499810363297317,0.33578815940353746,0.4466537372733569,0.6551250894989927,0.9618805000223063
"hsa-miR-199a-3p, hsa-miR-199b-3p",0.655449756610771,0.35941071119708107,0.37351484968900656,0.962239416977213,0.3359293533008434,0.8087076059977782
hsa-miR-196a-3p,0.7409058268316898,0.12663667422831423,0.3409549774244615,0.371417584764166,0.7103265300629392,0.9767715025347828
hsa-miR-16-2-3p,0.9998330826027052,0.1456210407047103,0.273079752680123,0.5332546235139087,0.593857334029954,0.9447649682168284
hsa-miR-106a-3p,2.276139600545592,0.0793699813590143,0.14941291038802948,0.5312123373601936,0.5952716445225006,0.9447649682168284
hsa-miR-4281,10.407195340049423,-0.010293834951000514,0.04115595097560518,-0.2501177765787041,0.8024962690794675,0.9846724866358867
hsa-miR-4271,7.317712545145009,-0.033341985495017205,0.0489089388853517,-0.6817155770476792,0.4954188157637959,0.8982056375419744
hsa-miR-3130-3p,1.305097302114582,-0.1269152797041068,0.22299227429205865,-0.5691465325739609,0.5692567019562087,0.9354785135480362
hsa-miR-4285,1.2235368571050915,-0.17826456434187749,0.2257618629156814,-0.7896132767493,0.4297536521265941,0.8680666341536136
hsa-miR-2277-3p,1.9075142433694219,0.09321964027191555,0.1679677191844475,0.5549854503266183,0.5789046123969617,0.9394337521780846
hsa-miR-2276-3p,2.5089785375839617,0.07050625246728501,0.12449170693918499,0.5663530061623122,0.5711538339546288,0.9373463386805326
hsa-miR-1270,0.5987897822411242,0.5438573804455615,0.40871095152070963,1.3306650541709402,0.18329924652745455,0.6796346637543946
hsa-miR-1269a,0.8679474775539212,0.33017324687250643,0.2992141219078908,1.1034681276645961,0.2698239252644481,0.7572489533653451
hsa-miR-1255a,0.566398247916299,0.44253983279973114,0.39783250489666677,1.112377262674091,0.2659759765441915,0.7535986002085425
hsa-miR-1254,6.031044073278835,-0.0021201598907782727,0.0540920801188801,-0.039195384723950746,0.968734613267514,0.9981611377863947
hsa-miR-4424,1.0052672612377722,-0.149704999126862,0.30870450677751293,-0.48494594617226044,0.6277146891899383,0.9580329780574443
hsa-miR-4785,1.2905731849837951,-0.018446117207480975,0.23436831082565168,-0.07870567971624448,0.9372667277371971,0.9945368461097158
hsa-miR-4680-5p,0.42693037901479197,0.09790377759844618,0.465142461282704,0.2104812734757885,0.8332920659011265,
hsa-miR-3124-3p,0.6085684852988037,0.051095969138967294,0.3660847190986668,0.13957416541386958,0.8889964537964786,0.9881418578663738
hsa-miR-4722-3p,2.825747773789569,0.17367952345487278,0.11080178309677202,1.5674794989822918,0.11700265449785982,0.591902987407227
hsa-miR-3140-5p,0.6137993452628376,0.6567242685615557,0.3752436840778893,1.7501274409864274,0.08009632564645962,0.5379766831567383
hsa-miR-4709-5p,0.711499937958059,0.2175413012758927,0.33892362501791307,0.6418593606875148,0.5209645030467267,0.9086941230973109
hsa-miR-3973,0.8530872433197569,0.24355636463840422,0.31459721857147527,0.7741847361027102,0.4388215534211217,0.8707565114459115
hsa-miR-3186-3p,2.7877535373475455,-0.013142717107174698,0.10538548105663297,-0.12471088972979068,0.9007524359536478,0.9881418578663738
hsa-miR-3065-5p,1.8970867865139682,0.062671605783902,0.1680812264656639,0.3728649957031622,0.7092489256908932,0.9767715025347828
hsa-miR-4483,5.459342395496817,0.06981653966317417,0.057567500688713094,1.2127769805518527,0.2252150986728273,0.7194754841656975
hsa-miR-4525,10.923619143307137,0.013717551153047987,0.04036697687546951,0.33982111653706637,0.7339912445668062,0.9767715025347828
hsa-miR-5194,1.2731238625386243,0.2427279571468185,0.2251458311655461,1.0780921675975628,0.28099262663490654,0.7592924755167976
hsa-miR-5193,2.1586126033151216,0.05173869829557156,0.1441441867648968,0.35893711329447386,0.7196421347269655,0.9767715025347828
hsa-miR-5087,0.6512021123953197,0.20992171643690863,0.35192375806377785,0.5964977118676521,0.5508427819881031,0.9283462698324682
hsa-miR-5011-3p,0.9285530236907568,0.4449403925372419,0.3064343057831082,1.4519927571430828,0.14650361914968654,0.6316276084832525
hsa-miR-4501,0.9525018910131432,0.6455259806436826,0.3008588224696805,2.145610939193038,0.031904031954642025,0.44158632813753823
hsa-miR-4802-5p,1.1470957782920566,0.500268142199884,0.27765554137408655,1.801758177503364,0.07158346041070017,0.5221816578854602
hsa-miR-4802-3p,1.5253041525465518,0.5180662501550499,0.22650665047887722,2.2872010559502844,0.022184090422009854,0.4032821759360165
hsa-miR-4801,2.2358319855697544,0.24756138153264862,0.1584544745272394,1.562350209871108,0.11820550969270315,0.591902987407227
hsa-miR-4715-3p,1.5666504638110754,0.0862989095135462,0.2057094838592604,0.4195183804582828,0.6748373245519408,0.9762171390965576
hsa-miR-4658,4.522456182323796,0.08654151387501344,0.06429645020973393,1.345976544470441,0.17831008113094904,0.6759159671660223
hsa-miR-329-5p,1.1458547723660162,0.20951318267901284,0.255386411624669,0.8203771741267338,0.412001123744573,0.8637162678089312
hsa-miR-433-5p,1.2008363501612962,0.17495286843922378,0.24406602220394572,0.7168259918335957,0.4734814718071798,0.8902949641056969
