"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10"
"NPR1","0.0000157","0.0505","0.177","9","hsa-miR-320a","hsa-miR-1343-3p","hsa-miR-197-5p","hsa-miR-6861-5p","hsa-miR-6131","hsa-miR-6088","hsa-miR-4419b","hsa-miR-6746-5p","hsa-miR-1247-3p",""
"CSK","0.0000511","0.0819","0.0862","5","hsa-miR-1233-5p","hsa-miR-663a","hsa-miR-6769a-5p","hsa-miR-6787-5p","hsa-miR-92b-5p","","","","",""
"SBF1","0.0000925","0.0988","0.162","7","hsa-miR-320a","hsa-miR-4675","hsa-miR-4690-5p","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-92b-5p","","",""
"HIST1H2BO","0.000242","0.157","0.0808","4","hsa-miR-92b-5p","hsa-miR-320a","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","",""
"PTPN9","0.000245","0.157","0.119","5","hsa-miR-320a","hsa-miR-197-5p","hsa-miR-4690-5p","hsa-miR-6756-5p","hsa-miR-6769a-5p","","","","",""
"ABHD12","0.000337","0.159","0.127","5","hsa-miR-1247-3p","hsa-miR-320a","hsa-miR-4532","hsa-miR-4706","hsa-miR-6802-5p","","","","",""
"DSG3","0.000584","0.159","0.0584","3","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","",""
"H2AFX","0.000543","0.159","0.140","5","hsa-miR-320a","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-6131","","","","",""
"HOXB8","0.000590","0.159","0.101","4","hsa-miR-320a","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4687-5p","","","","","",""
"IL10RB","0.000389","0.159","0.0909","4","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-6088","","","","","",""
"MRPL36","0.000449","0.159","0.0943","4","hsa-miR-6861-5p","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","","","","","",""
"ZNF556","0.000596","0.159","0.217","7","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-4734","hsa-miR-8073","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4419b","","",""
"CLCN7","0.000670","0.165","0.104","4","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-4419b","","","","","",""
"LRIT3","0.000736","0.169","0.0628","3","hsa-miR-4758-5p","hsa-miR-1238-5p","hsa-miR-6088","","","","","","",""
"ABL1","0.00142","0.207","0.172","5","hsa-miR-1233-5p","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-6802-5p","hsa-miR-8073","","","","",""
"ASB6","0.00183","0.207","0.224","6","hsa-miR-1247-3p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-320a","hsa-miR-1233-5p","","","",""
"C3orf36","0.00163","0.207","0.178","5","hsa-miR-4758-5p","hsa-miR-1238-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","",""
"ERAP2","0.00159","0.207","0.0808","3","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","",""
"GTPBP10","0.00163","0.207","0.178","5","hsa-miR-4787-3p","hsa-miR-6746-5p","hsa-miR-4419b","hsa-miR-1247-3p","hsa-miR-4532","","","","",""
"HIST1H2BL","0.00134","0.207","0.0763","3","hsa-miR-320a","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","","",""
"NPW","0.00172","0.207","0.0337","2","hsa-miR-663a","hsa-miR-6787-5p","","","","","","","",""
"PHYKPL","0.00187","0.207","0.0853","3","hsa-miR-6769a-5p","hsa-miR-6756-5p","hsa-miR-197-5p","","","","","","",""
"POU3F1","0.00162","0.207","0.131","4","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4532","hsa-miR-1247-3p","","","","","",""
"PTGR2","0.00163","0.207","0.178","5","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1247-3p","hsa-miR-4419b","hsa-miR-6746-5p","","","","",""
"SF3B1","0.00107","0.207","0.118","4","hsa-miR-1260b","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-1307-3p","","","","","",""
