"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"ABCG8","0.183","0.459","0.392","2","hsa-miR-940","hsa-miR-1470","",""
"ACVRL1","0.0175","0.459","0.104","2","hsa-miR-940","hsa-miR-1224-5p","",""
"AGO2","0.246","0.459","0.577","3","hsa-miR-944","hsa-miR-646","hsa-miR-31-3p",""
"AGTRAP","0.107","0.459","0.283","2","hsa-miR-940","hsa-miR-1470","",""
"ALDOA","0.301","0.459","0.548","2","hsa-miR-1227-3p","hsa-miR-1470","",""
"APOL6","0.165","0.459","0.366","2","hsa-miR-4313","hsa-miR-940","",""
"AS3MT","0.0775","0.459","0.234","2","hsa-miR-940","hsa-miR-6805-3p","",""
"ASB6","0.111","0.459","0.289","2","hsa-miR-940","hsa-miR-941","",""
"ASCC1","0.0115","0.459","0.0837","2","hsa-miR-646","hsa-miR-944","",""
"ATP13A4","0.0267","0.459","0.130","2","hsa-miR-940","hsa-miR-1227-3p","",""
"ATP1B4","0.0630","0.459","0.208","2","hsa-miR-940","hsa-miR-941","",""
"BACH1","0.196","0.459","0.410","2","hsa-miR-944","hsa-miR-31-3p","",""
"BCL11B","0.0337","0.459","0.147","2","hsa-miR-944","hsa-miR-1470","",""
"BHLHE40","0.0157","0.459","0.0981","2","hsa-miR-941","hsa-miR-1470","",""
"BLOC1S4","0.0175","0.459","0.104","2","hsa-miR-31-3p","hsa-miR-940","",""
"BTBD3","0.0123","0.459","0.167","3","hsa-miR-1227-3p","hsa-miR-944","hsa-miR-1470",""
"C1orf220","0.00672","0.459","0.0635","2","hsa-miR-4313","hsa-miR-646","",""
"C1orf50","0.104","0.459","0.277","2","hsa-miR-1470","hsa-miR-6805-3p","",""
"C21orf58","0.0108","0.459","0.0808","2","hsa-miR-1227-3p","hsa-miR-940","",""
"C3","0.146","0.459","0.341","2","hsa-miR-1227-3p","hsa-miR-940","",""
"C5AR2","0.0289","0.459","0.136","2","hsa-miR-940","hsa-miR-1227-3p","",""
"C6orf141","0.0289","0.459","0.136","2","hsa-miR-940","hsa-miR-1227-3p","",""
"C9orf64","0.00204","0.459","0.0885","3","hsa-miR-31-3p","hsa-miR-516a-5p","hsa-miR-1227-3p",""
"CACNG8","0.246","0.459","0.476","2","hsa-miR-4258","hsa-miR-940","",""
"CASTOR2","0.244","0.459","0.473","2","hsa-miR-4258","hsa-miR-940","",""
