"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"CBX8","0.0000106","0.0185","0.0917","6","hsa-miR-6857-5p","hsa-miR-1203","hsa-miR-3180","hsa-miR-3184-5p","hsa-miR-4787-5p","hsa-miR-7110-5p",""
"AP2S1","0.000143","0.0832","0.0367","3","hsa-miR-128-1-5p","hsa-miR-3184-5p","hsa-miR-6784-5p","","","",""
"NKX6-2","0.000143","0.0832","0.0367","3","hsa-miR-128-1-5p","hsa-miR-3184-5p","hsa-miR-6784-5p","","","",""
"MTA1","0.000318","0.122","0.0868","4","hsa-miR-125a-3p","hsa-miR-92a-2-5p","hsa-miR-3184-5p","hsa-miR-3180","","",""
"STMN3","0.000349","0.122","0.0889","4","hsa-miR-92a-2-5p","hsa-miR-7110-5p","hsa-miR-3180","hsa-miR-4787-5p","","",""
"DOT1L","0.000498","0.145","0.0973","4","hsa-miR-1203","hsa-miR-128-1-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","",""
"NEUROD2","0.000923","0.202","0.114","4","hsa-miR-3180","hsa-miR-6805-5p","hsa-miR-128-1-5p","hsa-miR-6784-5p","","",""
"RHOB","0.000814","0.202","0.156","5","hsa-miR-3180","hsa-miR-6729-5p","hsa-miR-4787-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","",""
"G6PD","0.00121","0.202","0.0734","3","hsa-miR-4648","hsa-miR-6805-5p","hsa-miR-92a-2-5p","","","",""
"GATAD2A","0.00136","0.202","0.174","5","hsa-miR-4648","hsa-miR-4481","hsa-miR-92a-2-5p","hsa-miR-3180","hsa-miR-4787-5p","",""
"MSC","0.00150","0.202","0.0790","3","hsa-miR-3180","hsa-miR-4481","hsa-miR-1203","","","",""
"MUL1","0.00140","0.202","0.0296","2","hsa-miR-3184-5p","hsa-miR-125a-3p","","","","",""
"PAX2","0.00150","0.202","0.0790","3","hsa-miR-6729-5p","hsa-miR-6805-5p","hsa-miR-3184-5p","","","",""
"C10orf55","0.00167","0.208","0.0818","3","hsa-miR-3180","hsa-miR-3184-5p","hsa-miR-6784-5p","","","",""
"PBX2","0.00184","0.215","0.0846","3","hsa-miR-1203","hsa-miR-3180","hsa-miR-3184-5p","","","",""
"LIMS2","0.00238","0.228","0.0381","2","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","","",""
"PITX3","0.00295","0.228","0.0423","2","hsa-miR-3180","hsa-miR-575","","","","",""
