"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"ASB6","0.00000228","0.00342","0.0989","7","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-320d","hsa-miR-320b","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-4769-5p"
"ARMCX6","0.000453","0.111","0.0531","3","hsa-miR-6741-5p","hsa-miR-4754","hsa-miR-4483","","","",""
"ELN","0.000396","0.111","0.0508","3","hsa-miR-6819-5p","hsa-miR-4483","hsa-miR-342-5p","","","",""
"GLRX","0.000516","0.111","0.0554","3","hsa-miR-6819-5p","hsa-miR-4769-5p","hsa-miR-342-5p","","","",""
"MAX","0.000153","0.111","0.0727","4","hsa-miR-6819-5p","hsa-miR-320d","hsa-miR-320b","hsa-miR-1185-2-3p","","",""
"RPS6KA1","0.000396","0.111","0.0508","3","hsa-miR-4769-5p","hsa-miR-320d","hsa-miR-320b","","","",""
"TMEM43","0.000355","0.111","0.0900","4","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-320b","hsa-miR-320d","","",""
"HIST3H3","0.000911","0.117","0.0669","3","hsa-miR-6819-5p","hsa-miR-4483","hsa-miR-342-5p","","","",""
"MDK","0.000744","0.117","0.109","4","hsa-miR-185-3p","hsa-miR-320b","hsa-miR-320d","hsa-miR-4489","","",""
"RBM5","0.000932","0.117","0.0242","2","hsa-miR-320b","hsa-miR-17-3p","","","","",""
"ULK1","0.000657","0.117","0.106","4","hsa-miR-320b","hsa-miR-320d","hsa-miR-6741-5p","hsa-miR-4483","","",""
"VPS13D","0.000911","0.117","0.0669","3","hsa-miR-342-5p","hsa-miR-320d","hsa-miR-320b","","","",""
"C20orf196","0.00124","0.143","0.0277","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"HIST3H2BB","0.00159","0.170","0.0808","3","hsa-miR-6793-5p","hsa-miR-4483","hsa-miR-4769-5p","","","",""
"CTRC","0.00197","0.174","0.0346","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"INTS3","0.00187","0.174","0.0854","3","hsa-miR-185-3p","hsa-miR-3652","hsa-miR-4489","","","",""
"PPIA","0.00183","0.174","0.139","4","hsa-miR-320b","hsa-miR-342-5p","hsa-miR-17-3p","hsa-miR-6819-5p","","",""
"HIST2H3A","0.00218","0.182","0.0900","3","hsa-miR-320b","hsa-miR-6793-5p","hsa-miR-4483","","","",""
"YKT6","0.00252","0.199","0.0947","3","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-5100","","","",""
"ACTBL2","0.00287","0.205","0.0416","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"ND2","0.00287","0.205","0.0416","2","hsa-miR-320b","hsa-miR-342-5p","","","","",""
"FOXA2","0.00338","0.215","0.0450","2","hsa-miR-1185-2-3p","hsa-miR-1290","","","","",""
"FSCN1","0.00402","0.215","0.171","4","hsa-miR-17-3p","hsa-miR-185-3p","hsa-miR-3652","hsa-miR-4489","","",""
"MAF","0.00330","0.215","0.104","3","hsa-miR-5100","hsa-miR-342-5p","hsa-miR-6819-5p","","","",""
"MLX","0.00397","0.215","0.111","3","hsa-miR-320b","hsa-miR-342-5p","hsa-miR-6819-5p","","","",""
"PDCD11","0.00393","0.215","0.0485","2","hsa-miR-320b","hsa-miR-17-3p","","","","",""
"SWAP70","0.00393","0.215","0.0485","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"TP73","0.00393","0.215","0.0485","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"ABCA2","0.00451","0.217","0.0519","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"AIMP1","0.00513","0.217","0.0554","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"ATXN2","0.00646","0.217","0.132","3","hsa-miR-6819-5p","hsa-miR-6793-5p","hsa-miR-342-5p","","","",""
"C2CD2","0.00723","0.217","0.0658","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"CRLF1","0.00579","0.217","0.0589","2","hsa-miR-6819-5p","hsa-miR-342-5p","","","","",""
"HIST1H1B","0.00649","0.217","0.0623","2","hsa-miR-185-3p","hsa-miR-4489","","","","",""
"LRTOMT","0.00712","0.217","0.136","3","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-4483","","","",""
"MAN2B2","0.00421","0.217","0.113","3","hsa-miR-185-3p","hsa-miR-3652","hsa-miR-4489","","","",""
"MRPS18B","0.00723","0.217","0.0658","2","hsa-miR-320b","hsa-miR-320d","","","","",""
"SCAF4","0.00579","0.217","0.0589","2","hsa-miR-185-3p","hsa-miR-17-3p","","","","",""
