Feature,Importance,Classifier
hsa-miR-4483,0.008676561057459009,SVM
hsa-miR-6805-3p,-0.13114795070845991,SVM
hsa-miR-342-5p,-0.0037671009049214605,SVM
hsa-miR-3652,0.04487280038792643,SVM
hsa-miR-5572,0.0028222652271496225,SVM
hsa-miR-5100,0.2964420187517742,SVM
hsa-miR-504-3p,0.0329278035180595,SVM
hsa-miR-17-3p,0.1515080172829713,SVM
hsa-miR-320d,0.015550552528532317,SVM
hsa-miR-1290,0.17714983784010074,SVM
hsa-miR-1202,-0.03486644630591985,SVM
hsa-miR-4769-5p,-0.001941432731745309,SVM
hsa-miR-185-3p,0.0008221534097684858,SVM
hsa-miR-4754,0.06336579395843893,SVM
hsa-miR-941,-0.02471510489899918,SVM
hsa-miR-6741-5p,0.03341763389516059,SVM
hsa-miR-6780a-5p,0.07018770887153197,SVM
hsa-miR-7110-5p,0.07721334283530591,SVM
hsa-miR-4440,0.04443133520328074,SVM
hsa-miR-320b,-0.025284995712885387,SVM
hsa-miR-4443,0.015894022655603468,SVM
hsa-miR-516a-5p,-0.12783049910180252,SVM
hsa-miR-4456,-0.3088334817976616,SVM
hsa-miR-495-5p,0.09007500005851851,SVM
hsa-miR-1224-5p,-0.19788025291765968,SVM
hsa-miR-6776-5p,-0.020385177111412193,SVM
hsa-miR-4489,-0.06453975698559213,SVM
hsa-miR-6743-3p,0.00822003941841077,SVM
hsa-miR-31-3p,0.05300706142780136,SVM
hsa-miR-1470,-0.08207528102421238,SVM
hsa-miR-5698,0.02091269874512625,SVM
hsa-miR-6819-5p,-0.00277678753380199,SVM
hsa-miR-4685-3p,0.1557758532203497,SVM
hsa-miR-6730-5p,0.02145556100663151,SVM
hsa-miR-4472,0.05299358553055181,SVM
hsa-miR-646,-0.12571410744852915,SVM
hsa-miR-944,-0.04676919758862972,SVM
hsa-miR-3181,-0.04451985610472875,SVM
hsa-miR-940,-0.03353122444688574,SVM
hsa-miR-4313,-0.07085714823668084,SVM
hsa-miR-6877-5p,0.06270499989541858,SVM
hsa-miR-1227-3p,-0.05622953298940886,SVM
hsa-miR-6076,0.09149729220049674,SVM
hsa-miR-1185-2-3p,0.22041535984346292,SVM
hsa-miR-6793-5p,0.0387245863238796,SVM
hsa-miR-4483,0.0,XGBoost
hsa-miR-6805-3p,0.009866325184702873,XGBoost
hsa-miR-342-5p,0.0,XGBoost
hsa-miR-3652,0.0013414619024842978,XGBoost
hsa-miR-5572,0.0,XGBoost
hsa-miR-5100,0.8538587093353271,XGBoost
hsa-miR-504-3p,0.0038247634656727314,XGBoost
hsa-miR-17-3p,0.0,XGBoost
hsa-miR-320d,0.006641174666583538,XGBoost
hsa-miR-1290,0.006534193642437458,XGBoost
hsa-miR-1202,0.0,XGBoost
hsa-miR-4769-5p,0.0,XGBoost
hsa-miR-185-3p,0.0008560733986087143,XGBoost
hsa-miR-4754,0.0017493977211415768,XGBoost
hsa-miR-941,0.0003973840794060379,XGBoost
hsa-miR-6741-5p,0.0,XGBoost
hsa-miR-6780a-5p,0.0021582189947366714,XGBoost
hsa-miR-7110-5p,0.0,XGBoost
hsa-miR-4440,0.004494190216064453,XGBoost
hsa-miR-320b,0.0,XGBoost
hsa-miR-4443,0.0009097404545173049,XGBoost
hsa-miR-516a-5p,0.0003363871364854276,XGBoost
hsa-miR-4456,0.03489250689744949,XGBoost
hsa-miR-495-5p,0.0005790518480353057,XGBoost
hsa-miR-1224-5p,0.01261966023594141,XGBoost
hsa-miR-6776-5p,0.0014482547994703054,XGBoost
hsa-miR-4489,0.0,XGBoost
hsa-miR-6743-3p,0.0011018604272976518,XGBoost
hsa-miR-31-3p,0.0,XGBoost
hsa-miR-1470,0.0008373451419174671,XGBoost
hsa-miR-5698,0.002029333496466279,XGBoost
hsa-miR-6819-5p,0.0,XGBoost
hsa-miR-4685-3p,0.001747103058733046,XGBoost
hsa-miR-6730-5p,0.0,XGBoost
hsa-miR-4472,0.001509952824562788,XGBoost
hsa-miR-646,0.02151341922581196,XGBoost
hsa-miR-944,0.007007190492004156,XGBoost
hsa-miR-3181,0.0004022084176540375,XGBoost
hsa-miR-940,0.008299816399812698,XGBoost
hsa-miR-4313,0.0033569009974598885,XGBoost
hsa-miR-6877-5p,0.0,XGBoost
hsa-miR-1227-3p,0.0,XGBoost
hsa-miR-6076,0.006298404186964035,XGBoost
hsa-miR-1185-2-3p,0.0,XGBoost
hsa-miR-6793-5p,0.00338891614228487,XGBoost
