Feature,Importance,Classifier
hsa-miR-3130-3p,0.0029489620763603224,SVM
hsa-miR-4722-3p,0.0048822193675933144,SVM
hsa-miR-6829-3p,0.00013266485420240372,SVM
hsa-miR-6769b-5p,0.007084352117672122,SVM
hsa-miR-4282,0.001262027269233974,SVM
hsa-miR-6722-3p,0.008824537681515797,SVM
hsa-miR-4524b-5p,0.00014590013179572448,SVM
hsa-miR-7854-3p,0.0034829229262637344,SVM
hsa-miR-5587-5p,0.00371367086712119,SVM
hsa-miR-412-3p,0.0035288554906369755,SVM
hsa-miR-218-2-3p,0.004535658306366155,SVM
hsa-miR-449c-3p,-0.012199126585896568,SVM
hsa-miR-371b-5p,0.002173258526626851,SVM
hsa-miR-548h-5p,0.004221587633570392,SVM
hsa-miR-5591-5p,0.0029600841793269795,SVM
hsa-miR-5585-3p,0.003100654085657664,SVM
hsa-miR-6847-3p,0.005205676819903103,SVM
hsa-miR-4741,0.003237023978906813,SVM
hsa-miR-1227-5p,0.005622372653349066,SVM
hsa-miR-660-5p,0.005860916374341749,SVM
hsa-miR-7151-5p,0.001474783993720888,SVM
hsa-miR-1253,-0.01537996890596849,SVM
hsa-miR-134-3p,0.006135586124515709,SVM
hsa-miR-6802-3p,0.001735946714234523,SVM
hsa-miR-6774-3p,0.005946920344564973,SVM
hsa-miR-7703,-0.0004645892886163175,SVM
hsa-miR-1229-3p,0.0075325498469146655,SVM
hsa-miR-4749-5p,0.002093785281348724,SVM
hsa-miR-3130-3p,0.0683043822646141,XGBoost
hsa-miR-4722-3p,0.031198160722851753,XGBoost
hsa-miR-6829-3p,0.04370906203985214,XGBoost
hsa-miR-6769b-5p,0.02743738517165184,XGBoost
hsa-miR-4282,0.021323876455426216,XGBoost
hsa-miR-6722-3p,0.06860638409852982,XGBoost
hsa-miR-4524b-5p,0.04416053742170334,XGBoost
hsa-miR-7854-3p,0.021778497844934464,XGBoost
hsa-miR-5587-5p,0.034938257187604904,XGBoost
hsa-miR-412-3p,0.023486696183681488,XGBoost
hsa-miR-218-2-3p,0.022220512852072716,XGBoost
hsa-miR-449c-3p,0.03231869265437126,XGBoost
hsa-miR-371b-5p,0.02862057276070118,XGBoost
hsa-miR-548h-5p,0.031057287007570267,XGBoost
hsa-miR-5591-5p,0.017054416239261627,XGBoost
hsa-miR-5585-3p,0.02687588892877102,XGBoost
hsa-miR-6847-3p,0.04339232295751572,XGBoost
hsa-miR-4741,0.027351289987564087,XGBoost
hsa-miR-1227-5p,0.03227861970663071,XGBoost
hsa-miR-660-5p,0.04103955626487732,XGBoost
hsa-miR-7151-5p,0.026808835566043854,XGBoost
hsa-miR-1253,0.04184266924858093,XGBoost
hsa-miR-134-3p,0.027874790132045746,XGBoost
hsa-miR-6802-3p,0.01372583769261837,XGBoost
hsa-miR-6774-3p,0.052646998316049576,XGBoost
hsa-miR-7703,0.037447240203619,XGBoost
hsa-miR-1229-3p,0.04742414876818657,XGBoost
hsa-miR-4749-5p,0.06507711857557297,XGBoost
