"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9"
"AKR7L","0.000158","0.121","0.0736","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","","","",""
"ASB6","0.0000361","0.121","0.192","9","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-940","hsa-miR-941","hsa-miR-320d","hsa-miR-320b","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-4769-5p"
"MAFF","0.000158","0.121","0.0736","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-31-3p","","","","",""
"POMGNT1","0.000108","0.121","0.100","5","hsa-miR-5572","hsa-miR-7110-5p","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-1470","","","",""
"PTPN2","0.0000906","0.121","0.0970","5","hsa-miR-1202","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","","",""
"BRPF1","0.000313","0.138","0.125","5","hsa-miR-17-3p","hsa-miR-4472","hsa-miR-5698","hsa-miR-6730-5p","hsa-miR-4769-5p","","","",""
"ESF1","0.000294","0.138","0.159","6","hsa-miR-4443","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-495-5p","hsa-miR-6780a-5p","","",""
"MGAT1","0.000252","0.138","0.0822","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","","","",""
"SLC10A3","0.000325","0.138","0.162","6","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-1290","hsa-miR-4472","hsa-miR-504-3p","hsa-miR-6076","","",""
"ELN","0.000457","0.157","0.0952","4","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-4483","hsa-miR-342-5p","","","","",""
"MFSD13A","0.000535","0.157","0.0577","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"TMEM40","0.000535","0.157","0.0577","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ZNF281","0.000480","0.157","0.208","7","hsa-miR-6730-5p","hsa-miR-495-5p","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5572","",""
"MAX","0.000655","0.167","0.145","5","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-320d","hsa-miR-320b","hsa-miR-1185-2-3p","","","",""
"MDK","0.000620","0.167","0.182","6","hsa-miR-185-3p","hsa-miR-320b","hsa-miR-320d","hsa-miR-4456","hsa-miR-4489","hsa-miR-940","","",""
"AK3","0.000761","0.171","0.108","4","hsa-miR-3652","hsa-miR-4685-3p","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"VWC2","0.000727","0.171","0.0635","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"KRI1","0.000957","0.183","0.0693","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"POLD4","0.000957","0.183","0.0693","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"TIGD6","0.000957","0.183","0.0693","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"OPTN","0.00103","0.187","0.117","4","hsa-miR-17-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"FAM210B","0.00119","0.197","0.121","4","hsa-miR-3652","hsa-miR-4685-3p","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"NKPD1","0.00119","0.197","0.121","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","","","",""
"HIST3H3","0.00136","0.200","0.126","4","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-4483","hsa-miR-342-5p","","","","",""
"ST3GAL1","0.00136","0.200","0.126","4","hsa-miR-1470","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"VPS13D","0.00136","0.200","0.126","4","hsa-miR-342-5p","hsa-miR-4685-3p","hsa-miR-320d","hsa-miR-320b","","","","",""
"FFAR1","0.00155","0.200","0.0808","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"IL2RA","0.00147","0.200","0.173","5","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","hsa-miR-4685-3p","","","",""
"ISPD","0.00157","0.200","0.216","6","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","",""
"TMEM56","0.00155","0.200","0.0808","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"JPH2","0.00176","0.210","0.180","5","hsa-miR-17-3p","hsa-miR-6805-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","",""
"TMEM43","0.00176","0.210","0.180","5","hsa-miR-6776-5p","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-320b","hsa-miR-320d","","","",""
"SIGLEC6","0.00191","0.214","0.0866","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"ZC3H15","0.00191","0.214","0.0866","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"GPSM2","0.00223","0.224","0.143","4","hsa-miR-17-3p","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"MPRIP","0.00220","0.224","0.231","6","hsa-miR-1290","hsa-miR-6877-5p","hsa-miR-646","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","",""
"PPIA","0.00220","0.224","0.231","6","hsa-miR-320b","hsa-miR-342-5p","hsa-miR-31-3p","hsa-miR-17-3p","hsa-miR-4456","hsa-miR-6819-5p","","",""
"TCF23","0.00220","0.224","0.231","6","hsa-miR-1227-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","hsa-miR-6780a-5p","","",""
"PGBD5","0.00232","0.227","0.0923","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ACTR5","0.00387","0.231","0.110","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ARHGEF5","0.00387","0.231","0.110","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"BROX","0.00413","0.231","0.218","5","hsa-miR-940","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6076","","","",""
