"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of cell-cell adhesion mediated by cadherin GO2000049","enriched","2.82e-4","2.82e-4","0.502418","3","hsa-miR-1185-2-3p; hsa-miR-1290; hsa-miR-4685-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of insulin secretion involved in cellular response to glucose stimulus GO0061178","enriched","2.82e-4","2.82e-4","0.502418","3","hsa-miR-1185-2-3p; hsa-miR-1290; hsa-miR-4685-3p"
"Diseases (MNDR)","Hepatocellular carcinoma","depleted","6.24e-4","6.24e-4","0.125402","12","hsa-miR-17-3p; hsa-miR-1224-5p; hsa-miR-940; hsa-miR-944; hsa-miR-185-3p; hsa-miR-1470; hsa-miR-941; hsa-miR-516a-5p; hsa-miR-320b; hsa-miR-1202; hsa-miR-342-5p; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","glutathione disulfide oxidoreductase activity GO0015038","depleted","7.05e-4","7.05e-4","0.502418","3","hsa-miR-6819-5p; hsa-miR-342-5p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","inner ear development GO0048839","depleted","7.05e-4","7.05e-4","0.502418","3","hsa-miR-6819-5p; hsa-miR-342-5p; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of membrane potential GO0045838","depleted","7.05e-4","7.05e-4","0.502418","3","hsa-miR-6819-5p; hsa-miR-342-5p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","protein deglutathionylation GO0080058","depleted","7.05e-4","7.05e-4","0.502418","3","hsa-miR-6819-5p; hsa-miR-342-5p; hsa-miR-4769-5p"
"Target genes (miRTarBase)","2022-03-09 000000","depleted","7.05e-4","7.05e-4","0.461812","3","hsa-miR-6819-5p; hsa-miR-1202; hsa-miR-342-5p"
"Target genes (miRTarBase)","GLRX","depleted","7.05e-4","7.05e-4","0.461812","3","hsa-miR-6819-5p; hsa-miR-342-5p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","peptide biosynthetic process GO0043043","enriched","8.46e-4","8.46e-4","0.502418","4","hsa-miR-5100; hsa-miR-1185-2-3p; hsa-miR-6076; hsa-miR-6780a-5p"
"Gene Ontology (miRWalk)","GO0005813 centrosome","depleted","8.46e-4","8.46e-4","0.286231","4","hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","AP-1 adaptor complex binding GO0035650","depleted","0.0010101","0.0010101","0.502418","2","hsa-miR-1227-3p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","AP-3 adaptor complex binding GO0035651","depleted","0.0010101","0.0010101","0.502418","2","hsa-miR-1227-3p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","BLOC-2 complex binding GO0036461","depleted","0.0010101","0.0010101","0.502418","2","hsa-miR-1227-3p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","early endosome lumen GO0031905","depleted","0.0010101","0.0010101","0.502418","2","hsa-miR-1227-3p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of interleukin-18 production GO0032741","depleted","0.0010101","0.0010101","0.502418","2","hsa-miR-1227-3p; hsa-miR-4769-5p"
"Target genes (miRTarBase)","NLRP9","depleted","0.0010101","0.0010101","0.461812","2","hsa-miR-1227-3p; hsa-miR-4769-5p"
"Target genes (miRTarBase)","PCSK1","enriched","0.0010101","0.0010101","0.461812","2","hsa-miR-5100; hsa-miR-1185-2-3p"
"Target genes (miRTarBase)","RAB32","depleted","0.0010101","0.0010101","0.461812","2","hsa-miR-1227-3p; hsa-miR-4769-5p"
"Target genes (miRTarBase)","SESN3","enriched","0.0010101","0.0010101","0.461812","2","hsa-miR-5100; hsa-miR-1185-2-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of RNA splicing GO0043484","enriched","0.0012484","0.0012484","0.502418","17","hsa-miR-1185-2-3p; hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-6076; hsa-miR-495-5p; hsa-miR-6780a-5p; hsa-miR-31-3p; hsa-miR-4472; hsa-miR-3652; hsa-miR-4440; hsa-miR-504-3p; hsa-miR-646; hsa-miR-6730-5p; hsa-miR-5698; hsa-miR-940; hsa-miR-6743-3p; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","RNA phosphodiester bond hydrolysis, endonucleolytic GO0090502","enriched","0.0015615","0.0015615","0.502418","9","hsa-miR-5100; hsa-miR-1290; hsa-miR-4685-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-31-3p; hsa-miR-4472; hsa-miR-4456; hsa-miR-1227-3p"
"Target genes (miRTarBase)","ASB6","depleted","0.0015615","0.0015615","0.461812","9","hsa-miR-320d; hsa-miR-940; hsa-miR-185-3p; hsa-miR-941; hsa-miR-320b; hsa-miR-4489; hsa-miR-6819-5p; hsa-miR-342-5p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","beta-tubulin binding GO0048487","enriched","0.0015677","0.0015677","0.502418","14","hsa-miR-1185-2-3p; hsa-miR-1290; hsa-miR-4685-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-6877-5p; hsa-miR-4472; hsa-miR-3652; hsa-miR-6741-5p; hsa-miR-504-3p; hsa-miR-646; hsa-miR-5698; hsa-miR-4483; hsa-miR-940"
"Annotations derived over miRTarBase (Gene Ontology)","dendritic spine morphogenesis GO0060997","enriched","0.0017655","0.0017655","0.502418","5","hsa-miR-1185-2-3p; hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-6780a-5p; hsa-miR-3652"
"Annotations derived over miRTarBase (Gene Ontology)","oxidoreductase activity, acting on peroxide as acceptor GO0016684","enriched","0.0017655","0.0017655","0.502418","5","hsa-miR-5100; hsa-miR-1185-2-3p; hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-940"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of cell size GO0045792","enriched","0.0018242","0.0018242","0.502418","8","hsa-miR-17-3p; hsa-miR-6877-5p; hsa-miR-31-3p; hsa-miR-3652; hsa-miR-4440; hsa-miR-4456; hsa-miR-504-3p; hsa-miR-6730-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of T cell differentiation in thymus GO0033089","depleted","0.0018242","0.0018242","0.502418","8","hsa-miR-1224-5p; hsa-miR-940; hsa-miR-4313; hsa-miR-5572; hsa-miR-185-3p; hsa-miR-4489; hsa-miR-6819-5p; hsa-miR-342-5p"
"Gene Ontology (miRWalk)","GO0016887 atpase activity","depleted","0.0023857","0.0023857","0.286231","6","hsa-miR-17-3p; hsa-miR-3181; hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
"Pathways (KEGG)","Cardiac muscle contraction","depleted","0.0024309","0.0024309","0.580015","20","hsa-miR-5100; hsa-miR-1290; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-31-3p; hsa-miR-6730-5p; hsa-miR-4483; hsa-miR-940; hsa-miR-944; hsa-miR-5572; hsa-miR-6776-5p; hsa-miR-185-3p; hsa-miR-1470; hsa-miR-941; hsa-miR-320b; hsa-miR-4489; hsa-miR-6819-5p; hsa-miR-342-5p; hsa-miR-1227-3p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","oxidative phosphorylation GO0006119","depleted","0.0024665","0.0024665","0.502418","3","hsa-miR-320b; hsa-miR-6819-5p; hsa-miR-342-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of peptidyl-lysine acetylation GO2000758","enriched","0.0024665","0.0024665","0.502418","3","hsa-miR-1185-2-3p; hsa-miR-4685-3p; hsa-miR-495-5p"
"Annotations derived over miRTarBase (Gene Ontology)","procollagen galactosyltransferase activity GO0050211","depleted","0.0024665","0.0024665","0.502418","3","hsa-miR-320b; hsa-miR-4489; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of smoothened signaling pathway GO0008589","enriched","0.0024665","0.0024665","0.502418","3","hsa-miR-1185-2-3p; hsa-miR-1290; hsa-miR-495-5p"
"Annotations derived over miRTarBase (Gene Ontology)","ubiquinol-cytochrome-c reductase activity GO0008121","depleted","0.0024665","0.0024665","0.502418","3","hsa-miR-320b; hsa-miR-6819-5p; hsa-miR-342-5p"
"Gene Ontology (miRWalk)","GO0043984 histone h4 k16 acetylation","depleted","0.0024665","0.0024665","0.286231","3","hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","endocrine pancreas development GO0031018","enriched","0.0030303","0.0030303","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Annotations derived over miRTarBase (Gene Ontology)","ligand-activated transcription factor activity GO0098531","enriched","0.0030303","0.0030303","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of cytokinesis GO0032466","enriched","0.0030303","0.0030303","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of transcription from RNA polymerase II promoter by glucose GO0061987","enriched","0.0030303","0.0030303","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of transcription from RNA polymerase II promoter by glucose GO0000432","enriched","0.0030303","0.0030303","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Annotations derived over miRTarBase (Gene Ontology)","primitive streak formation GO0090009","enriched","0.0030303","0.0030303","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Annotations derived over miRTarBase (Gene Ontology)","response to interleukin-6 GO0070741","enriched","0.0030303","0.0030303","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Target genes (miRTarBase)","FOXA2","enriched","0.0030303","0.0030303","0.461812","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Target genes (miRTarBase)","RORA","enriched","0.0030303","0.0030303","0.461812","2","hsa-miR-1185-2-3p; hsa-miR-1290"
"Published Diseases","melanoma upregulated","depleted","0.0030303","0.0030303","0.157576","2","hsa-miR-342-5p; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of integrin-mediated signaling pathway GO2001046","enriched","0.0031128","0.0031128","0.502418","8","hsa-miR-1290; hsa-miR-495-5p; hsa-miR-7110-5p; hsa-miR-6877-5p; hsa-miR-4472; hsa-miR-3652; hsa-miR-504-3p; hsa-miR-5698"
"Annotations derived over miRTarBase (Gene Ontology)","synaptic membrane adhesion GO0099560","enriched","0.0031128","0.0031128","0.502418","8","hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-4472; hsa-miR-504-3p; hsa-miR-646; hsa-miR-5698"
"Target genes (miRTarBase)","APOL6","depleted","0.0031145","0.0031145","0.461812","6","hsa-miR-940; hsa-miR-4313; hsa-miR-5572; hsa-miR-6819-5p; hsa-miR-1202; hsa-miR-342-5p"
"Gene Ontology (miRWalk)","GO0031145 anaphase promoting complex dependent proteasomal ubiquitin dependent protein catabolic process","depleted","0.0031145","0.0031145","0.286231","6","hsa-miR-940; hsa-miR-185-3p; hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
"Gene Ontology (miRWalk)","GO0051436 negative regulation of ubiquitin protein ligase activity involved in mitotic cell cycle","depleted","0.0031145","0.0031145","0.286231","6","hsa-miR-940; hsa-miR-185-3p; hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
