Feature,Importance,Classifier
hsa-miR-5100,0.8538587093353271,XGBoost
hsa-miR-5100,0.2964420187517742,SVM
hsa-miR-1185-2-3p,0.2204153598434629,SVM
hsa-miR-1290,0.1771498378401007,SVM
hsa-miR-4685-3p,0.1557758532203497,SVM
hsa-miR-17-3p,0.1515080172829713,SVM
hsa-miR-6076,0.0914972922004967,SVM
hsa-miR-495-5p,0.0900750000585185,SVM
hsa-miR-7110-5p,0.0772133428353059,SVM
hsa-miR-6780a-5p,0.0701877088715319,SVM
hsa-miR-4754,0.0633657939584389,SVM
hsa-miR-6877-5p,0.0627049998954185,SVM
hsa-miR-31-3p,0.0530070614278013,SVM
hsa-miR-4472,0.0529935855305518,SVM
hsa-miR-3652,0.0448728003879264,SVM
hsa-miR-4440,0.0444313352032807,SVM
hsa-miR-6793-5p,0.0387245863238796,SVM
hsa-miR-4456,0.0348925068974494,XGBoost
hsa-miR-6741-5p,0.0334176338951605,SVM
hsa-miR-504-3p,0.0329278035180595,SVM
hsa-miR-646,0.0215134192258119,XGBoost
hsa-miR-6730-5p,0.0214555610066315,SVM
hsa-miR-5698,0.0209126987451262,SVM
hsa-miR-4443,0.0158940226556034,SVM
hsa-miR-320d,0.0155505525285323,SVM
hsa-miR-1224-5p,0.0126196602359414,XGBoost
hsa-miR-6805-3p,0.0098663251847028,XGBoost
hsa-miR-4483,0.008676561057459,SVM
hsa-miR-940,0.0082998163998126,XGBoost
hsa-miR-6743-3p,0.0082200394184107,SVM
hsa-miR-944,0.0070071904920041,XGBoost
hsa-miR-320d,0.0066411746665835,XGBoost
hsa-miR-1290,0.0065341936424374,XGBoost
hsa-miR-6076,0.006298404186964,XGBoost
hsa-miR-4440,0.0044941902160644,XGBoost
hsa-miR-504-3p,0.0038247634656727,XGBoost
hsa-miR-6793-5p,0.0033889161422848,XGBoost
hsa-miR-4313,0.0033569009974598,XGBoost
hsa-miR-5572,0.0028222652271496,SVM
hsa-miR-6780a-5p,0.0021582189947366,XGBoost
hsa-miR-5698,0.0020293334964662,XGBoost
hsa-miR-4754,0.0017493977211415,XGBoost
hsa-miR-4685-3p,0.001747103058733,XGBoost
hsa-miR-4472,0.0015099528245627,XGBoost
hsa-miR-6776-5p,0.0014482547994703,XGBoost
hsa-miR-3652,0.0013414619024842,XGBoost
hsa-miR-6743-3p,0.0011018604272976,XGBoost
hsa-miR-4443,0.0009097404545173,XGBoost
hsa-miR-185-3p,0.0008560733986087,XGBoost
hsa-miR-1470,0.0008373451419174,XGBoost
hsa-miR-185-3p,0.0008221534097684,SVM
hsa-miR-495-5p,0.0005790518480353,XGBoost
hsa-miR-3181,0.000402208417654,XGBoost
hsa-miR-941,0.000397384079406,XGBoost
hsa-miR-516a-5p,0.0003363871364854,XGBoost
hsa-miR-6741-5p,0.0,XGBoost
hsa-miR-320b,0.0,XGBoost
hsa-miR-4489,0.0,XGBoost
hsa-miR-7110-5p,0.0,XGBoost
hsa-miR-31-3p,0.0,XGBoost
hsa-miR-4483,0.0,XGBoost
hsa-miR-6819-5p,0.0,XGBoost
hsa-miR-1202,0.0,XGBoost
hsa-miR-6730-5p,0.0,XGBoost
hsa-miR-17-3p,0.0,XGBoost
hsa-miR-5572,0.0,XGBoost
hsa-miR-342-5p,0.0,XGBoost
hsa-miR-6877-5p,0.0,XGBoost
hsa-miR-1227-3p,0.0,XGBoost
hsa-miR-1185-2-3p,0.0,XGBoost
hsa-miR-4769-5p,0.0,XGBoost
hsa-miR-4769-5p,-0.0019414327317453,SVM
hsa-miR-6819-5p,-0.0027767875338019,SVM
hsa-miR-342-5p,-0.0037671009049214,SVM
hsa-miR-6776-5p,-0.0203851771114121,SVM
hsa-miR-941,-0.0247151048989991,SVM
hsa-miR-320b,-0.0252849957128853,SVM
hsa-miR-940,-0.0335312244468857,SVM
hsa-miR-1202,-0.0348664463059198,SVM
hsa-miR-3181,-0.0445198561047287,SVM
hsa-miR-944,-0.0467691975886297,SVM
hsa-miR-1227-3p,-0.0562295329894088,SVM
hsa-miR-4489,-0.0645397569855921,SVM
hsa-miR-4313,-0.0708571482366808,SVM
hsa-miR-1470,-0.0820752810242123,SVM
hsa-miR-646,-0.1257141074485291,SVM
hsa-miR-516a-5p,-0.1278304991018025,SVM
hsa-miR-6805-3p,-0.1311479507084599,SVM
hsa-miR-1224-5p,-0.1978802529176596,SVM
hsa-miR-4456,-0.3088334817976616,SVM
