Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
NACC1,0.09999999999999998,0.0398,0.47,0.523,9,hsa-miR-4472,hsa-miR-6743-3p,hsa-miR-5698,hsa-miR-17-3p,hsa-miR-185-3p,hsa-miR-6780a-5p,hsa-miR-6877-5p,hsa-miR-7110-5p,hsa-miR-940
NFIC,0.09999999999999998,0.0351,0.445,0.512,9,hsa-miR-4483,hsa-miR-6877-5p,hsa-miR-185-3p,hsa-miR-3181,hsa-miR-3652,hsa-miR-4313,hsa-miR-4443,hsa-miR-7110-5p,hsa-miR-940
ASB6,0.09999999999999998,3.61e-05,0.121,0.192,9,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-940,hsa-miR-941,hsa-miR-320d,hsa-miR-320b,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-4769-5p
GK5,0.0888888888888889,0.00274,0.231,0.312,8,hsa-miR-5572,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-6076,hsa-miR-4685-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,
ZBTB7A,0.0888888888888889,0.00417,0.231,0.333,8,hsa-miR-1185-2-3p,hsa-miR-5698,hsa-miR-1470,hsa-miR-4443,hsa-miR-185-3p,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-940,
PKM,0.0888888888888889,0.00527,0.252,0.346,8,hsa-miR-6730-5p,hsa-miR-4472,hsa-miR-5698,hsa-miR-504-3p,hsa-miR-17-3p,hsa-miR-185-3p,hsa-miR-3652,hsa-miR-7110-5p,
RAB5B,0.0888888888888889,0.0113,0.333,0.394,8,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-3652,hsa-miR-4685-3p,hsa-miR-4443,hsa-miR-4483,hsa-miR-6776-5p,hsa-miR-6780a-5p,
GDE1,0.0888888888888889,0.0415,0.471,0.5,8,hsa-miR-940,hsa-miR-4685-3p,hsa-miR-3652,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-504-3p,hsa-miR-5572,hsa-miR-6819-5p,
ZNF281,0.07777777777777772,0.00048,0.157,0.208,7,hsa-miR-6730-5p,hsa-miR-495-5p,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5572,,
FBXL18,0.07777777777777772,0.00589,0.258,0.319,7,hsa-miR-6780a-5p,hsa-miR-1470,hsa-miR-342-5p,hsa-miR-4313,hsa-miR-4472,hsa-miR-646,hsa-miR-6819-5p,,
SETD1B,0.07777777777777772,0.00953,0.301,0.349,7,hsa-miR-6819-5p,hsa-miR-6793-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-7110-5p,hsa-miR-646,hsa-miR-17-3p,,
KMT2D,0.07777777777777772,0.0234,0.393,0.416,7,hsa-miR-4472,hsa-miR-6741-5p,hsa-miR-6793-5p,hsa-miR-4685-3p,hsa-miR-646,hsa-miR-1224-5p,hsa-miR-5698,,
FOXK1,0.07777777777777772,0.155,0.66,0.641,7,hsa-miR-944,hsa-miR-646,hsa-miR-17-3p,hsa-miR-6741-5p,hsa-miR-6776-5p,hsa-miR-940,hsa-miR-6780a-5p,,
LMNB2,0.07777777777777772,0.0989,0.596,0.571,7,hsa-miR-504-3p,hsa-miR-31-3p,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-4769-5p,hsa-miR-6819-5p,hsa-miR-7110-5p,,
PRRC2B,0.06666666666666665,0.0335,0.443,0.41,6,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-5698,hsa-miR-185-3p,,,
SSBP2,0.06666666666666665,0.0191,0.382,0.361,6,hsa-miR-6076,hsa-miR-940,hsa-miR-6780a-5p,hsa-miR-4443,hsa-miR-1227-3p,hsa-miR-6776-5p,,,
RAB15,0.06666666666666665,0.00471,0.231,0.268,6,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-5698,hsa-miR-6730-5p,hsa-miR-6743-3p,hsa-miR-940,,,
SELENON,0.06666666666666665,0.00471,0.231,0.268,6,hsa-miR-646,hsa-miR-1470,hsa-miR-17-3p,hsa-miR-342-5p,hsa-miR-6819-5p,hsa-miR-940,,,
SLC1A5,0.06666666666666665,0.0764,0.579,0.502,6,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-4313,hsa-miR-6780a-5p,hsa-miR-1227-3p,,,
MAPK1,0.06666666666666665,0.0925,0.596,0.528,6,hsa-miR-185-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-4685-3p,hsa-miR-1470,,,
TMED10,0.06666666666666665,0.00851,0.299,0.303,6,hsa-miR-940,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-17-3p,hsa-miR-6780a-5p,,,
MLLT1,0.06666666666666665,0.0651,0.534,0.482,6,hsa-miR-6730-5p,hsa-miR-6780a-5p,hsa-miR-342-5p,hsa-miR-646,hsa-miR-6819-5p,hsa-miR-940,,,
YIPF4,0.06666666666666665,0.0925,0.596,0.528,6,hsa-miR-5572,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,
CHAC1,0.06666666666666665,0.0147,0.37,0.341,6,hsa-miR-4472,hsa-miR-4483,hsa-miR-6776-5p,hsa-miR-940,hsa-miR-646,hsa-miR-1202,,,
PABPN1,0.06666666666666665,0.0147,0.37,0.341,6,hsa-miR-646,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-4483,hsa-miR-6730-5p,hsa-miR-6819-5p,,,
PHLDA3,0.06666666666666665,0.0147,0.37,0.341,6,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1227-3p,hsa-miR-4489,hsa-miR-4472,,,
HS3ST1,0.06666666666666665,0.0165,0.37,0.349,6,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,hsa-miR-941,hsa-miR-4313,,,
GLUL,0.06666666666666665,0.0198,0.383,0.364,6,hsa-miR-320b,hsa-miR-4769-5p,hsa-miR-504-3p,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-495-5p,,,
SKI,0.06666666666666665,0.151,0.657,0.606,6,hsa-miR-6793-5p,hsa-miR-646,hsa-miR-185-3p,hsa-miR-342-5p,hsa-miR-4489,hsa-miR-5100,,,
APOL6,0.06666666666666665,0.0205,0.386,0.366,6,hsa-miR-4313,hsa-miR-940,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-1202,,,
CDKN1A,0.06666666666666665,0.52,0.731,0.955,6,hsa-miR-7110-5p,hsa-miR-4483,hsa-miR-4769-5p,hsa-miR-5572,hsa-miR-6780a-5p,hsa-miR-6819-5p,,,
MPLKIP,0.06666666666666665,0.022,0.393,0.372,6,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1227-3p,,,
SETD5,0.06666666666666665,0.0228,0.393,0.375,6,hsa-miR-646,hsa-miR-944,hsa-miR-6793-5p,hsa-miR-4483,hsa-miR-4443,hsa-miR-5698,,,
NAA50,0.06666666666666665,0.0244,0.402,0.381,6,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-504-3p,,,
FADS6,0.06666666666666665,0.00378,0.231,0.257,6,hsa-miR-6780a-5p,hsa-miR-495-5p,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,
HDGF,0.06666666666666665,0.161,0.66,0.618,6,hsa-miR-6776-5p,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-4472,hsa-miR-6793-5p,,,
CCND1,0.06666666666666665,0.264,0.699,0.724,6,hsa-miR-944,hsa-miR-646,hsa-miR-342-5p,hsa-miR-4483,hsa-miR-5572,hsa-miR-6819-5p,,,
SLC7A5,0.06666666666666665,0.317,0.7,0.773,6,hsa-miR-504-3p,hsa-miR-6780a-5p,hsa-miR-185-3p,hsa-miR-4443,hsa-miR-5698,hsa-miR-6877-5p,,,
XKR4,0.06666666666666665,0.0305,0.437,0.401,6,hsa-miR-1227-3p,hsa-miR-6780a-5p,hsa-miR-4685-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,
DSN1,0.06666666666666665,0.0345,0.443,0.413,6,hsa-miR-944,hsa-miR-6741-5p,hsa-miR-4483,hsa-miR-495-5p,hsa-miR-6780a-5p,hsa-miR-940,,,
HSPA4L,0.06666666666666665,0.0325,0.443,0.407,6,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-320d,hsa-miR-320b,hsa-miR-6805-3p,,,
SCAMP4,0.06666666666666665,0.0244,0.402,0.381,6,hsa-miR-6780a-5p,hsa-miR-646,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-6819-5p,hsa-miR-7110-5p,,,
KLHL15,0.06666666666666665,0.381,0.703,0.831,6,hsa-miR-1185-2-3p,hsa-miR-1202,hsa-miR-320b,hsa-miR-320d,hsa-miR-1224-5p,hsa-miR-6076,,,
MDK,0.06666666666666665,0.00062,0.167,0.182,6,hsa-miR-185-3p,hsa-miR-320b,hsa-miR-320d,hsa-miR-4456,hsa-miR-4489,hsa-miR-940,,,
SLC10A3,0.06666666666666665,0.000325,0.138,0.162,6,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-1290,hsa-miR-4472,hsa-miR-504-3p,hsa-miR-6076,,,
MPRIP,0.06666666666666665,0.0022,0.224,0.231,6,hsa-miR-1290,hsa-miR-6877-5p,hsa-miR-646,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,
TCF23,0.06666666666666665,0.0022,0.224,0.231,6,hsa-miR-1227-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,hsa-miR-6780a-5p,,,
PPIA,0.06666666666666665,0.0022,0.224,0.231,6,hsa-miR-320b,hsa-miR-342-5p,hsa-miR-31-3p,hsa-miR-17-3p,hsa-miR-4456,hsa-miR-6819-5p,,,
ISPD,0.06666666666666665,0.00157,0.2,0.216,6,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,
ESF1,0.06666666666666665,0.000294,0.138,0.159,6,hsa-miR-4443,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-495-5p,hsa-miR-6780a-5p,,,
