"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10","microRNA 11"
"CSK","7.01e-7","0.00217","0.0792","7","hsa-miR-1233-5p","hsa-miR-3180","hsa-miR-4258","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-92a-2-5p","hsa-miR-92b-5p","","","",""
"CLCN7","0.0000102","0.0157","0.0895","6","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-3184-5p","hsa-miR-4419b","","","","",""
"AFG1L","0.0000351","0.0243","0.0519","4","hsa-miR-1228-5p","hsa-miR-4730","hsa-miR-6787-5p","hsa-miR-663a","","","","","","",""
"GATAD2A","0.0000458","0.0243","0.198","9","hsa-miR-4648","hsa-miR-92b-5p","hsa-miR-4481","hsa-miR-92a-2-5p","hsa-miR-3180","hsa-miR-4706","hsa-miR-4787-5p","hsa-miR-663a","hsa-miR-6787-5p","",""
"NEUROD2","0.0000277","0.0243","0.134","7","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-3180","hsa-miR-6805-5p","hsa-miR-128-1-5p","hsa-miR-6784-5p","hsa-miR-4532","","","",""
"ZNF787","0.0000472","0.0243","0.115","6","hsa-miR-3184-5p","hsa-miR-4419b","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-6805-5p","","","","",""
"STMN3","0.0000629","0.0278","0.121","6","hsa-miR-92a-2-5p","hsa-miR-7110-5p","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4787-5p","","","","",""
"OTUB1","0.0000939","0.0363","0.130","6","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-6805-5p","hsa-miR-7110-5p","","","","",""
"PBX2","0.000128","0.0440","0.104","5","hsa-miR-1203","hsa-miR-3180","hsa-miR-3184-5p","hsa-miR-663a","hsa-miR-6787-5p","","","","","",""
"SIGLEC12","0.000201","0.0602","0.0779","4","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","",""
