"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Annotations derived over miRTarBase (Gene Ontology)","DNA cytosine deamination GO0070383","enriched","7.05e-5","7.05e-5","0.142248","3","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cytidine deaminase activity GO0004126","enriched","7.05e-5","7.05e-5","0.142248","3","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cytidine to uridine editing GO0016554","enriched","7.05e-5","7.05e-5","0.142248","3","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","deoxycytidine deaminase activity GO0047844","enriched","7.05e-5","7.05e-5","0.142248","3","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p"
"Diseases (MNDR)","Polycystic ovary syndrome","enriched","7.05e-5","7.05e-5","0.0132488","3","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","primary miRNA processing GO0031053","enriched","2.82e-4","2.82e-4","0.455194","3","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p"
"Annotations derived over miRTarBase (Gene Ontology)","DNA-directed DNA polymerase activity GO0003887","enriched","3.92e-4","3.92e-4","0.456712","6","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-8069; hsa-miR-4481; hsa-miR-575"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of regulatory T cell differentiation GO0045590","enriched","4.70e-4","4.70e-4","0.456712","4","hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-6869-5p"
"Annotations derived over miRTarBase (Gene Ontology)","protein-lysine N-methyltransferase activity GO0016279","enriched","4.70e-4","4.70e-4","0.456712","4","hsa-miR-3184-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p"
"Annotations derived over miRTarBase (Gene Ontology)","ribosome biogenesis GO0042254","enriched","5.58e-4","5.58e-4","0.456712","7","hsa-miR-1307-3p; hsa-miR-4730; hsa-miR-125a-3p; hsa-miR-4481; hsa-miR-575; hsa-miR-1203; hsa-miR-6088"
"Annotations derived over miRTarBase (Gene Ontology)","mitotic G2 DNA damage checkpoint signaling GO0007095","enriched","6.89e-4","6.89e-4","0.456712","17","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-5572; hsa-miR-4481; hsa-miR-6787-5p; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-3180; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-663a; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of T cell differentiation GO0045582","enriched","8.34e-4","8.34e-4","0.456712","9","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-8069; hsa-miR-5572; hsa-miR-6088; hsa-miR-1233-5p"
