Feature,Importance,Classifier
hsa-miR-3184-5p,0.5667218565940857,XGBoost
hsa-miR-1307-3p,0.1456472426652908,XGBoost
hsa-miR-4732-5p,0.1024453416466713,XGBoost
hsa-miR-92a-2-5p,0.0781067622874385,SVM
hsa-miR-4730,0.0779065375513629,SVM
hsa-miR-125a-3p,0.0621329152636532,SVM
hsa-miR-4648,0.0557112486494153,SVM
hsa-miR-6869-5p,0.0554345555673363,SVM
hsa-miR-3184-5p,0.0548273985525461,SVM
hsa-miR-1228-5p,0.050415836497133,SVM
hsa-miR-8069,0.0423557354583378,SVM
hsa-miR-5572,0.0414119803296822,SVM
hsa-miR-4481,0.0362073080963079,SVM
hsa-miR-4783-3p,0.0359975881874561,XGBoost
hsa-miR-575,0.0346750087897246,SVM
hsa-miR-1203,0.033378150551033,SVM
hsa-miR-6787-5p,0.0299435853958129,XGBoost
hsa-miR-6088,0.0257933102548122,XGBoost
hsa-miR-6802-5p,0.0222890644792441,SVM
hsa-miR-7110-5p,0.0178952533373971,SVM
hsa-miR-92b-5p,0.0171390212614269,SVM
hsa-miR-4787-5p,0.0168896681161389,SVM
hsa-miR-4730,0.0166437085717916,XGBoost
hsa-miR-3180,0.0148967989800097,SVM
hsa-miR-1233-5p,0.0141701381653547,XGBoost
hsa-miR-6805-5p,0.0137589269415929,SVM
hsa-miR-8073,0.013500642723366,SVM
hsa-miR-4419b,0.0113035645335912,XGBoost
hsa-miR-1469,0.0097535979002714,XGBoost
hsa-miR-6857-5p,0.0096188518172195,SVM
hsa-miR-128-1-5p,0.0095294295116457,SVM
hsa-miR-3940-5p,0.0085503383769607,SVM
hsa-miR-4648,0.0064996420405805,XGBoost
hsa-miR-4675,0.0051577879311099,SVM
hsa-miR-1228-5p,0.0050231399945914,XGBoost
hsa-miR-6131,0.0047164373099803,XGBoost
hsa-miR-663a,0.0046393908560276,XGBoost
hsa-miR-4258,0.0040902383625507,XGBoost
hsa-miR-1238-5p,0.0030821496620774,XGBoost
hsa-miR-4787-3p,0.0030060117132961,XGBoost
hsa-miR-125a-3p,0.0029258748982101,XGBoost
hsa-miR-4734,0.0029256124980747,XGBoost
hsa-miR-128-1-5p,0.00246505998075,XGBoost
hsa-miR-4706,0.0021056096593645,SVM
hsa-miR-7110-5p,0.0015669144922867,XGBoost
hsa-miR-6869-5p,0.0002657063596416,XGBoost
hsa-miR-92b-5p,0.0002369271533098,XGBoost
hsa-miR-1203,0.0001370933023281,XGBoost
hsa-miR-4675,0.0,XGBoost
hsa-miR-6805-5p,0.0,XGBoost
hsa-miR-3180,0.0,XGBoost
hsa-miR-1343-3p,0.0,XGBoost
hsa-miR-4276,0.0,XGBoost
hsa-miR-6857-5p,0.0,XGBoost
hsa-miR-4706,0.0,XGBoost
hsa-miR-92a-2-5p,0.0,XGBoost
hsa-miR-4687-5p,0.0,XGBoost
hsa-miR-3940-5p,0.0,XGBoost
hsa-miR-6784-5p,0.0,XGBoost
hsa-miR-4481,0.0,XGBoost
hsa-miR-8073,0.0,XGBoost
hsa-miR-6746-5p,0.0,XGBoost
hsa-miR-8069,0.0,XGBoost
hsa-miR-575,0.0,XGBoost
hsa-miR-5572,0.0,XGBoost
hsa-miR-6880-3p,0.0,XGBoost
hsa-miR-6802-5p,0.0,XGBoost
hsa-miR-4532,0.0,XGBoost
hsa-miR-4787-5p,0.0,XGBoost
hsa-miR-6784-5p,-0.0003913281438283,SVM
hsa-miR-4258,-0.0050864821012827,SVM
hsa-miR-4687-5p,-0.0062722211267163,SVM
hsa-miR-1238-5p,-0.0066623905584582,SVM
hsa-miR-663a,-0.0083771039388725,SVM
hsa-miR-4276,-0.0097982674790324,SVM
hsa-miR-1469,-0.0152981944115053,SVM
hsa-miR-6880-3p,-0.0189666629850368,SVM
hsa-miR-1343-3p,-0.0200411236988095,SVM
hsa-miR-4787-3p,-0.0204300715691538,SVM
hsa-miR-6746-5p,-0.0207342198453345,SVM
hsa-miR-4419b,-0.0296862122587081,SVM
hsa-miR-1233-5p,-0.0370061507715186,SVM
hsa-miR-6088,-0.0448895033202257,SVM
hsa-miR-4532,-0.049372000208697,SVM
hsa-miR-4732-5p,-0.0567179263042729,SVM
hsa-miR-4734,-0.0591420578734062,SVM
hsa-miR-6787-5p,-0.0597059188313618,SVM
hsa-miR-1307-3p,-0.0645265446317971,SVM
hsa-miR-6131,-0.0653706584040078,SVM
hsa-miR-4783-3p,-0.0722361973038709,SVM
