Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11
CDKN1A,0.12222222222222223,0.0221,0.464,0.521,11,hsa-miR-7110-5p,hsa-miR-6802-5p,hsa-miR-663a,hsa-miR-1233-5p,hsa-miR-3180,hsa-miR-4419b,hsa-miR-4648,hsa-miR-5572,hsa-miR-6787-5p,hsa-miR-6805-5p,hsa-miR-4732-5p
NFIC,0.12222222222222223,0.00446,0.251,0.419,11,hsa-miR-6088,hsa-miR-4687-5p,hsa-miR-125a-3p,hsa-miR-1343-3p,hsa-miR-4481,hsa-miR-4532,hsa-miR-6805-5p,hsa-miR-6857-5p,hsa-miR-7110-5p,hsa-miR-92a-2-5p,hsa-miR-92b-5p
NACC1,0.12222222222222223,0.0053,0.273,0.428,11,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-1233-5p,hsa-miR-3180,hsa-miR-3184-5p,hsa-miR-4419b,hsa-miR-6131,hsa-miR-6802-5p,hsa-miR-6857-5p,hsa-miR-7110-5p,hsa-miR-92a-2-5p
GATAD2A,0.09999999999999998,4.58e-05,0.0243,0.198,9,hsa-miR-4648,hsa-miR-92b-5p,hsa-miR-4481,hsa-miR-92a-2-5p,hsa-miR-3180,hsa-miR-4706,hsa-miR-4787-5p,hsa-miR-663a,hsa-miR-6787-5p,,
ALDOA,0.09999999999999998,0.00434,0.251,0.366,9,hsa-miR-6131,hsa-miR-4787-5p,hsa-miR-4419b,hsa-miR-125a-3p,hsa-miR-6869-5p,hsa-miR-1233-5p,hsa-miR-4481,hsa-miR-4687-5p,hsa-miR-6805-5p,,
PEX26,0.09999999999999998,0.00279,0.195,0.342,9,hsa-miR-4419b,hsa-miR-92a-2-5p,hsa-miR-4675,hsa-miR-6869-5p,hsa-miR-1307-3p,hsa-miR-4481,hsa-miR-4706,hsa-miR-663a,hsa-miR-6787-5p,,
SETD1B,0.0888888888888889,0.0024,0.195,0.305,8,hsa-miR-3940-5p,hsa-miR-1238-5p,hsa-miR-7110-5p,hsa-miR-4481,hsa-miR-1233-5p,hsa-miR-6746-5p,hsa-miR-8069,hsa-miR-92a-2-5p,,,
MLLT1,0.0888888888888889,0.00683,0.301,0.361,8,hsa-miR-4675,hsa-miR-4706,hsa-miR-4481,hsa-miR-1233-5p,hsa-miR-4734,hsa-miR-6746-5p,hsa-miR-6857-5p,hsa-miR-92a-2-5p,,,
SLC7A5,0.0888888888888889,0.0853,0.697,0.58,8,hsa-miR-663a,hsa-miR-4734,hsa-miR-92b-5p,hsa-miR-3180,hsa-miR-4419b,hsa-miR-4481,hsa-miR-4706,hsa-miR-6787-5p,,,
KHSRP,0.0888888888888889,0.0132,0.379,0.405,8,hsa-miR-1343-3p,hsa-miR-128-1-5p,hsa-miR-92b-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-6805-5p,hsa-miR-1233-5p,hsa-miR-7110-5p,,,
PDE4C,0.0888888888888889,0.000384,0.0989,0.232,8,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-4258,hsa-miR-1203,hsa-miR-4532,hsa-miR-6869-5p,hsa-miR-125a-3p,,,
ZNF556,0.07777777777777772,0.00281,0.195,0.28,7,hsa-miR-4532,hsa-miR-4734,hsa-miR-575,hsa-miR-8073,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4419b,,,,
CSK,0.07777777777777772,7.01e-07,0.00217,0.0792,7,hsa-miR-1233-5p,hsa-miR-3180,hsa-miR-4258,hsa-miR-663a,hsa-miR-6787-5p,hsa-miR-92a-2-5p,hsa-miR-92b-5p,,,,
SCAMP4,0.07777777777777772,0.00668,0.301,0.326,7,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-1228-5p,hsa-miR-1343-3p,hsa-miR-7110-5p,hsa-miR-92a-2-5p,,,,
ARHGDIA,0.07777777777777772,0.00989,0.343,0.351,7,hsa-miR-4783-3p,hsa-miR-1343-3p,hsa-miR-4787-5p,hsa-miR-663a,hsa-miR-6787-5p,hsa-miR-7110-5p,hsa-miR-8073,,,,
ORAI2,0.07777777777777772,0.0718,0.664,0.529,7,hsa-miR-6088,hsa-miR-92a-2-5p,hsa-miR-8069,hsa-miR-575,hsa-miR-6131,hsa-miR-4532,hsa-miR-1307-3p,,,,
GDE1,0.07777777777777772,0.0989,0.717,0.571,7,hsa-miR-6869-5p,hsa-miR-4419b,hsa-miR-4675,hsa-miR-1343-3p,hsa-miR-5572,hsa-miR-3184-5p,hsa-miR-4276,,,,
CNKSR3,0.07777777777777772,0.00883,0.329,0.344,7,hsa-miR-5572,hsa-miR-6857-5p,hsa-miR-6869-5p,hsa-miR-575,hsa-miR-1343-3p,hsa-miR-6784-5p,hsa-miR-1307-3p,,,,
YIPF4,0.07777777777777772,0.0354,0.543,0.453,7,hsa-miR-6857-5p,hsa-miR-5572,hsa-miR-8073,hsa-miR-4732-5p,hsa-miR-6131,hsa-miR-92a-2-5p,hsa-miR-4419b,,,,
SBF1,0.07777777777777772,0.00048,0.106,0.208,7,hsa-miR-3180,hsa-miR-4481,hsa-miR-4675,hsa-miR-4706,hsa-miR-663a,hsa-miR-6787-5p,hsa-miR-92b-5p,,,,
NEUROD2,0.07777777777777772,2.77e-05,0.0243,0.134,7,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-3180,hsa-miR-6805-5p,hsa-miR-128-1-5p,hsa-miR-6784-5p,hsa-miR-4532,,,,
CBX8,0.06666666666666665,0.000734,0.114,0.188,6,hsa-miR-6857-5p,hsa-miR-1203,hsa-miR-3180,hsa-miR-3184-5p,hsa-miR-4787-5p,hsa-miR-7110-5p,,,,,
CALR,0.06666666666666665,0.012,0.359,0.326,6,hsa-miR-1343-3p,hsa-miR-92a-2-5p,hsa-miR-7110-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,,,,,
KDM6B,0.06666666666666665,0.0236,0.467,0.378,6,hsa-miR-4706,hsa-miR-4481,hsa-miR-6746-5p,hsa-miR-1203,hsa-miR-125a-3p,hsa-miR-92a-2-5p,,,,,
C3orf36,0.06666666666666665,0.000797,0.114,0.19,6,hsa-miR-3180,hsa-miR-3184-5p,hsa-miR-1238-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,,,,,
NFIX,0.06666666666666665,0.0236,0.467,0.378,6,hsa-miR-92a-2-5p,hsa-miR-128-1-5p,hsa-miR-4706,hsa-miR-4734,hsa-miR-3184-5p,hsa-miR-6746-5p,,,,,
PKM,0.06666666666666665,0.0549,0.622,0.462,6,hsa-miR-1238-5p,hsa-miR-4481,hsa-miR-4648,hsa-miR-4675,hsa-miR-7110-5p,hsa-miR-92a-2-5p,,,,,
CLCN7,0.06666666666666665,1.02e-05,0.0157,0.0895,6,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-3184-5p,hsa-miR-4419b,,,,,
SKI,0.06666666666666665,0.151,0.766,0.606,6,hsa-miR-125a-3p,hsa-miR-3180,hsa-miR-128-1-5p,hsa-miR-663a,hsa-miR-6787-5p,hsa-miR-4675,,,,,
ABL1,0.06666666666666665,0.000675,0.114,0.185,6,hsa-miR-3184-5p,hsa-miR-1233-5p,hsa-miR-663a,hsa-miR-6787-5p,hsa-miR-6802-5p,hsa-miR-8073,,,,,
ARL8A,0.06666666666666665,0.00266,0.195,0.24,6,hsa-miR-7110-5p,hsa-miR-3184-5p,hsa-miR-1228-5p,hsa-miR-4706,hsa-miR-663a,hsa-miR-6787-5p,,,,,
RHOB,0.06666666666666665,0.00446,0.251,0.265,6,hsa-miR-3180,hsa-miR-4787-5p,hsa-miR-663a,hsa-miR-6787-5p,hsa-miR-7110-5p,hsa-miR-92a-2-5p,,,,,
UNK,0.06666666666666665,0.00523,0.273,0.274,6,hsa-miR-4481,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-3184-5p,hsa-miR-6784-5p,,,,,
TPM3,0.06666666666666665,0.0651,0.642,0.482,6,hsa-miR-7110-5p,hsa-miR-4648,hsa-miR-6746-5p,hsa-miR-4419b,hsa-miR-3180,hsa-miR-4687-5p,,,,,
FSCN1,0.06666666666666665,0.0064,0.301,0.286,6,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-6088,hsa-miR-6805-5p,,,,,
SPRY4,0.06666666666666665,0.0287,0.501,0.395,6,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-3184-5p,hsa-miR-1233-5p,hsa-miR-6746-5p,hsa-miR-92a-2-5p,,,,,
OTUB1,0.06666666666666665,9.39e-05,0.0363,0.13,6,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-6805-5p,hsa-miR-7110-5p,,,,,
SLC47A1,0.06666666666666665,0.000214,0.0602,0.15,6,hsa-miR-4730,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-1307-3p,hsa-miR-6784-5p,,,,,
STMN3,0.06666666666666665,6.29e-05,0.0278,0.121,6,hsa-miR-92a-2-5p,hsa-miR-7110-5p,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4787-5p,,,,,
ZNF516,0.06666666666666665,0.00157,0.155,0.216,6,hsa-miR-575,hsa-miR-3180,hsa-miR-4481,hsa-miR-4706,hsa-miR-663a,hsa-miR-6787-5p,,,,,
LMNB2,0.06666666666666665,0.206,0.773,0.667,6,hsa-miR-1343-3p,hsa-miR-3184-5p,hsa-miR-4481,hsa-miR-6088,hsa-miR-7110-5p,hsa-miR-8069,,,,,
ZNF385A,0.06666666666666665,0.0213,0.453,0.369,6,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-6805-5p,hsa-miR-4258,hsa-miR-1307-3p,,,,,
ZNF207,0.06666666666666665,0.0191,0.435,0.361,6,hsa-miR-1343-3p,hsa-miR-1233-5p,hsa-miR-4648,hsa-miR-1307-3p,hsa-miR-4419b,hsa-miR-6746-5p,,,,,
CRISPLD2,0.06666666666666665,0.0636,0.642,0.479,6,hsa-miR-1233-5p,hsa-miR-4419b,hsa-miR-6131,hsa-miR-4532,hsa-miR-1307-3p,hsa-miR-1203,,,,,
ZNF787,0.06666666666666665,4.72e-05,0.0243,0.115,6,hsa-miR-3184-5p,hsa-miR-4419b,hsa-miR-4706,hsa-miR-663a,hsa-miR-6787-5p,hsa-miR-6805-5p,,,,,
PHLDA3,0.06666666666666665,0.0147,0.389,0.341,6,hsa-miR-92a-2-5p,hsa-miR-1307-3p,hsa-miR-4787-5p,hsa-miR-125a-3p,hsa-miR-6131,hsa-miR-4532,,,,,
NPR1,0.06666666666666665,0.0147,0.389,0.341,6,hsa-miR-1343-3p,hsa-miR-6131,hsa-miR-1228-5p,hsa-miR-6088,hsa-miR-4419b,hsa-miR-6746-5p,,,,,
CTDNEP1,0.06666666666666665,0.0022,0.189,0.231,6,hsa-miR-1233-5p,hsa-miR-3184-5p,hsa-miR-125a-3p,hsa-miR-128-1-5p,hsa-miR-6787-5p,hsa-miR-663a,,,,,
ASB16,0.06666666666666665,0.0869,0.699,0.519,6,hsa-miR-92a-2-5p,hsa-miR-4258,hsa-miR-1238-5p,hsa-miR-4481,hsa-miR-3180,hsa-miR-7110-5p,,,,,
LRRC58,0.05555555555555558,0.259,0.773,0.689,5,hsa-miR-1343-3p,hsa-miR-6131,hsa-miR-4732-5p,hsa-miR-6869-5p,hsa-miR-4532,,,,,,
SRCIN1,0.05555555555555558,0.00821,0.317,0.256,5,hsa-miR-92b-5p,hsa-miR-4706,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-6746-5p,,,,,,
PTPRF,0.05555555555555558,0.0182,0.431,0.312,5,hsa-miR-575,hsa-miR-4532,hsa-miR-4730,hsa-miR-7110-5p,hsa-miR-4787-5p,,,,,,
MAPK1,0.05555555555555558,0.207,0.773,0.634,5,hsa-miR-6869-5p,hsa-miR-4675,hsa-miR-6857-5p,hsa-miR-6088,hsa-miR-1307-3p,,,,,,
RHOA,0.05555555555555558,0.0191,0.435,0.315,5,hsa-miR-125a-3p,hsa-miR-1233-5p,hsa-miR-4675,hsa-miR-128-1-5p,hsa-miR-92a-2-5p,,,,,,
TOR4A,0.05555555555555558,0.00732,0.306,0.249,5,hsa-miR-128-1-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-3180,,,,,,
SBK1,0.05555555555555558,0.00775,0.307,0.253,5,hsa-miR-3180,hsa-miR-3184-5p,hsa-miR-4706,hsa-miR-663a,hsa-miR-6787-5p,,,,,,
SFN,0.05555555555555558,0.00821,0.317,0.256,5,hsa-miR-1307-3p,hsa-miR-663a,hsa-miR-6787-5p,hsa-miR-6805-5p,hsa-miR-92a-2-5p,,,,,,
GIGYF1,0.05555555555555558,0.442,0.774,0.869,5,hsa-miR-92a-2-5p,hsa-miR-7110-5p,hsa-miR-1233-5p,hsa-miR-663a,hsa-miR-6787-5p,,,,,,
FXN,0.05555555555555558,0.0407,0.566,0.384,5,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-1307-3p,hsa-miR-6131,hsa-miR-125a-3p,,,,,,
ASB6,0.05555555555555558,0.0275,0.497,0.346,5,hsa-miR-4648,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-1233-5p,,,,,,
RAB11B,0.05555555555555558,0.00868,0.327,0.26,5,hsa-miR-92b-5p,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4532,,,,,,
NRGN,0.05555555555555558,0.000814,0.114,0.152,5,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-1233-5p,hsa-miR-4648,,,,,,
CASTOR2,0.05555555555555558,0.151,0.766,0.568,5,hsa-miR-4258,hsa-miR-4687-5p,hsa-miR-125a-3p,hsa-miR-6784-5p,hsa-miR-4419b,,,,,,
LARP1,0.05555555555555558,0.079,0.688,0.464,5,hsa-miR-1343-3p,hsa-miR-3184-5p,hsa-miR-4687-5p,hsa-miR-92a-2-5p,hsa-miR-92b-5p,,,,,,
PBX2,0.05555555555555558,0.000128,0.044,0.104,5,hsa-miR-1203,hsa-miR-3180,hsa-miR-3184-5p,hsa-miR-663a,hsa-miR-6787-5p,,,,,,
MEF2D,0.05555555555555558,0.0811,0.688,0.467,5,hsa-miR-92a-2-5p,hsa-miR-575,hsa-miR-4419b,hsa-miR-4648,hsa-miR-5572,,,,,,
NPLOC4,0.05555555555555558,0.0235,0.467,0.332,5,hsa-miR-1233-5p,hsa-miR-4481,hsa-miR-4648,hsa-miR-6857-5p,hsa-miR-92b-5p,,,,,,
PCGF3,0.05555555555555558,0.0138,0.389,0.291,5,hsa-miR-92a-2-5p,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4419b,,,,,,
POLR2E,0.05555555555555558,0.0113,0.359,0.277,5,hsa-miR-4258,hsa-miR-1343-3p,hsa-miR-1233-5p,hsa-miR-7110-5p,hsa-miR-92a-2-5p,,,,,,
SUMO1,0.05555555555555558,0.0623,0.642,0.433,5,hsa-miR-6857-5p,hsa-miR-4276,hsa-miR-4481,hsa-miR-92a-2-5p,hsa-miR-125a-3p,,,,,,
MAFK,0.05555555555555558,0.0434,0.581,0.391,5,hsa-miR-4258,hsa-miR-4706,hsa-miR-4734,hsa-miR-663a,hsa-miR-6787-5p,,,,,,
H2AFX,0.05555555555555558,0.00176,0.165,0.18,5,hsa-miR-3180,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-6131,,,,,,
MIDN,0.05555555555555558,0.325,0.773,0.755,5,hsa-miR-3180,hsa-miR-4481,hsa-miR-7110-5p,hsa-miR-92a-2-5p,hsa-miR-3184-5p,,,,,,
COX6B1,0.05555555555555558,0.21,0.773,0.637,5,hsa-miR-1343-3p,hsa-miR-4419b,hsa-miR-4675,hsa-miR-6131,hsa-miR-6088,,,,,,
GNAI2,0.05555555555555558,0.00134,0.145,0.17,5,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-3180,hsa-miR-92b-5p,,,,,,
HDGF,0.05555555555555558,0.311,0.773,0.741,5,hsa-miR-5572,hsa-miR-92a-2-5p,hsa-miR-1233-5p,hsa-miR-3184-5p,hsa-miR-4732-5p,,,,,,
AGO2,0.05555555555555558,0.607,0.805,1.04,5,hsa-miR-125a-3p,hsa-miR-3940-5p,hsa-miR-92a-2-5p,hsa-miR-1343-3p,hsa-miR-92b-5p,,,,,,
SP110,0.05555555555555558,0.00226,0.189,0.19,5,hsa-miR-6869-5p,hsa-miR-92a-2-5p,hsa-miR-1307-3p,hsa-miR-4732-5p,hsa-miR-6088,,,,,,
