Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11
NACC1,0.12790697674418605,0.0044,0.326,0.419,11,hsa-miR-6756-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-1233-5p,hsa-miR-6769a-5p,hsa-miR-197-5p,hsa-miR-4419b,hsa-miR-6131,hsa-miR-6802-5p,hsa-miR-6861-5p,hsa-miR-92a-2-5p
NFIC,0.11627906976744184,0.0113,0.41,0.45,10,hsa-miR-4690-5p,hsa-miR-6756-5p,hsa-miR-4687-5p,hsa-miR-1343-3p,hsa-miR-197-5p,hsa-miR-4532,hsa-miR-6729-5p,hsa-miR-6805-5p,hsa-miR-92a-2-5p,hsa-miR-92b-5p,
CDKN1A,0.11627906976744184,0.0454,0.493,0.56,10,hsa-miR-1260b,hsa-miR-6802-5p,hsa-miR-663a,hsa-miR-1233-5p,hsa-miR-4419b,hsa-miR-642b-3p,hsa-miR-6787-5p,hsa-miR-6805-5p,hsa-miR-4732-5p,hsa-miR-6765-5p,
ORAI2,0.11627906976744184,0.00237,0.307,0.362,10,hsa-miR-320a,hsa-miR-6769a-5p,hsa-miR-92a-2-5p,hsa-miR-8069,hsa-miR-575,hsa-miR-6131,hsa-miR-1260b,hsa-miR-4532,hsa-miR-1247-3p,hsa-miR-1307-3p,
NPR1,0.10465116279069764,0.000112,0.126,0.222,9,hsa-miR-320a,hsa-miR-1343-3p,hsa-miR-197-5p,hsa-miR-6861-5p,hsa-miR-6131,hsa-miR-1228-5p,hsa-miR-4419b,hsa-miR-6746-5p,hsa-miR-1247-3p,,
SLC7A5,0.10465116279069764,0.0321,0.438,0.504,9,hsa-miR-663a,hsa-miR-1260b,hsa-miR-4734,hsa-miR-8059,hsa-miR-92b-5p,hsa-miR-4419b,hsa-miR-4690-5p,hsa-miR-4706,hsa-miR-6787-5p,,
SETD1B,0.10465116279069764,0.000438,0.159,0.265,9,hsa-miR-3940-5p,hsa-miR-4758-5p,hsa-miR-1238-5p,hsa-miR-6756-5p,hsa-miR-1233-5p,hsa-miR-6746-5p,hsa-miR-6769a-5p,hsa-miR-8069,hsa-miR-92a-2-5p,,
SCAMP4,0.09302325581395354,0.00135,0.23,0.279,8,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-1228-5p,hsa-miR-1343-3p,hsa-miR-6756-5p,hsa-miR-6769a-5p,hsa-miR-92a-2-5p,,,
CRISPLD2,0.09302325581395354,0.00572,0.356,0.351,8,hsa-miR-1233-5p,hsa-miR-4419b,hsa-miR-6131,hsa-miR-614,hsa-miR-4532,hsa-miR-1247-3p,hsa-miR-1307-3p,hsa-miR-1203,,,
ZNF556,0.09302325581395354,0.000476,0.159,0.239,8,hsa-miR-4532,hsa-miR-1247-3p,hsa-miR-4734,hsa-miR-575,hsa-miR-8073,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4419b,,,
ALDOA,0.08139534883720934,0.0379,0.454,0.46,7,hsa-miR-1260b,hsa-miR-6131,hsa-miR-4419b,hsa-miR-1233-5p,hsa-miR-4687-5p,hsa-miR-6805-5p,hsa-miR-6861-5p,,,,
SPRY4,0.08139534883720934,0.00721,0.374,0.331,7,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-1233-5p,hsa-miR-6746-5p,hsa-miR-6756-5p,hsa-miR-6769a-5p,hsa-miR-92a-2-5p,,,,
KHSRP,0.08139534883720934,0.0351,0.447,0.452,7,hsa-miR-1343-3p,hsa-miR-92b-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-6805-5p,hsa-miR-1233-5p,hsa-miR-6756-5p,,,,
CALR,0.08139534883720934,0.00246,0.307,0.273,7,hsa-miR-320a,hsa-miR-1343-3p,hsa-miR-92a-2-5p,hsa-miR-6756-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,,,,
