iter	Passed	Remaining
0	151	55704
1	215	39450
2	268	32701
3	293	26677
4	318	23108
5	342	20657
6	367	18952
7	392	17640
8	418	16712
9	443	15878
10	468	15206
11	492	14608
12	517	14135
13	543	13732
14	568	13369
15	595	13094
16	619	12792
17	643	12511
18	668	12275
19	692	12043
20	716	11841
21	741	11662
22	766	11500
23	790	11328
24	814	11175
25	841	11069
26	866	10938
27	891	10823
28	916	10714
29	941	10608
30	966	10508
31	992	10418
32	1017	10327
33	1043	10246
34	1068	10164
35	1093	10086
36	1118	10010
37	1143	9927
38	1166	9842
39	1191	9772
40	1215	9697
41	1240	9631
42	1265	9566
43	1290	9501
44	1314	9432
45	1339	9374
46	1363	9313
47	1387	9251
48	1412	9196
49	1436	9137
50	1460	9080
51	1485	9025
52	1508	8966
53	1532	8909
54	1556	8856
55	1580	8804
56	1604	8754
57	1628	8703
58	1652	8654
59	1675	8601
60	1699	8553
61	1723	8507
62	1747	8459
63	1771	8413
64	1795	8368
65	1819	8326
66	1843	8280
67	1866	8234
68	1890	8192
69	1914	8149
70	1938	8109
71	1962	8069
72	1987	8031
73	2012	7997
74	2042	7979
75	2071	7960
76	2098	7931
77	2125	7901
78	2155	7885
79	2196	7908
80	2225	7884
81	2250	7850
82	2275	7813
83	2300	7778
84	2326	7746
85	2352	7714
86	2377	7679
87	2403	7647
88	2427	7610
89	2452	7574
90	2476	7537
91	2500	7501
92	2525	7468
93	2550	7435
94	2574	7398
95	2599	7364
96	2623	7330
97	2648	7296
98	2673	7264
99	2698	7231
100	2723	7200
101	2750	7172
102	2775	7140
103	2800	7108
104	2824	7075
105	2848	7040
106	2872	7007
107	2896	6972
108	2920	6938
109	2944	6905
110	2968	6872
111	2992	6841
112	3016	6807
113	3040	6773
114	3063	6740
115	3087	6708
116	3112	6676
117	3137	6646
118	3162	6616
119	3187	6587
120	3213	6560
121	3238	6530
122	3262	6498
123	3286	6467
124	3310	6435
125	3334	6405
126	3359	6375
127	3384	6345
128	3409	6316
129	3434	6286
130	3458	6257
131	3483	6227
132	3506	6196
133	3530	6165
134	3555	6135
135	3579	6105
136	3602	6074
137	3626	6043
138	3650	6013
139	3674	5984
140	3698	5954
141	3722	5924
142	3746	5894
143	3770	5865
144	3795	5837
145	3820	5809
146	3846	5782
147	3870	5753
148	3895	5725
149	3919	5696
150	3943	5667
151	3968	5639
152	3992	5610
153	4005	5566
154	4029	5537
155	4053	5508
156	4077	5480
157	4102	5452
158	4126	5423
159	4150	5395
160	4175	5369
161	4202	5343
162	4227	5317
163	4254	5292
164	4280	5266
165	4307	5241
166	4333	5215
167	4359	5190
168	4384	5163
169	4409	5136
170	4433	5107
171	4457	5079
172	4481	5051
173	4507	5025
174	4533	5000
175	4560	4975
176	4589	4952
177	4616	4928
178	4640	4899
179	4665	4872
180	4689	4844
181	4712	4816
182	4736	4787
183	4759	4759
184	4783	4731
185	4806	4703
186	4830	4675
187	4854	4647
188	4877	4619
189	4902	4592
190	4926	4564
191	4949	4537
192	4972	4509
193	4996	4481
194	5020	4453
195	5044	4426
196	5068	4399
197	5092	4372
198	5115	4344
199	5138	4316
200	5163	4290
201	5187	4263
202	5211	4236
203	5235	4208
204	5258	4181
205	5282	4154
206	5306	4127
207	5329	4099
208	5353	4072
209	5377	4045
210	5401	4018
211	5425	3992
212	5448	3965
213	5473	3938
214	5497	3912
215	5521	3885
216	5545	3858
217	5569	3832
218	5594	3806
219	5617	3779
220	5642	3752
221	5665	3725
222	5672	3688
223	5695	3661
224	5719	3634
225	5742	3608
226	5766	3581
227	5789	3555
228	5813	3528
229	5837	3502
230	5860	3475
231	5884	3449
232	5908	3423
233	5933	3397
234	5958	3372
235	5981	3345
236	6005	3319
237	6029	3293
238	6054	3268
239	6079	3242
240	6103	3216
241	6128	3190
242	6152	3164
243	6176	3138
244	6200	3112
245	6227	3088
246	6254	3063
247	6279	3038
248	6304	3012
249	6332	2988
250	6362	2965
251	6387	2940
252	6412	2914
253	6438	2889
254	6464	2864
255	6489	2839
256	6514	2813
257	6633	2828
