"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"BARHL1","0.0000824","0.116","0.0633","4","hsa-miR-3178","hsa-miR-4749-5p","hsa-miR-3184-5p","hsa-miR-139-3p"
"ABCB5","0.146","0.376","0.156","1","hsa-miR-1307-3p","","",""
"ABCC5","0.0306","0.376","0.140","2","hsa-miR-1229-3p","hsa-miR-3184-5p","",""
"ABCC9","0.0527","0.376","0.0539","1","hsa-miR-4511","","",""
"ABHD14B","0.127","0.376","0.135","1","hsa-miR-6722-3p","","",""
"ABL1","0.0449","0.376","0.172","2","hsa-miR-4511","hsa-miR-3184-5p","",""
"ACLY","0.0780","0.376","0.0808","1","hsa-miR-1229-3p","","",""
"ACOT7","0.0214","0.376","0.0215","1","hsa-miR-1229-3p","","",""
"ACTG1","0.0569","0.376","0.197","2","hsa-miR-1307-3p","hsa-miR-3975","",""
"ADAMTS14","0.0979","0.376","0.102","1","hsa-miR-3184-5p","","",""
"ADIRF","0.0680","0.376","0.0700","1","hsa-miR-3184-5p","","",""
"ADM","0.0626","0.376","0.207","2","hsa-miR-3975","hsa-miR-4462","",""
"ADPRHL2","0.0161","0.376","0.0162","1","hsa-miR-1229-3p","","",""
"AHCYL1","0.0267","0.376","0.0269","1","hsa-miR-1229-3p","","",""
"AIF1L","0.0107","0.376","0.0108","1","hsa-miR-1229-3p","","",""
"AK2","0.0424","0.376","0.167","2","hsa-miR-3184-5p","hsa-miR-3130-3p","",""
"AKR1D1","0.103","0.376","0.108","1","hsa-miR-1307-3p","","",""
"AKR7A2","0.0285","0.376","0.230","3","hsa-miR-6857-3p","hsa-miR-4511","hsa-miR-6715b-5p",""
"AKT1S1","0.0363","0.376","0.154","2","hsa-miR-139-3p","hsa-miR-4749-5p","",""
"ALDOC","0.0979","0.376","0.102","1","hsa-miR-3184-5p","","",""
"ALOX15","0.141","0.376","0.151","1","hsa-miR-139-3p","","",""
"ALS2","0.0161","0.376","0.0162","1","hsa-miR-1229-3p","","",""
"ALX1","0.0979","0.376","0.102","1","hsa-miR-3975","","",""
"AMDHD2","0.0979","0.376","0.102","1","hsa-miR-139-3p","","",""
"AMH","0.0929","0.376","0.0970","1","hsa-miR-3178","","",""
"ANKRD42","0.0264","0.376","0.129","2","hsa-miR-3184-5p","hsa-miR-3130-3p","",""
