"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10","microRNA 11"
"CSK","0.0000108","0.0377","0.0903","6","hsa-miR-1233-5p","hsa-miR-663a","hsa-miR-6769a-5p","hsa-miR-6787-5p","hsa-miR-92a-2-5p","hsa-miR-92b-5p","","","","",""
"AFG1L","0.0000321","0.0559","0.0508","4","hsa-miR-1228-5p","hsa-miR-4730","hsa-miR-6787-5p","hsa-miR-663a","","","","","","",""
"HIST1H2BL","0.000145","0.126","0.0720","4","hsa-miR-320a","hsa-miR-3940-5p","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","","",""
"NPR1","0.000112","0.126","0.222","9","hsa-miR-320a","hsa-miR-1343-3p","hsa-miR-197-5p","hsa-miR-6861-5p","hsa-miR-6131","hsa-miR-1228-5p","hsa-miR-4419b","hsa-miR-6746-5p","hsa-miR-1247-3p","",""
"SLC47A1","0.000189","0.132","0.147","6","hsa-miR-4730","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-1307-3p","hsa-miR-6784-5p","","","","",""
"NEUROD2","0.000233","0.136","0.152","6","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-6805-5p","hsa-miR-6784-5p","hsa-miR-4532","hsa-miR-1247-3p","","","","",""
"ATL2","0.000589","0.159","0.142","5","hsa-miR-1228-5p","hsa-miR-663a","hsa-miR-6769a-5p","hsa-miR-6787-5p","hsa-miR-92a-2-5p","","","","","",""
"HIST1H2BO","0.000594","0.159","0.102","4","hsa-miR-92b-5p","hsa-miR-320a","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","","",""
"PPP1R14A","0.000500","0.159","0.0564","3","hsa-miR-320a","hsa-miR-1228-5p","hsa-miR-6784-5p","","","","","","","",""
"SETD1B","0.000438","0.159","0.265","9","hsa-miR-3940-5p","hsa-miR-4758-5p","hsa-miR-1238-5p","hsa-miR-6756-5p","hsa-miR-1233-5p","hsa-miR-6746-5p","hsa-miR-6769a-5p","hsa-miR-8069","hsa-miR-92a-2-5p","",""
"STMN3","0.000589","0.159","0.142","5","hsa-miR-1260b","hsa-miR-92a-2-5p","hsa-miR-6756-5p","hsa-miR-6787-5p","hsa-miR-663a","","","","","",""
"ZNF556","0.000476","0.159","0.239","8","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-4734","hsa-miR-575","hsa-miR-8073","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4419b","","",""
"ZNF787","0.000467","0.159","0.135","5","hsa-miR-4419b","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-6805-5p","","","","","",""
"ARHGAP40","0.000680","0.169","0.0621","3","hsa-miR-6131","hsa-miR-6784-5p","hsa-miR-4532","","","","","","","",""
"PTPN9","0.000733","0.170","0.149","5","hsa-miR-320a","hsa-miR-197-5p","hsa-miR-4690-5p","hsa-miR-6756-5p","hsa-miR-6769a-5p","","","","","",""
"ABHD12","0.000997","0.217","0.159","5","hsa-miR-1247-3p","hsa-miR-320a","hsa-miR-4532","hsa-miR-4706","hsa-miR-6802-5p","","","","","",""
"DSG3","0.00115","0.223","0.0734","3","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","","",""
"MRPL36","0.00109","0.223","0.119","4","hsa-miR-6861-5p","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","",""
"ARHGAP31","0.00145","0.230","0.173","5","hsa-miR-4730","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-4706","hsa-miR-6131","","","","","",""
"HOXB8","0.00142","0.230","0.127","4","hsa-miR-320a","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4687-5p","","","","","","",""
"SCAMP4","0.00135","0.230","0.279","8","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-1228-5p","hsa-miR-1343-3p","hsa-miR-6756-5p","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","","",""
"SFN","0.00130","0.230","0.209","6","hsa-miR-1307-3p","hsa-miR-663a","hsa-miR-6756-5p","hsa-miR-6787-5p","hsa-miR-6805-5p","hsa-miR-92a-2-5p","","","","",""
"CLCN7","0.00161","0.234","0.131","4","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-4419b","","","","","","",""
"H2AFX","0.00159","0.234","0.176","5","hsa-miR-320a","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-6131","","","","","",""
"CALR","0.00246","0.307","0.273","7","hsa-miR-320a","hsa-miR-1343-3p","hsa-miR-92a-2-5p","hsa-miR-6756-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","",""
"ORAI2","0.00237","0.307","0.362","10","hsa-miR-320a","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","hsa-miR-8069","hsa-miR-575","hsa-miR-6131","hsa-miR-1260b","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-1307-3p",""
"PIAS4","0.00229","0.307","0.144","4","hsa-miR-1307-3p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1203","","","","","","",""
"SBF1","0.00251","0.307","0.237","6","hsa-miR-320a","hsa-miR-4690-5p","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-92b-5p","","","","",""
"SF3B1","0.00255","0.307","0.148","4","hsa-miR-1260b","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-1307-3p","","","","","","",""
"ERAP2","0.00309","0.308","0.102","3","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","","",""
"GDI1","0.00280","0.308","0.200","5","hsa-miR-92a-2-5p","hsa-miR-4687-5p","hsa-miR-6769a-5p","hsa-miR-8059","hsa-miR-6756-5p","","","","","",""
"NPW","0.00271","0.308","0.0423","2","hsa-miR-663a","hsa-miR-6787-5p","","","","","","","","",""
"SDF4","0.00309","0.308","0.102","3","hsa-miR-92a-2-5p","hsa-miR-6787-5p","hsa-miR-663a","","","","","","","",""
"SIGLEC12","0.00309","0.308","0.102","3","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","","",""
"ZNF843","0.00309","0.308","0.102","3","hsa-miR-6746-5p","hsa-miR-1247-3p","hsa-miR-4532","","","","","","","",""
"ABL1","0.00400","0.312","0.217","5","hsa-miR-1233-5p","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-6802-5p","hsa-miR-8073","","","","","",""
"CD276","0.00382","0.312","0.165","4","hsa-miR-1260b","hsa-miR-6756-5p","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","","","","","","",""
"DIAPH1","0.00400","0.312","0.217","5","hsa-miR-320a","hsa-miR-1233-5p","hsa-miR-4690-5p","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","","","","","",""
"GRK5","0.00403","0.312","0.0508","2","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","","","","",""
"HIST1H2BE","0.00363","0.312","0.107","3","hsa-miR-3940-5p","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","","","",""
"HPCAL1","0.00347","0.312","0.161","4","hsa-miR-6746-5p","hsa-miR-6784-5p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","",""
"MIF","0.00403","0.312","0.0508","2","hsa-miR-320a","hsa-miR-1228-5p","","","","","","","","",""
"PHYKPL","0.00363","0.312","0.107","3","hsa-miR-6769a-5p","hsa-miR-6756-5p","hsa-miR-197-5p","","","","","","","",""
"POU3F1","0.00382","0.312","0.165","4","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4532","hsa-miR-1247-3p","","","","","","",""
"ZBTB22","0.00382","0.312","0.165","4","hsa-miR-1233-5p","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","hsa-miR-1228-5p","","","","","","",""
"AKR1D1","0.00422","0.320","0.113","3","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","","",""
"C3orf36","0.00458","0.326","0.223","5","hsa-miR-4758-5p","hsa-miR-1238-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","",""
"NACC1","0.00440","0.326","0.419","11","hsa-miR-6756-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1233-5p","hsa-miR-6769a-5p","hsa-miR-197-5p","hsa-miR-4419b","hsa-miR-6131","hsa-miR-6802-5p","hsa-miR-6861-5p","hsa-miR-92a-2-5p"
"PTGR2","0.00458","0.326","0.223","5","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1247-3p","hsa-miR-4419b","hsa-miR-6746-5p","","","","","",""
"CDNF","0.00487","0.339","0.119","3","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-614","","","","","","","",""
"B3GALNT2","0.00520","0.349","0.230","5","hsa-miR-1247-3p","hsa-miR-92a-2-5p","hsa-miR-6756-5p","hsa-miR-92b-5p","hsa-miR-6729-5p","","","","","",""
"UBE2Q1","0.00520","0.349","0.230","5","hsa-miR-6802-5p","hsa-miR-4758-5p","hsa-miR-1238-5p","hsa-miR-6769a-5p","hsa-miR-197-5p","","","","","",""
"AKNA","0.00633","0.356","0.130","3","hsa-miR-575","hsa-miR-6746-5p","hsa-miR-4419b","","","","","","","",""
"ASB6","0.00601","0.356","0.282","6","hsa-miR-1247-3p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-320a","hsa-miR-1233-5p","","","","",""
"CRISPLD2","0.00572","0.356","0.351","8","hsa-miR-1233-5p","hsa-miR-4419b","hsa-miR-6131","hsa-miR-614","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-1307-3p","hsa-miR-1203","","",""
"GPR20","0.00633","0.356","0.130","3","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","","",""
"HIST1H1E","0.00546","0.356","0.182","4","hsa-miR-320a","hsa-miR-3940-5p","hsa-miR-6769a-5p","hsa-miR-6756-5p","","","","","","",""
"HRNR","0.00643","0.356","0.190","4","hsa-miR-8069","hsa-miR-1247-3p","hsa-miR-6787-5p","hsa-miR-663a","","","","","","",""
"NUBP1","0.00557","0.356","0.124","3","hsa-miR-4732-5p","hsa-miR-6131","hsa-miR-1203","","","","","","","",""
"OTUB1","0.00643","0.356","0.190","4","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-6805-5p","","","","","","",""
"TCF3","0.00643","0.356","0.190","4","hsa-miR-320a","hsa-miR-6756-5p","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","","","","","","",""
"TRAF6","0.00626","0.356","0.240","5","hsa-miR-6765-5p","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","hsa-miR-6756-5p","hsa-miR-1247-3p","","","","","",""
"ZSWIM1","0.00589","0.356","0.237","5","hsa-miR-4690-5p","hsa-miR-642b-3p","hsa-miR-6746-5p","hsa-miR-4419b","hsa-miR-6756-5p","","","","","",""
"C11orf70","0.00735","0.374","0.0677","2","hsa-miR-4532","hsa-miR-1247-3p","","","","","","","","",""
"HJURP","0.00715","0.374","0.135","3","hsa-miR-6746-5p","hsa-miR-1247-3p","hsa-miR-4419b","","","","","","","",""
"LNX2","0.00715","0.374","0.135","3","hsa-miR-1233-5p","hsa-miR-4419b","hsa-miR-6746-5p","","","","","","","",""
"LSG1","0.00751","0.374","0.199","4","hsa-miR-1233-5p","hsa-miR-1228-5p","hsa-miR-6756-5p","hsa-miR-575","","","","","","",""
"RPS27","0.00715","0.374","0.135","3","hsa-miR-320a","hsa-miR-1260b","hsa-miR-8069","","","","","","","",""
"SPRY4","0.00721","0.374","0.331","7","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1233-5p","hsa-miR-6746-5p","hsa-miR-6756-5p","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","","","",""
"SRCIN1","0.00746","0.374","0.251","5","hsa-miR-92b-5p","hsa-miR-4706","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-6746-5p","","","","","",""
"ABHD17B","0.00809","0.376","0.203","4","hsa-miR-642b-3p","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-4419b","","","","","","",""
"CASKIN2","0.00803","0.376","0.141","3","hsa-miR-6756-5p","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","","","","","","","",""
"PGAP1","0.00803","0.376","0.141","3","hsa-miR-575","hsa-miR-663a","hsa-miR-6787-5p","","","","","","","",""
"TACC3","0.00803","0.376","0.141","3","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","","",""
"ZFP82","0.00803","0.376","0.141","3","hsa-miR-4532","hsa-miR-1247-3p","hsa-miR-1307-3p","","","","","","","",""
"PDE4C","0.00834","0.378","0.302","6","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-1203","hsa-miR-4532","hsa-miR-1247-3p","","","","",""
"PMPCA","0.00834","0.378","0.257","5","hsa-miR-1247-3p","hsa-miR-4419b","hsa-miR-6769a-5p","hsa-miR-6756-5p","hsa-miR-6131","","","","","",""
"ADGRB2","0.00935","0.379","0.0762","2","hsa-miR-4687-5p","hsa-miR-6746-5p","","","","","","","","",""
"BLOC1S3","0.00870","0.379","0.207","4","hsa-miR-1247-3p","hsa-miR-6746-5p","hsa-miR-4419b","hsa-miR-575","","","","","","",""
"CHRNE","0.00935","0.379","0.0762","2","hsa-miR-4732-5p","hsa-miR-4687-5p","","","","","","","","",""
"CNNM4","0.00881","0.379","0.261","5","hsa-miR-575","hsa-miR-1260b","hsa-miR-1203","hsa-miR-6756-5p","hsa-miR-1247-3p","","","","","",""
"CTDP1","0.00935","0.379","0.0762","2","hsa-miR-6131","hsa-miR-6784-5p","","","","","","","","",""
"ERCC6L","0.00897","0.379","0.147","3","hsa-miR-8073","hsa-miR-92b-5p","hsa-miR-8059","","","","","","","",""
"G6PD","0.00897","0.379","0.147","3","hsa-miR-6769a-5p","hsa-miR-6805-5p","hsa-miR-92a-2-5p","","","","","","","",""
"GNAI2","0.00870","0.379","0.207","4","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-92b-5p","","","","","","",""
"PRSS12","0.00935","0.379","0.0762","2","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","","","","",""
"IL10RB","0.00998","0.400","0.152","3","hsa-miR-1307-3p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","","",""
"ANKRD39","0.0169","0.410","0.0169","1","hsa-miR-320a","","","","","","","","","",""
"AQP1","0.0169","0.410","0.0169","1","hsa-miR-320a","","","","","","","","","",""
"AQP2","0.0116","0.410","0.0846","2","hsa-miR-4734","hsa-miR-6746-5p","","","","","","","","",""
"ARHGAP39","0.0114","0.410","0.224","4","hsa-miR-92b-5p","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","","","","","","",""
"ATPAF2","0.0169","0.410","0.0169","1","hsa-miR-320a","","","","","","","","","",""
"BBS1","0.0140","0.410","0.0931","2","hsa-miR-197-5p","hsa-miR-6861-5p","","","","","","","","",""
"C10orf111","0.0110","0.410","0.158","3","hsa-miR-6765-5p","hsa-miR-1203","hsa-miR-4419b","","","","","","","",""
"CARD10","0.0160","0.410","0.181","3","hsa-miR-92a-2-5p","hsa-miR-4532","hsa-miR-1247-3p","","","","","","","",""
"CHD1L","0.0169","0.410","0.0169","1","hsa-miR-320a","","","","","","","","","",""
"CKB","0.0140","0.410","0.0931","2","hsa-miR-320a","hsa-miR-1260b","","","","","","","","",""
"DHRSX","0.0169","0.410","0.0169","1","hsa-miR-320a","","","","","","","","","",""
"DIRAS1","0.0134","0.410","0.169","3","hsa-miR-4706","hsa-miR-6769a-5p","hsa-miR-92a-2-5p","","","","","","","",""
"DOK3","0.0169","0.410","0.0169","1","hsa-miR-320a","","","","","","","","","",""
"DTX3","0.0169","0.410","0.0169","1","hsa-miR-320a","","","","","","","","","",""
"DUSP14","0.0160","0.410","0.181","3","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","","","","","","","",""
