Feature,Importance,Classifier
hsa-miR-663a,0.4022867083549499,XGBoost
hsa-miR-8073,0.2464420050382614,XGBoost
hsa-miR-6802-5p,0.2430040687322616,XGBoost
hsa-miR-6131,0.209002716435129,SVM
hsa-miR-4734,0.2061708788201494,SVM
hsa-miR-6746-5p,0.1986317648213494,SVM
hsa-miR-8073,0.1569028212563373,SVM
hsa-miR-4690-5p,0.151007215484958,SVM
hsa-miR-4532,0.1488878789277751,SVM
hsa-miR-1469,0.1429689359290614,SVM
hsa-miR-4758-5p,0.1412088638725169,SVM
hsa-miR-642b-3p,0.1402383235624225,SVM
hsa-miR-4783-3p,0.1399782834217645,SVM
hsa-miR-6729-5p,0.134302491373591,SVM
hsa-miR-1343-3p,0.1174945267987287,SVM
hsa-miR-1307-3p,0.1164643638028295,SVM
hsa-miR-663a,0.1157709014594595,SVM
hsa-miR-614,0.0827734808985959,SVM
hsa-miR-1238-5p,0.0680241810376067,SVM
hsa-miR-4706,0.0603092743117044,SVM
hsa-miR-197-5p,0.0564192231947365,SVM
hsa-miR-4734,0.046255424618721,XGBoost
hsa-miR-92b-5p,0.0331639217911432,SVM
hsa-miR-5100,0.0291769922930502,SVM
hsa-miR-4690-5p,0.0108974641188979,XGBoost
hsa-miR-4687-5p,0.0088784405961632,XGBoost
hsa-miR-1260b,0.0082463482394814,XGBoost
hsa-miR-1233-5p,0.0079236053119343,SVM
hsa-miR-4730,0.0064835916273295,XGBoost
hsa-miR-4758-5p,0.0035751441027969,XGBoost
hsa-miR-92a-2-5p,0.0030356685165315,XGBoost
hsa-miR-1238-5p,0.0025432433467358,XGBoost
hsa-miR-1247-3p,0.0022151961456984,XGBoost
hsa-miR-8069,0.0020274268463253,XGBoost
hsa-miR-1228-5p,0.0015682345256209,XGBoost
hsa-miR-6805-5p,0.0012047041673213,XGBoost
hsa-miR-6131,0.0011475108331069,XGBoost
hsa-miR-6756-5p,0.0010529088322073,XGBoost
hsa-miR-5100,0.0009403822477906,XGBoost
hsa-miR-642b-3p,0.0009261505911126,XGBoost
hsa-miR-3917,0.0009101683390326,XGBoost
hsa-miR-6746-5p,0.0006938963779248,XGBoost
hsa-miR-8059,0.000647606793791,XGBoost
hsa-miR-4419b,0.0006106626824475,XGBoost
hsa-miR-6729-5p,0.0006101168692111,XGBoost
hsa-miR-1469,0.0005533064249902,XGBoost
hsa-miR-1343-3p,0.0005041860858909,XGBoost
hsa-miR-1203,0.0004175434296485,XGBoost
hsa-miR-3940-5p,0.0003996801387984,XGBoost
hsa-miR-4706,0.0003750313189812,XGBoost
hsa-miR-197-5p,0.0003655251057352,XGBoost
hsa-miR-1307-3p,0.0002507526951376,XGBoost
hsa-miR-575,0.0002456480287946,XGBoost
hsa-miR-320a,0.0002442302065901,XGBoost
hsa-miR-4783-3p,0.0002113107329932,XGBoost
hsa-miR-6787-5p,0.0001000854899757,XGBoost
hsa-miR-6784-5p,8.125278691295534e-05,XGBoost
hsa-miR-6765-5p,4.842413545702584e-05,XGBoost
hsa-miR-614,0.0,XGBoost
hsa-miR-6861-5p,0.0,XGBoost
hsa-miR-4532,0.0,XGBoost
hsa-miR-1233-5p,0.0,XGBoost
hsa-miR-92b-5p,0.0,XGBoost
hsa-miR-6802-5p,-2.6407980588486332e-05,SVM
hsa-miR-1247-3p,-0.0067022528329568,SVM
hsa-miR-4687-5p,-0.0313500602790734,SVM
hsa-miR-1260b,-0.0314022877123676,SVM
hsa-miR-4419b,-0.0338715077148781,SVM
hsa-miR-8059,-0.0366095695035913,SVM
hsa-miR-6787-5p,-0.036616070261541,SVM
hsa-miR-3940-5p,-0.0375859235515893,SVM
hsa-miR-320a,-0.0410261548319848,SVM
hsa-miR-6769a-5p,-0.0635890887570654,SVM
hsa-miR-575,-0.0944644019107718,SVM
hsa-miR-6861-5p,-0.1156429614788653,SVM
hsa-miR-4732-5p,-0.1334537244254637,SVM
hsa-miR-6765-5p,-0.1540482013233929,SVM
hsa-miR-6784-5p,-0.1575321716483344,SVM
hsa-miR-6805-5p,-0.1576522333025947,SVM
hsa-miR-8069,-0.1638771717014561,SVM
hsa-miR-1203,-0.1807800295683301,SVM
hsa-miR-6756-5p,-0.1875346387670589,SVM
hsa-miR-92a-2-5p,-0.1907206317589772,SVM
hsa-miR-1228-5p,-0.2268302004164604,SVM
hsa-miR-3917,-0.2384421089757611,SVM
hsa-miR-4730,-0.2439177462136049,SVM
