Feature,Importance,Classifier
hsa-miR-4783-3p,0.4775193929672241,XGBoost
hsa-miR-1307-3p,0.1854079961776733,XGBoost
hsa-miR-3184-5p,0.1341281086206436,XGBoost
hsa-miR-1307-3p,0.0716023237536074,SVM
hsa-miR-6131,0.0654472964527649,SVM
hsa-miR-6090,0.0612803974040423,SVM
hsa-miR-1233-5p,0.0604740401362469,SVM
hsa-miR-4783-3p,0.0569363251955482,SVM
hsa-miR-4732-5p,0.0563682980173974,SVM
hsa-miR-6787-5p,0.0503401175480623,SVM
hsa-miR-197-5p,0.0451061696562427,SVM
hsa-miR-1233-5p,0.0438457839190959,XGBoost
hsa-miR-1469,0.0414610846408048,SVM
hsa-miR-4734,0.0406175458255807,SVM
hsa-miR-663a,0.0356648893944306,SVM
hsa-miR-4532,0.0351708554960788,SVM
hsa-miR-1238-5p,0.0285824900321679,SVM
hsa-miR-1343-3p,0.0242580140500647,SVM
hsa-miR-4419b,0.0230037989920179,SVM
hsa-miR-1203,0.0228082779794931,XGBoost
hsa-miR-4690-5p,0.0224973114470976,SVM
hsa-miR-320a,0.0215771235803004,SVM
hsa-miR-6746-5p,0.0199374060860175,SVM
hsa-miR-4758-5p,0.0194983277607774,SVM
hsa-miR-1228-5p,0.0182818602770566,XGBoost
hsa-miR-6802-5p,0.0146255888522431,SVM
hsa-miR-6784-5p,0.0139549961313605,XGBoost
hsa-miR-1469,0.0135641964152455,XGBoost
hsa-miR-3940-5p,0.011215298436582,XGBoost
hsa-miR-92b-5p,0.00787115909666,SVM
hsa-miR-663a,0.0074615804478526,XGBoost
hsa-miR-4690-5p,0.0064279441721737,XGBoost
hsa-miR-4758-5p,0.0061336401849985,XGBoost
hsa-miR-575,0.0060155019164085,XGBoost
hsa-miR-4706,0.0051672151312232,XGBoost
hsa-miR-125a-3p,0.0050316746346652,XGBoost
hsa-miR-1238-5p,0.0047160144895315,XGBoost
hsa-miR-4730,0.0046152332797646,XGBoost
hsa-miR-6787-5p,0.0044268094934523,XGBoost
hsa-miR-4419b,0.004289730452001,XGBoost
hsa-miR-4732-5p,0.0039094914682209,XGBoost
hsa-miR-4532,0.0037367732729762,XGBoost
hsa-miR-197-5p,0.0035554459318518,XGBoost
hsa-miR-6800-5p,0.0034556468017399,XGBoost
hsa-miR-320a,0.0029646304901689,XGBoost
hsa-miR-6756-5p,0.0028363608216913,SVM
hsa-miR-4648,0.0024927854537963,XGBoost
hsa-miR-6857-5p,0.0023796668981425,SVM
hsa-miR-642b-3p,0.002327418886125,XGBoost
hsa-miR-6805-5p,0.0011892957845702,XGBoost
hsa-miR-4675,0.0005807933415023,SVM
hsa-miR-6131,0.0004133934271521,XGBoost
hsa-miR-4734,0.0003993290883954,XGBoost
hsa-miR-6729-5p,0.000219065696001,XGBoost
hsa-miR-128-1-5p,0.0001349984522676,XGBoost
hsa-miR-92a-2-5p,0.000113196496386,XGBoost
hsa-miR-6746-5p,7.722582085989416e-05,XGBoost
hsa-miR-5195-3p,0.0,XGBoost
hsa-miR-4276,0.0,XGBoost
hsa-miR-1343-3p,0.0,XGBoost
hsa-miR-4675,0.0,XGBoost
hsa-miR-6857-5p,0.0,XGBoost
hsa-miR-4687-5p,0.0,XGBoost
hsa-miR-92b-5p,0.0,XGBoost
hsa-miR-6861-5p,0.0,XGBoost
hsa-miR-6769a-5p,0.0,XGBoost
hsa-miR-6090,0.0,XGBoost
hsa-miR-887-3p,0.0,XGBoost
hsa-miR-6756-5p,0.0,XGBoost
hsa-miR-6802-5p,0.0,XGBoost
hsa-miR-6769a-5p,-0.0007389999993265,SVM
hsa-miR-5195-3p,-0.0033478706468781,SVM
hsa-miR-6861-5p,-0.0058539207040735,SVM
hsa-miR-4706,-0.0080833745489789,SVM
hsa-miR-4276,-0.0087092445831821,SVM
hsa-miR-642b-3p,-0.0098305590664359,SVM
hsa-miR-6729-5p,-0.0137553007842766,SVM
hsa-miR-6784-5p,-0.0168883539411433,SVM
hsa-miR-128-1-5p,-0.0214813924755901,SVM
hsa-miR-92a-2-5p,-0.0222233380534846,SVM
hsa-miR-887-3p,-0.0279847616467427,SVM
hsa-miR-6800-5p,-0.028755574976869,SVM
hsa-miR-3940-5p,-0.0339750531743006,SVM
hsa-miR-4687-5p,-0.0343875721949724,SVM
hsa-miR-575,-0.0362399457102878,SVM
hsa-miR-6805-5p,-0.0382161861340238,SVM
hsa-miR-3184-5p,-0.0404834074239485,SVM
hsa-miR-1228-5p,-0.0411820249691917,SVM
hsa-miR-125a-3p,-0.0422009993349718,SVM
hsa-miR-1203,-0.0459388211768612,SVM
hsa-miR-4648,-0.0618316189653773,SVM
hsa-miR-4730,-0.0824037555591709,SVM
