Feature,Importance,Classifier
hsa-miR-3178,0.3701092940338268,SVM
hsa-miR-6857-3p,0.3022077448103279,SVM
hsa-miR-4647,0.2444999225052195,SVM
hsa-miR-4749-5p,0.2402691543102264,XGBoost
hsa-miR-6869-3p,0.2365190880021173,SVM
hsa-miR-139-3p,0.0918809351310346,SVM
hsa-miR-4462,0.0870246291160583,XGBoost
hsa-miR-4647,0.0691195279359817,XGBoost
hsa-miR-4439,0.069004401564598,XGBoost
hsa-miR-4472,0.0680680349469184,XGBoost
hsa-miR-3178,0.0675175562500953,XGBoost
hsa-miR-6769b-5p,0.0595313347876071,XGBoost
hsa-miR-937-5p,0.0572369918227195,XGBoost
hsa-miR-139-3p,0.0536666475236415,XGBoost
hsa-miR-6895-3p,0.0514064654707908,XGBoost
hsa-miR-548h-5p,0.0513586662709713,XGBoost
hsa-miR-7846-3p,0.0486436374485492,XGBoost
hsa-miR-6857-3p,0.041047066450119,XGBoost
hsa-miR-6869-3p,0.0361058749258518,XGBoost
hsa-miR-6769b-5p,-0.1045533032532625,SVM
hsa-miR-4472,-0.1249746124048416,SVM
hsa-miR-6895-3p,-0.1605681949514654,SVM
hsa-miR-548h-5p,-0.1748432594395282,SVM
hsa-miR-3155b,-0.2409404819223864,SVM
hsa-miR-7846-3p,-0.2818289864600645,SVM
hsa-miR-937-5p,-0.322315577130461,SVM
hsa-miR-4439,-0.4271833452226092,SVM
hsa-miR-4462,-0.5575183510513464,SVM
hsa-miR-4749-5p,-0.7362421903417851,SVM
