Score,SuperPath Name,# SuperPath Total Genes,# SuperPath Matched Genes,Matched Genes (Symbols),Evidence URL
49.83,Gene Expression (Transcription),1543,161,"LRPPRC, ZNF154, HAND2, POLR1B, DR1, ZNF699, ZNF701, ZNF549, ZNF550, ZNF551, ZNF557, ZNF561, ZNF562, ZNF704, ZNF708, PTPN1, RANBP2, TXNIP, BRD2, TOPBP1, NUP62, FBXO32, GTF2H5, CCNB1, POLR2E, TNKS1BP1, GATAD2A, VEGFA, MDM4, MYC, ZNF268, ZNF28, BRPF1, GLI2, ZNF385A, ZNF394, HSP90AA1, TACO1, U2AF2, PHAX, BTG2, CCNK, TAF1, ZNF570, ZNF573, ZNF585B, ZNF589, HCFC1, CSTF1, CSTF2, NCOR2, SFN, HSPD1, ZNF711, DNA2, ZNF282, UBE2D1, UBE2I, TP53, AGO2, ZNF611, KMT2A, ZNF621, KMT2B, KMT2D, COMMD3-BMI1, CBX3, RBBP5, EP300, MAPKAPK5, GEM, PCGF5, CHEK1, CHEK2, ZFP30, BBC3, ZNF641, USP9X, YAP1, ZNF426, SMAD2, ZNF440, YES1, RBM8A, COX6B1, OGT, COX8A, SUMO1, TAL1, TCF3, H2AC8, FOS, H2AX, HUS1, YWHAE, PRELID1, DDIT4, E2F4, RBX1, H2BC15, H2BC21, YWHAZ, YY1, H2BC5, SUV39H1, SUZ12, ZNF764, RFC5, JUN, JUNB, H3-3B, TDRKH, RRN3, DDX39B, ZKSCAN3, MAF, ZNF799, PABPN1, ACTB, GPI, TARBP2, KCTD15, SEM1, PPARA, PIN1, PAGR1, SRRT, ZNF662, IL2RA, ZNF347, EED, TET3, ZC3H11A, TFAP2B, RICTOR, ZNF486, ZNF490, NFIB, ZNF12, TGFA, NFIX, ESRRB, SIN3A, RYBP, FZR1, G6PD, BMI1, RPA1, CALM2, H4C3, CAMK2A, SKI, MLH1, MLLT1, DGCR8, CDK4, SNRPD3, PAX5, DYRK2, CDK6, CDK9",https://pathcards.genecards.org/card/gene_expression_(transcription)
33.16,Infectious Disease,1818,163,"SLC5A5, MUC17, MAP2K1, MAP2K3, MAP2K4, SLC12A6, LARP1, NCKAP1, MAP2K7, STAT5A, THSD4, RANBP2, TXNIP, TOPBP1, NUP62, TAB1, B2M, GTF2H5, ABCC6, CCNB1, POLR2E, CEBPD, RPL14, GATAD2A, VEGFA, SAR1B, MYC, FGB, PTPN6, SPCS3, HSP90AA1, FGF1, GCLM, FGF19, HSPA1B, CCNK, TAF1, TIRAP, B4GALT7, ANTXR2, FGF9, NCOR2, SFN, RPL22, TLN1, DNA2, HHAT, FGFR4, UBE2D1, UBE2I, TP53, AGO2, MED28, ABI2, SLC24A4, CEP43, ENTPD5, UBE2V1, GNAI2, RPL24, NLRP12, AP2M1, ACACA, EP300, KPNA1, GEMIN2, GEMIN4, AGTRAP, GNB2, GNG12, RPL41, AHCY, KREMEN1, SPON2, XRCC6, APH1A, RNF185, SMAD2, SLC33A1, HLA-A, HLA-B, HLA-C, YES1, H2AC12, SUMO1, H2AC8, H2AX, HUS1, GP5, ATIC, MSN, YWHAE, CHST6, E2F3, RBX1, H2BC15, H2BC21, YWHAZ, H2BC5, PRELP, SUZ12, GPC4, MYO10, RFC5, JUN, JUNB, MYO18A, H3-3B, MGAT5, ATP1A2, TPST2, IL17RA, PABPN1, ACTB, AKT1S1, PDGFRA, TRAF3, SEM1, SHOC2, TRAF6, MC2R, ALG14, PPFIBP1, PAK2, CDC37, EED, ALG9, VAV3, IFNGR2, TPM3, RICTOR, VPS37D, FXYD1, TGFA, TRAT1, RPS15A, CYP11A1, SIN3A, WASF2, FZR1, PEDS1-UBE2V1, G3BP1, RPS16, GRB2, THBS2, ST6GAL1, RPA1, CALM2, CALR, H4C3, CAMK2A, CNBP, SLC5A2, MLH1, CDK4, HPRT1, POLA2, SNRPD3, CDK6, CDK9, MPRIP, RAB5B, CSK",https://pathcards.genecards.org/card/infectious_disease
32.47,Regulation of Activated PAK-2p34 By Proteasome Mediated Degradation,943,100,"MAP2K4, HAND2, MAP2K7, INO80B, BRD2, TAB1, B2M, PFN1, ABCC6, WEE1, CCNB1, VEGFA, TACC3, ABCF1, MDM4, MYC, GLI2, PTPN6, ZNF385A, HSP90AA1, ELAVL1, HSPA14, KLHL12, HSPA1B, HCFC1, DAB2IP, DNA2, HHAT, RASGRP3, UBE2D1, UBE2D2, UBE2G1, TP53, AGO2, HHIP, UBE2V1, AP2M1, EP300, MAPKAPK5, TNPO1, GNB2, GNG12, CHEK1, CHEK2, ZFP36, XIAP, DCP2, APH1A, RNF185, YAP1, HLA-A, HLA-B, HLA-C, YES1, H2AC12, OGT, REL, H2AC8, FOS, H2AX, E2F4, RBX1, GINS3, YWHAZ, YY1, CD3D, CD3E, FOXK1, RFC5, JUN, MAF, ACTB, ORAI2, TRAF3, SEM1, TRAF6, PRKG2, RHOA, PAK2, VAV3, CDC6, SMOX, AMD1, NFKBIB, FZR1, PEDS1-UBE2V1, KHSRP, GRB2, RAC3, RPA1, CALM2, CALR, ATXN2, MCM8, CAMK2A, KIF3A, CDK4, POLA2, POLD3, FBXL18",https://pathcards.genecards.org/card/regulation_of_activated_pak-2p34_by_proteasome_mediated_degradation
31.17,Signal Transduction,2597,212,"MAP2K1, ARL4C, NHS, ADM, NCKAP1, STAT5A, AXL, PTPN1, EIF4EBP1, RANBP10, RANBP2, TAB1, PFN1, WDR91, TIAL1, DIAPH1, LRRC1, POLR2E, GATAD2A, VEGFA, PTPN3, TACC3, MDK, MYC, NPY4R, FGB, GLI2, PTPN6, SPC25, HSP90AA1, FGF1, TACR3, PTPRF, CENPA, F2R, FGF19, KLHL12, CENPN, CCNK, ZDHHC21, MYH11, DAB2IP, FGF9, NCOR2, SFN, TLN1, HHAT, RASGRP3, OTUD7B, FGFR4, UBE2D1, UBE2D2, TP53, DTX1, RND2, AGO2, ABI2, HHIP, KMT2D, COMMD3-BMI1, GNAI2, DBN1, RBBP5, AP2M1, BAMBI, EP300, CEP97, RBCK1, OCRL, SCD, MAPKAPK5, LTBP4, GNB2, GNG12, FAM135A, CHEK1, KREMEN1, XIAP, USP9X, TRIB1, SOX4, GFRA1, FMNL3, PXN, APH1A, YAP1, SPPL2A, LETM1, SMAD2, YES1, CTTN, PYGO2, UHMK1, MOB1A, H2AC8, SMAD5, FOS, BCAR1, H2AX, SH3PXD2A, YWHAE, FOSL1, E2F3, E2F4, RBX1, H2BC15, H2BC21, RCC2, RCE1, GIPC1, SPRY1, YWHAZ, YY1, H2BC5, CPT1A, SUZ12, JUN, JUNB, JUND, H3-3B, H3-4, DDX39B, TAOK1, CXCL8, PSAP, PLEKHG3, TRA2B, ACTB, AKT1S1, PDE3A, ULK1, PDE4C, PDE4D, RDH11, PDE7B, SHMT2, DOCK11, RGS5, PDGFRA, SEM1, PIN1, SHOC2, TRAF6, MC2R, PRKG2, CLASP1, PDK3, RHOA, PAK2, RTN4, CDC37, IL2RA, EED, VAV3, PMEPA1, GPR20, GPR27, HNRNPC, TPM3, PEA15, PEAK1, RICTOR, NAB2, ATP6V0E1, CLIP1, TFRC, TGFA, TRAT1, EFHD2, ARHGAP15, ARHGAP18, ATP6V1F, SIN3A, ARHGAP29, ESYT1, ARHGAP31, ARHGAP39, WASF2, IL6ST, BMI1, BMPR1A, GRB2, RAC3, RACGAP1, THBS2, PTBP1, CALM2, ARHGEF18, H4C3, CAMK2A, SKI, AMH, ANGPTL3, KIF2C, KIF3A, ZWINT, S1PR2, GRM5, TULP3, LAMC1, CDK4, CCL16, SAA1, INHBA, CDK9, ARL13B, PYGO1, PAK4, MEF2D, CSK, WNT16, ITGB8",https://pathcards.genecards.org/card/signal_transduction
30.74,Cellular Responses to Stimuli,819,89,"MAP2K3, CAPZA1, CAPZA2, RAI1, SZT2, LRPPRC, MAP2K4, MAP2K7, HDGF, HSBP1, RANBP2, TXNIP, NUP62, CEBPG, RPL14, VEGFA, MDM4, MYC, HSP90AA1, TACO1, HSPA14, GCLM, CASTOR2, HSPA1B, HSPA4L, NCOR2, RPL22, TLN1, PHB2, BACH1, UBE2D1, UBE2D2, CHAC1, TP53, COMMD3-BMI1, RPL24, EP300, MAPKAPK5, FKBP14, RPL41, DCP2, H1-4, DCTN6, UBXN7, COX6B1, COX8A, DNAJA2, YME1L1, H2AC8, FOS, H2AX, YWHAE, E2F3, RBX1, H2BC15, H2BC21, H2BC5, SUZ12, JUN, H3-3B, H3-4, CXCL8, MAFK, AKT1S1, CREB3L2, ACTR1A, TERF2, ERO1A, SEM1, PPARA, SRPRB, KDM6B, EED, ATP6V0E1, ATP6V1F, RPS15A, SIN3A, FZR1, G6PD, BMI1, RPS16, KHSRP, RPA1, CALR, H4C3, CAMK2A, CDK4, CDK6, MEF2D",https://pathcards.genecards.org/card/cellular_responses_to_stimuli
29.53,MAP Kinase Signaling,113,26,"MAP2K1, MAP2K3, MAP2K4, NIBAN2, MAP2K7, TAB1, RASD1, SFN, RASGRP3, MAPKAPK5, RPS6KA4, YES1, FOS, YWHAE, FOSL1, FOSL2, SPRY1, YWHAZ, JUN, JUNB, JUND, SPAG9, SHOC2, PEA15, CAD, RAC3",https://pathcards.genecards.org/card/map_kinase_signaling
28.89,Metabolism of Proteins,2077,175,"MUC17, CAPZA1, CAPZA2, FBXL4, NICN1, TNIP2, LARS1, INO80B, THSD4, EIF4EBP1, RANBP2, FEM1A, FEM1C, NUP62, TAB1, B2M, B3GALNT2, FBXO32, THY1, CCNF, RPL14, SAR1B, MDM4, MYC, TIMM10, SPCS3, TIMM17A, MRPL12, U2AF2, USP12, KLHL11, TIMP1, KLHL21, B4GALT5, OTUB1, HCFC1, USP22, NCOR2, RPL22, HSPD1, OTUD7B, UBE2D1, UBE2D2, UBE2G1, UBE2H, UBE2I, TP53, ASB16, HIC1, PPP6R1, LSAMP, COMMD3-BMI1, MRPL44, RPL24, COPS7B, MRPL9, MRPS10, RBBP5, ACAD8, EP300, UBE2Z, GNB2, GNG12, MRPS14, MRPS15, DCAF16, RPL41, DCAF7, MRPS16, NDUFV3, GFM1, USP9X, RNF152, MRPS23, ASPH, SPON2, METTL21A, APH1A, DCTN6, UBXN7, RNF185, YARS1, MRPS5, DDA1, SMAD2, HLA-A, FN3K, DDB1, H2AC12, UGGT2, OGT, SUMO1, YME1L1, YOD1, PIGP, H2AC8, FOLR1, H2AX, QSOX1, MSRB1, PRELID1, RNF40, RBX1, H2BC15, H2BC21, RCE1, YY1, H2BC5, SUZ12, RAB11B, NUCB1, FOXK1, H3-3B, MGAT5, TPST2, ACTB, ASB6, ACTR1A, ATP5F1A, PLET1, RAB14, SHMT2, TRAF3, SEM1, SRP9, PPARA, SRPRB, TRAF6, ALG14, RHOA, ALG9, TRAPPC2, HNRNPC, VCPIP1, SENP2, TFAP2B, SSR3, MCFD2, VWA1, TGFA, PMPCA, TTLL12, IGFBP4, RPS15A, SIN3A, FARSA, TTLL7, RAB8B, BMI1, TGOLN2, RPS16, VDAC2, THBS2, CLPP, ST6GAL1, ST6GALNAC1, RPA1, CALM2, CALR, H4C3, AMDHD2, ST8SIA5, MAN1C1, LAMC1, SAA1, INHBA, FBXL13, FBXL18, EIF1AX, RAB17, RAB15, RAB5B, CS, SRP19, RAB32",https://pathcards.genecards.org/card/metabolism_of_proteins
26.68,DNA Damage,296,43,"BRD2, TOPBP1, WEE1, CCNB1, CCNF, TACC3, CENPA, ARPP19, OTUB1, HCFC1, SFN, TP53, PHLDA3, CHEK1, CHEK2, XRCC6, APEX1, DDB1, FOS, H2AX, HUS1, YWHAE, DDIT4, RCC2, YWHAZ, YY1, JUNB, SPART, TERF2, PIN1, SMG1, CDC37, CDC6, CAD, MKI67, RPA1, MLH1, CDK16, CDK4, DYRK2, CDK6, CDK9, NEK7",https://pathcards.genecards.org/card/dna_damage
20.47,Pleural Mesothelioma,409,48,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, MCU, EIF4EBP1, VEGFA, MDK, MDM4, MYC, FGF1, FGF19, SLC7A5, SETD5, HCFC1, FGF9, VGLL4, FGFR4, TP53, KREMEN1, BBC3, YAP1, OGT, MOB1A, FOSL1, YY1, SUZ12, JUN, CD47, ACTB, AKT1S1, ULK1, PDGFRA, PAK2, EED, SENP2, TGFA, EFNA1, EFNA3, EFNA5, BMI1, GRB2, MKNK2, LAMC1, CDK4, PAK4, MEF2D, WNT16",https://pathcards.genecards.org/card/pleural_mesothelioma
20.40,IL-17 Family Signaling Pathways,108,21,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, TAB1, CEBPD, HSP90AA1, ELAVL1, REL, FOS, FOSL1, FOSL2, JUN, JUNB, JUND, CXCL8, IL17RA, TRAF3, TRAF6, NFKBIB, IL6ST",https://pathcards.genecards.org/card/il-17_family_signaling_pathways
