"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"ANTXR2","0.00437","0.332","0.115","3","hsa-miR-4439","hsa-miR-6857-3p","hsa-miR-937-5p","",""
"ARHGAP18","0.00191","0.332","0.0866","3","hsa-miR-6895-3p","hsa-miR-4439","hsa-miR-6857-3p","",""
"BARHL1","0.00217","0.332","0.0904","3","hsa-miR-3178","hsa-miR-4749-5p","hsa-miR-139-3p","",""
"CBARP","0.000575","0.332","0.0577","3","hsa-miR-4472","hsa-miR-6895-3p","hsa-miR-6857-3p","",""
"FBXL4","0.00166","0.332","0.0317","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"FBXO33","0.00234","0.332","0.0375","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"FKRP","0.00556","0.332","0.0577","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"INO80B","0.00272","0.332","0.0404","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"KAT6B","0.00402","0.332","0.0491","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"KIAA0040","0.00556","0.332","0.0577","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"MED28","0.00434","0.332","0.234","5","hsa-miR-3178","hsa-miR-4439","hsa-miR-6857-3p","hsa-miR-4647","hsa-miR-6769b-5p"
"MICALL1","0.00451","0.332","0.0519","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"MTMR6","0.00274","0.332","0.0981","3","hsa-miR-548h-5p","hsa-miR-4439","hsa-miR-6857-3p","",""
"NDOR1","0.000912","0.332","0.0673","3","hsa-miR-4439","hsa-miR-937-5p","hsa-miR-4472","",""
"NFIX","0.00545","0.332","0.189","4","hsa-miR-6769b-5p","hsa-miR-4749-5p","hsa-miR-6869-3p","hsa-miR-139-3p",""
"PANK1","0.00458","0.332","0.117","3","hsa-miR-4439","hsa-miR-6895-3p","hsa-miR-6857-3p","",""
"RBBP5","0.00502","0.332","0.0548","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"RBX1","0.00234","0.332","0.0375","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"RFC5","0.00502","0.332","0.0548","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"SCRT1","0.00402","0.332","0.0491","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"TULP1","0.00502","0.332","0.0548","2","hsa-miR-3178","hsa-miR-4749-5p","","",""
"UPF3A","0.00402","0.332","0.0491","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"DDR2","0.00622","0.341","0.131","3","hsa-miR-4439","hsa-miR-6857-3p","hsa-miR-6895-3p","",""
"SSX5","0.00613","0.341","0.0606","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"FEM1A","0.00731","0.384","0.264","5","hsa-miR-4472","hsa-miR-4439","hsa-miR-6857-3p","hsa-miR-6769b-5p","hsa-miR-3178"
"F8A2","0.00933","0.405","0.0750","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"F8A3","0.0100","0.405","0.0779","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"FGF1","0.00864","0.405","0.0721","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"FMO4","0.0108","0.405","0.0808","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"GINS3","0.0108","0.405","0.0808","2","hsa-miR-3155b","hsa-miR-6769b-5p","","",""
"HSPD1","0.0100","0.405","0.0779","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"MPRIP","0.00978","0.405","0.154","3","hsa-miR-4439","hsa-miR-4462","hsa-miR-6857-3p","",""
"PDZD4","0.0108","0.405","0.0808","2","hsa-miR-4749-5p","hsa-miR-6869-3p","","",""
"TMEM54","0.00933","0.405","0.0750","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"ZNF621","0.00880","0.405","0.148","3","hsa-miR-3155b","hsa-miR-4439","hsa-miR-6857-3p","",""
"CHCHD3","0.0115","0.415","0.0837","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"MOB1A","0.0123","0.415","0.0866","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"SH2D5","0.0123","0.415","0.0866","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
