"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Interactions (NPInter)","MAT2A","enriched","3.85e-4","3.85e-4","0.327302","3","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-1250-5p"
"Annotations derived over miRTarBase (Gene Ontology)","potassium ion export across plasma membrane GO0097623","enriched","0.0010033","0.0010033","0.510639","4","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-520d-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of small GTPase mediated signal transduction GO0051056","enriched","0.0012066","0.0012066","0.510639","8","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-4474-3p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p"
"Annotations derived over miRTarBase (Gene Ontology)","central nervous system development GO0007417","enriched","0.0015356","0.0015356","0.510639","9","hsa-miR-1205; hsa-miR-1250-5p; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-3975; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-922"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of CD8-positive, alpha-beta T cell differentiation GO0043377","enriched","0.0015385","0.0015385","0.510639","3","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-4516"
"Annotations derived over miRTarBase (Gene Ontology)","axonogenesis GO0007409","enriched","0.0017999","0.0017999","0.510639","7","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-6756-5p"
"Annotations derived over miRTarBase (Gene Ontology)","kinetochore GO0000776","enriched","0.0018679","0.0018679","0.510639","16","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-4474-3p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-6735-5p; hsa-miR-6815-5p; hsa-miR-6734-3p; hsa-miR-5582-5p"
"Annotations derived over miRTarBase (Gene Ontology)","membrane repolarization during cardiac muscle cell action potential GO0086013","enriched","0.0019155","0.0019155","0.510639","5","hsa-miR-1205; hsa-miR-1250-5p; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-548h-5p"
"Annotations derived over miRTarBase (Gene Ontology)","microtubule nucleation GO0007020","enriched","0.0023411","0.0023411","0.510639","4","hsa-miR-1205; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to interleukin-1 GO0071347","enriched","0.0027957","0.0027957","0.510639","10","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","N-acetylneuraminate catabolic process GO0019262","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","antigen processing and presentation of endogenous peptide antigen via MHC class I GO0019885","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to hepatocyte growth factor stimulus GO0035729","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to nicotine GO0071316","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","hepatocyte growth factor receptor signaling pathway GO0048012","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","mitochondrial fission GO0000266","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of forebrain neuron differentiation GO2000978","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of neuron apoptotic process GO0043523","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","structural constituent of skin epidermis GO0030280","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","tRNA-splicing ligase complex GO0072669","enriched","0.0030769","0.0030769","0.510639","2","hsa-miR-1205; hsa-miR-29b-1-5p"
"Annotations derived over miRTarBase (Gene Ontology)","tRNA splicing, via endonucleolytic cleavage and ligation GO0006388","enriched","0.0030769","0.0030769","0.510639","2","hsa-miR-1205; hsa-miR-29b-1-5p"
"Annotations derived over miRTarBase (Gene Ontology)","transmembrane receptor protein serinethreonine kinase activity GO0004675","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","tricuspid valve morphogenesis GO0003186","depleted","0.0030769","0.0030769","0.510639","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Target genes (miRTarBase)","B2M","depleted","0.0030769","0.0030769","0.402564","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Target genes (miRTarBase)","CCDC71L","depleted","0.0030769","0.0030769","0.402564","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Target genes (miRTarBase)","WDR13","depleted","0.0030769","0.0030769","0.402564","2","hsa-miR-139-3p; hsa-miR-548ah-5p"
"Interactions (NPInter)","C18orf8","enriched","0.0030769","0.0030769","0.327302","2","hsa-miR-1205; hsa-miR-29b-1-5p"
"Interactions (NPInter)","CHD4","enriched","0.0030769","0.0030769","0.327302","2","hsa-miR-1205; hsa-miR-29b-1-5p"
"Interactions (NPInter)","GPX3","enriched","0.0030769","0.0030769","0.327302","2","hsa-miR-1205; hsa-miR-29b-1-5p"
