Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
GIGYF1,0.0095,0.61,0.359,7,hsa-miR-6734-3p,hsa-miR-4516,hsa-miR-6735-5p,hsa-miR-6769b-5p,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-6756-5p
TXNIP,0.022,0.61,0.38,6,hsa-miR-520d-3p,hsa-miR-3975,hsa-miR-6735-5p,hsa-miR-29b-1-5p,hsa-miR-4511,hsa-miR-548ah-5p,
TNRC6B,0.0123,0.61,0.335,6,hsa-miR-29b-1-5p,hsa-miR-6715b-5p,hsa-miR-6756-5p,hsa-miR-520d-3p,hsa-miR-4511,hsa-miR-6734-3p,
LMNB2,0.0233,0.61,0.385,6,hsa-miR-6735-5p,hsa-miR-5582-5p,hsa-miR-1205,hsa-miR-378c,hsa-miR-3975,hsa-miR-6756-5p,
NFIC,0.0431,0.61,0.444,6,hsa-miR-4727-5p,hsa-miR-6756-5p,hsa-miR-1205,hsa-miR-3975,hsa-miR-4516,hsa-miR-6815-5p,
YWHAZ,0.0552,0.61,0.424,5,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-548ah-5p,hsa-miR-134-3p,hsa-miR-4516,,
GLO1,0.00897,0.61,0.266,5,hsa-miR-6734-3p,hsa-miR-6815-5p,hsa-miR-4803,hsa-miR-548ah-5p,hsa-miR-520d-3p,,
LRRC58,0.0438,0.61,0.398,5,hsa-miR-4516,hsa-miR-1205,hsa-miR-5582-5p,hsa-miR-6715b-5p,hsa-miR-520d-3p,,
FOXK1,0.11,0.61,0.518,5,hsa-miR-548h-5p,hsa-miR-520d-3p,hsa-miR-134-3p,hsa-miR-548ah-5p,hsa-miR-6715b-5p,,
SBNO1,0.0132,0.61,0.292,5,hsa-miR-922,hsa-miR-520d-3p,hsa-miR-1205,hsa-miR-4516,hsa-miR-6735-5p,,
MIDN,0.0609,0.61,0.436,5,hsa-miR-548ah-5p,hsa-miR-6735-5p,hsa-miR-6715b-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,
FEM1A,0.191,0.61,0.573,4,hsa-miR-922,hsa-miR-520d-3p,hsa-miR-6769b-5p,hsa-miR-1205,,,
UBE2H,0.0104,0.61,0.22,4,hsa-miR-4803,hsa-miR-548h-5p,hsa-miR-922,hsa-miR-1205,,,
ORAI2,0.161,0.61,0.535,4,hsa-miR-6769b-5p,hsa-miR-520d-3p,hsa-miR-139-3p,hsa-miR-1225-3p,,,
TRAF6,0.00485,0.61,0.178,4,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-4516,hsa-miR-1225-3p,,,
DNAJC10,0.129,0.61,0.493,4,hsa-miR-4516,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-1225-3p,,,
ABI2,0.114,0.61,0.47,4,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-520d-3p,hsa-miR-134-3p,,,
KIAA1191,0.00438,0.61,0.173,4,hsa-miR-6815-5p,hsa-miR-3975,hsa-miR-548ah-5p,hsa-miR-134-3p,,,
ATP5A1,0.00919,0.61,0.213,4,hsa-miR-139-3p,hsa-miR-6715b-5p,hsa-miR-5582-5p,hsa-miR-134-3p,,,
NFIX,0.0389,0.61,0.328,4,hsa-miR-5582-5p,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-139-3p,,,
RUFY2,0.00165,0.61,0.133,4,hsa-miR-1205,hsa-miR-6715b-5p,hsa-miR-548ah-5p,hsa-miR-29b-1-5p,,,
YIPF4,0.106,0.61,0.458,4,hsa-miR-520d-3p,hsa-miR-6715b-5p,hsa-miR-6769b-5p,hsa-miR-3975,,,
KIAA0513,0.0215,0.61,0.273,4,hsa-miR-520d-3p,hsa-miR-548ah-5p,hsa-miR-1225-3p,hsa-miR-4511,,,
REST,0.0161,0.61,0.25,4,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-378c,hsa-miR-4516,,,
