Gene Symbol,Source,Number of interactions,Targeting miRNAs
NACC1,CTRL.S1,11,"hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-1233-5p, hsa-miR-197-5p, hsa-miR-3184-5p, hsa-miR-4728-5p, hsa-miR-6090, hsa-miR-6131, hsa-miR-6802-5p"
NFIC,CTRL.S1,10,"hsa-miR-4690-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-4687-5p, hsa-miR-1343-3p, hsa-miR-197-5p, hsa-miR-4532, hsa-miR-6805-5p, hsa-miR-92b-5p"
CALR,CTRL.S1,9,"hsa-miR-320a, hsa-miR-1343-3p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4525, hsa-miR-4728-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4706"
CDKN1A,CTRL.S1,9,"hsa-miR-6802-5p, hsa-miR-663a, hsa-miR-1233-5p, hsa-miR-4648, hsa-miR-4728-5p, hsa-miR-642b-3p, hsa-miR-6787-5p, hsa-miR-6805-5p, hsa-miR-4732-5p"
SETD1B,CTRL.S1,9,"hsa-miR-3940-5p, hsa-miR-4758-5p, hsa-miR-1238-5p, hsa-miR-4525, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-6090, hsa-miR-1233-5p, hsa-miR-6746-5p"
KHSRP,CTRL.S1,9,"hsa-miR-4728-5p, hsa-miR-1343-3p, hsa-miR-92b-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-6805-5p, hsa-miR-1233-5p, hsa-miR-6766-5p, hsa-miR-6756-5p"
SPRY4,CTRL.S1,9,"hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-3184-5p, hsa-miR-1233-5p, hsa-miR-4728-5p, hsa-miR-6090, hsa-miR-6746-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
SCAMP4,CTRL.S1,9,"hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4706, hsa-miR-4728-5p, hsa-miR-1228-5p, hsa-miR-1343-3p, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-887-3p"
MNT,CTRL.S1,8,"hsa-miR-4728-5p, hsa-miR-3184-5p, hsa-miR-92b-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-6090, hsa-miR-663a, hsa-miR-6787-5p"
PKM,CTRL.S1,8,"hsa-miR-320a, hsa-miR-4525, hsa-miR-1238-5p, hsa-miR-4648, hsa-miR-4675, hsa-miR-4758-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
SLC47A1,CTRL.S1,8,"hsa-miR-4730, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4706, hsa-miR-1307-3p, hsa-miR-6784-5p, hsa-miR-4525, hsa-miR-4728-5p"
GATAD2A,CTRL.S1,7,"hsa-miR-4648, hsa-miR-92b-5p, hsa-miR-4525, hsa-miR-4706, hsa-miR-4787-5p, hsa-miR-663a, hsa-miR-6787-5p"
GIGYF1,S3.S4,7,"hsa-miR-6734-3p, hsa-miR-4516, hsa-miR-6735-5p, hsa-miR-6769b-5p, hsa-miR-548ah-5p, hsa-miR-520d-3p, hsa-miR-6756-5p"
CELF1,S2.S3,7,"hsa-miR-1229-3p, hsa-miR-412-3p, hsa-miR-6847-3p, hsa-miR-5587-5p, hsa-miR-4741, hsa-miR-6722-3p, hsa-miR-7854-3p"
