"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"A1BG","0.171","0.570","0.186","1","hsa-miR-7703","","","","",""
"AAED1","0.166","0.570","0.367","2","hsa-miR-371b-5p","hsa-miR-7703","","","",""
"ABCA12","0.0105","0.570","0.0796","2","hsa-miR-6734-3p","hsa-miR-660-5p","","","",""
"ABCC12","0.0891","0.570","0.252","2","hsa-miR-922","hsa-miR-6734-3p","","","",""
"ABCF3","0.123","0.570","0.305","2","hsa-miR-6895-3p","hsa-miR-7703","","","",""
"ABCG8","0.341","0.570","0.602","2","hsa-miR-520d-3p","hsa-miR-922","","","",""
"ABHD17B","0.350","0.570","0.425","1","hsa-miR-7703","","","","",""
"ABHD2","0.274","0.570","0.513","2","hsa-miR-922","hsa-miR-7854-3p","","","",""
"ABHD5","0.367","0.570","0.451","1","hsa-miR-548h-5p","","","","",""
"ABL1","0.109","0.570","0.283","2","hsa-miR-7854-3p","hsa-miR-6815-5p","","","",""
"ACACB","0.125","0.570","0.133","1","hsa-miR-7703","","","","",""
"ACAD8","0.0263","0.570","0.128","2","hsa-miR-7703","hsa-miR-6895-3p","","","",""
"ACAP2","0.138","0.570","0.327","2","hsa-miR-7703","hsa-miR-3975","","","",""
"ACBD7","0.0812","0.570","0.239","2","hsa-miR-3130-3p","hsa-miR-7151-5p","","","",""
"ACIN1","0.207","0.570","0.230","1","hsa-miR-134-3p","","","","",""
"ACOT9","0.298","0.570","0.544","2","hsa-miR-5587-5p","hsa-miR-520d-3p","","","",""
"ACSM2A","0.0263","0.570","0.128","2","hsa-miR-6895-3p","hsa-miR-218-2-3p","","","",""
"ACSM2B","0.307","0.570","0.363","1","hsa-miR-548h-5p","","","","",""
"ACTG1","0.135","0.570","0.323","2","hsa-miR-7854-3p","hsa-miR-3975","","","",""
"ACVR2B","0.182","0.570","0.389","2","hsa-miR-134-3p","hsa-miR-7854-3p","","","",""
"ADA2","0.338","0.570","0.407","1","hsa-miR-7703","","","","",""
"ADAMTS17","0.307","0.570","0.363","1","hsa-miR-371b-5p","","","","",""
"ADAT2","0.350","0.570","0.425","1","hsa-miR-520d-3p","","","","",""
"ADGRF2","0.0434","0.570","0.168","2","hsa-miR-1225-3p","hsa-miR-7703","","","",""
"ADH5","0.123","0.570","0.305","2","hsa-miR-371b-5p","hsa-miR-6715b-5p","","","",""
"ADIPOR2","0.344","0.570","0.416","1","hsa-miR-3130-3p","","","","",""
"ADM","0.0289","0.570","0.227","3","hsa-miR-3975","hsa-miR-4462","hsa-miR-660-5p","","",""
"ADM2","0.356","0.570","0.434","1","hsa-miR-134-3p","","","","",""
"ADRA2B","0.269","0.570","0.310","1","hsa-miR-922","","","","",""
"ADRB1","0.288","0.570","0.336","1","hsa-miR-6734-3p","","","","",""
"ADRM1","0.356","0.570","0.434","1","hsa-miR-7854-3p","","","","",""
"AFF3","0.133","0.570","0.142","1","hsa-miR-7703","","","","",""
"AGMAT","0.135","0.570","0.323","2","hsa-miR-520d-3p","hsa-miR-7703","","","",""
"AGTRAP","0.214","0.570","0.434","2","hsa-miR-6895-3p","hsa-miR-371b-5p","","","",""
"AHCY","0.0637","0.570","0.208","2","hsa-miR-6715b-5p","hsa-miR-6895-3p","","","",""
"AHCYL2","0.175","0.570","0.381","2","hsa-miR-1225-3p","hsa-miR-6734-3p","","","",""
"AHSA2","0.0685","0.570","0.217","2","hsa-miR-7703","hsa-miR-6895-3p","","","",""
"AK2","0.103","0.570","0.274","2","hsa-miR-3130-3p","hsa-miR-6734-3p","","","",""
"AKR1B10","0.262","0.570","0.301","1","hsa-miR-922","","","","",""
"AKT3","0.362","0.570","0.442","1","hsa-miR-7854-3p","","","","",""
"ALDH1B1","0.295","0.570","0.345","1","hsa-miR-7703","","","","",""
"ALG14","0.0455","0.570","0.271","3","hsa-miR-7703","hsa-miR-139-3p","hsa-miR-7854-3p","","",""
"ALG8","0.125","0.570","0.133","1","hsa-miR-7854-3p","","","","",""
"ALG9","0.244","0.570","0.473","2","hsa-miR-548h-5p","hsa-miR-7703","","","",""
"ALKBH1","0.0687","0.570","0.0708","1","hsa-miR-5587-5p","","","","",""
"ALOX15","0.221","0.570","0.248","1","hsa-miR-139-3p","","","","",""
"ALX1","0.0117","0.570","0.0841","2","hsa-miR-3975","hsa-miR-7854-3p","","","",""
"AMD1","0.324","0.570","0.580","2","hsa-miR-6895-3p","hsa-miR-7703","","","",""
"AMDHD2","0.156","0.570","0.168","1","hsa-miR-139-3p","","","","",""
"AMER3","0.117","0.570","0.124","1","hsa-miR-7703","","","","",""
"AMOT","0.186","0.570","0.204","1","hsa-miR-371b-5p","","","","",""
"AMOTL1","0.123","0.570","0.305","2","hsa-miR-371b-5p","hsa-miR-7151-5p","","","",""
"ANGEL1","0.295","0.570","0.345","1","hsa-miR-1225-3p","","","","",""
"ANGPT4","0.0309","0.570","0.233","3","hsa-miR-7703","hsa-miR-371b-5p","hsa-miR-5587-5p","","",""
"ANKFY1","0.214","0.570","0.434","2","hsa-miR-7703","hsa-miR-6815-5p","","","",""
"ANKRD42","0.0661","0.570","0.212","2","hsa-miR-7703","hsa-miR-3130-3p","","","",""
"ANKRD46","0.275","0.570","0.319","1","hsa-miR-937-5p","","","","",""
"ANKRD50","0.106","0.570","0.279","2","hsa-miR-7151-5p","hsa-miR-6734-3p","","","",""
"ANKRD65","0.186","0.570","0.204","1","hsa-miR-922","","","","",""
"ANKS4B","0.138","0.570","0.327","2","hsa-miR-520d-3p","hsa-miR-6895-3p","","","",""
"ANP32E","0.211","0.570","0.429","2","hsa-miR-6895-3p","hsa-miR-4647","","","",""
"AP1G1","0.344","0.570","0.416","1","hsa-miR-7151-5p","","","","",""
"AP2B1","0.0414","0.570","0.164","2","hsa-miR-7703","hsa-miR-6815-5p","","","",""
"AP3M1","0.262","0.570","0.301","1","hsa-miR-922","","","","",""
"AP4E1","0.0852","0.570","0.0885","1","hsa-miR-922","","","","",""
"AP5S1","0.0852","0.570","0.0885","1","hsa-miR-1225-3p","","","","",""
"APBA1","0.178","0.570","0.195","1","hsa-miR-6734-3p","","","","",""
"APBB3","0.0852","0.570","0.0885","1","hsa-miR-3130-3p","","","","",""
"APEX2","0.221","0.570","0.248","1","hsa-miR-520d-3p","","","","",""
"APH1A","0.0637","0.570","0.208","2","hsa-miR-7854-3p","hsa-miR-520d-3p","","","",""
"API5","0.156","0.570","0.168","1","hsa-miR-6802-3p","","","","",""
