"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"MAPKAPK2","0.000186","0.333","0.0770","4","hsa-miR-1229-3p","hsa-miR-5591-5p","hsa-miR-6722-3p","hsa-miR-6756-5p",""
"ACACA","0.0143","0.389","0.176","3","hsa-miR-6857-3p","hsa-miR-6735-5p","hsa-miR-6769b-5p","",""
"AP2M1","0.00783","0.389","0.142","3","hsa-miR-1229-3p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"ARHGEF18","0.00834","0.389","0.0708","2","hsa-miR-4741","hsa-miR-6857-3p","","",""
"ATXN2","0.00457","0.389","0.117","3","hsa-miR-4524b-5p","hsa-miR-6769b-5p","hsa-miR-6756-5p","",""
"BCL7B","0.00372","0.389","0.109","3","hsa-miR-4741","hsa-miR-6722-3p","hsa-miR-6735-5p","",""
"BRD2","0.0178","0.389","0.105","2","hsa-miR-1229-3p","hsa-miR-6857-3p","","",""
"C10orf76","0.0110","0.389","0.160","3","hsa-miR-6769b-5p","hsa-miR-6756-5p","hsa-miR-7846-3p","",""
"CALR","0.00411","0.389","0.174","4","hsa-miR-412-3p","hsa-miR-6722-3p","hsa-miR-6756-5p","hsa-miR-4749-5p",""
"CAPS","0.00633","0.389","0.0616","2","hsa-miR-6735-5p","hsa-miR-6756-5p","","",""
"CASKIN2","0.00982","0.389","0.0770","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"CCPG1","0.0149","0.389","0.0954","2","hsa-miR-6847-3p","hsa-miR-4282","","",""
"CD276","0.0231","0.389","0.120","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"CDC37L1","0.0131","0.389","0.0893","2","hsa-miR-4524b-5p","hsa-miR-4282","","",""
"CELF1","0.00658","0.389","0.256","5","hsa-miR-1229-3p","hsa-miR-412-3p","hsa-miR-6847-3p","hsa-miR-4741","hsa-miR-6722-3p"
"CHCHD10","0.00906","0.389","0.0739","2","hsa-miR-5591-5p","hsa-miR-6735-5p","","",""
"CHERP","0.0177","0.389","0.191","3","hsa-miR-4749-5p","hsa-miR-5591-5p","hsa-miR-6769b-5p","",""
"CKS2","0.0231","0.389","0.120","2","hsa-miR-6847-3p","hsa-miR-4511","","",""
"COX6C","0.0149","0.389","0.0954","2","hsa-miR-449c-3p","hsa-miR-4511","","",""
"CTDNEP1","0.0118","0.389","0.164","3","hsa-miR-1229-3p","hsa-miR-6756-5p","hsa-miR-6735-5p","",""
"CTTN","0.0178","0.389","0.105","2","hsa-miR-6847-3p","hsa-miR-4749-5p","","",""
"CYP11A1","0.00697","0.389","0.0646","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"CYP4A11","0.0231","0.389","0.120","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"CYP4A22","0.0209","0.389","0.114","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"DCX","0.0158","0.389","0.0985","2","hsa-miR-6756-5p","hsa-miR-4282","","",""
"DUSP3","0.0209","0.389","0.114","2","hsa-miR-6847-3p","hsa-miR-4282","","",""
"ELFN2","0.0198","0.389","0.199","3","hsa-miR-5591-5p","hsa-miR-6722-3p","hsa-miR-6857-3p","",""
"FTSJ3","0.0168","0.389","0.102","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"FZR1","0.00529","0.389","0.123","3","hsa-miR-6735-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"GALNT4","0.0178","0.389","0.105","2","hsa-miR-6847-3p","hsa-miR-4282","","",""
"GFER","0.0106","0.389","0.0800","2","hsa-miR-6722-3p","hsa-miR-4511","","",""
"GMNN","0.00697","0.389","0.0646","2","hsa-miR-4282","hsa-miR-4511","","",""
"HIST1H2AE","0.0149","0.389","0.0954","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"HIST2H2BE","0.0242","0.389","0.123","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"HIST3H3","0.0131","0.389","0.0893","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"HOXA7","0.00217","0.389","0.0903","3","hsa-miR-5591-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"KMT2A","0.00385","0.389","0.171","4","hsa-miR-6735-5p","hsa-miR-4741","hsa-miR-6756-5p","hsa-miR-6769b-5p",""
"KMT2D","0.00259","0.389","0.207","5","hsa-miR-1229-3p","hsa-miR-6735-5p","hsa-miR-4749-5p","hsa-miR-5591-5p","hsa-miR-6857-3p"
