"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"AKR7A2","0.00209","0.224","0.0985","3","hsa-miR-4439","hsa-miR-548ah-5p","hsa-miR-6829-3p"
"ANKRD33B","0.0106","0.224","0.0831","2","hsa-miR-548ah-5p","hsa-miR-1253",""
"BMPR1A","0.0242","0.224","0.128","2","hsa-miR-1253","hsa-miR-6829-3p",""
"BTG2","0.104","0.224","0.285","2","hsa-miR-548ah-5p","hsa-miR-1253",""
"CALR","0.0251","0.224","0.130","2","hsa-miR-1253","hsa-miR-4472",""
"CAPN15","0.0226","0.224","0.124","2","hsa-miR-4472","hsa-miR-548ah-5p",""
"CCND1","0.107","0.224","0.290","2","hsa-miR-548ah-5p","hsa-miR-1253",""
"COL1A1","0.0187","0.224","0.112","2","hsa-miR-1253","hsa-miR-548ah-5p",""
"DCAF10","0.00214","0.224","0.0369","2","hsa-miR-1253","hsa-miR-6829-3p",""
"DFFA","0.0184","0.224","0.111","2","hsa-miR-4472","hsa-miR-6829-3p",""
"DYRK2","0.0272","0.224","0.136","2","hsa-miR-548ah-5p","hsa-miR-4472",""
"ENPP5","0.0255","0.224","0.132","2","hsa-miR-1253","hsa-miR-548ah-5p",""
"FAM126B","0.0380","0.224","0.163","2","hsa-miR-4439","hsa-miR-548ah-5p",""
"FAM151B","0.0149","0.224","0.0993","2","hsa-miR-1253","hsa-miR-6829-3p",""
"FEM1A","0.0110","0.224","0.176","3","hsa-miR-4472","hsa-miR-4439","hsa-miR-6829-3p"
"FEM1C","0.0246","0.224","0.129","2","hsa-miR-548ah-5p","hsa-miR-1253",""
"FKTN","0.00581","0.224","0.0612","2","hsa-miR-6829-3p","hsa-miR-6869-3p",""
"FOXC1","0.0222","0.224","0.122","2","hsa-miR-548ah-5p","hsa-miR-4439",""
"GATA6","0.00832","0.224","0.159","3","hsa-miR-548ah-5p","hsa-miR-1253","hsa-miR-6829-3p"
"GIGYF1","0.107","0.224","0.290","2","hsa-miR-548ah-5p","hsa-miR-6829-3p",""
"GJD3","0.0331","0.224","0.151","2","hsa-miR-6829-3p","hsa-miR-548ah-5p",""
"GRB10","0.00518","0.224","0.0577","2","hsa-miR-548ah-5p","hsa-miR-1253",""
"IGF1R","0.103","0.224","0.283","2","hsa-miR-548ah-5p","hsa-miR-1253",""
"ITM2C","0.00919","0.224","0.0773","2","hsa-miR-1253","hsa-miR-548ah-5p",""
"KIAA0040","0.000829","0.224","0.0231","2","hsa-miR-4439","hsa-miR-1253",""
"KIAA0513","0.0234","0.224","0.126","2","hsa-miR-548ah-5p","hsa-miR-1253",""
"KMT2D","0.0524","0.224","0.194","2","hsa-miR-4472","hsa-miR-4439",""
"LETMD1","0.00421","0.224","0.0519","2","hsa-miR-1253","hsa-miR-6869-3p",""
"LIAS","0.00625","0.224","0.0635","2","hsa-miR-6829-3p","hsa-miR-548ah-5p",""
"LRIG2","0.0251","0.224","0.130","2","hsa-miR-6829-3p","hsa-miR-1253",""
"LZIC","0.0350","0.224","0.156","2","hsa-miR-1253","hsa-miR-548ah-5p",""
"MAPK1","0.0613","0.224","0.211","2","hsa-miR-6829-3p","hsa-miR-548ah-5p",""
"MCM8","0.0130","0.224","0.0923","2","hsa-miR-4439","hsa-miR-6829-3p",""
"MED28","0.0739","0.224","0.234","2","hsa-miR-6829-3p","hsa-miR-4439",""
"MEX3A","0.0180","0.224","0.110","2","hsa-miR-4472","hsa-miR-6829-3p",""
"MIDN","0.0839","0.224","0.252","2","hsa-miR-548ah-5p","hsa-miR-4472",""
"MRNIP","0.0299","0.224","0.143","2","hsa-miR-4439","hsa-miR-4472",""
"MSANTD4","0.0431","0.224","0.174","2","hsa-miR-548ah-5p","hsa-miR-6829-3p",""
"MYPN","0.0410","0.224","0.170","2","hsa-miR-6829-3p","hsa-miR-548ah-5p",""
"NACC2","0.0577","0.224","0.204","2","hsa-miR-4472","hsa-miR-548ah-5p",""
"NARS","0.0114","0.224","0.0866","2","hsa-miR-548ah-5p","hsa-miR-6829-3p",""
"NDOR1","0.00256","0.224","0.0404","2","hsa-miR-4439","hsa-miR-4472",""
"NFAT5","0.0365","0.224","0.159","2","hsa-miR-548ah-5p","hsa-miR-1253",""
"NUPL2","0.0242","0.224","0.128","2","hsa-miR-548ah-5p","hsa-miR-6829-3p",""
"OXA1L","0.00285","0.224","0.0427","2","hsa-miR-1253","hsa-miR-6829-3p",""
"PALD1","0.00227","0.224","0.0381","2","hsa-miR-6829-3p","hsa-miR-1253",""
"PKNOX2","0.00256","0.224","0.0404","2","hsa-miR-4472","hsa-miR-6829-3p",""
"POU2F1","0.0426","0.224","0.173","2","hsa-miR-6829-3p","hsa-miR-548ah-5p",""
"RGP1","0.0133","0.224","0.0935","2","hsa-miR-4472","hsa-miR-6829-3p",""
"RTTN","0.00560","0.224","0.0600","2","hsa-miR-548ah-5p","hsa-miR-6829-3p",""
"SAMD8","0.0299","0.224","0.143","2","hsa-miR-548ah-5p","hsa-miR-6829-3p",""
"SCD","0.0595","0.224","0.208","2","hsa-miR-548ah-5p","hsa-miR-4439",""
"SEMA7A","0.00815","0.224","0.0727","2","hsa-miR-1253","hsa-miR-548ah-5p",""
"SETD1B","0.0380","0.224","0.163","2","hsa-miR-4472","hsa-miR-1253",""
"SFT2D2","0.0758","0.224","0.238","2","hsa-miR-1253","hsa-miR-548ah-5p",""
"SLC10A6","0.0230","0.224","0.125","2","hsa-miR-6829-3p","hsa-miR-1253",""
"SLC25A45","0.0152","0.224","0.100","2","hsa-miR-4439","hsa-miR-6829-3p",""
"SLC4A2","0.00518","0.224","0.0577","2","hsa-miR-4472","hsa-miR-1253",""
"TET3","0.0222","0.224","0.122","2","hsa-miR-4439","hsa-miR-1253",""
"TGFBR2","0.0238","0.224","0.127","2","hsa-miR-1253","hsa-miR-548ah-5p",""
"THEM4","0.00498","0.224","0.0566","2","hsa-miR-6829-3p","hsa-miR-548ah-5p",""
