miRNA,Cluster
hsa-miR-7854-3p,4
hsa-miR-6735-5p,2
hsa-miR-5591-5p,2
hsa-miR-660-5p,4
hsa-miR-6756-5p,2
hsa-miR-548h-5p,4
hsa-miR-1225-3p,4
hsa-miR-7846-3p,2
hsa-miR-4803,4
hsa-miR-3178,1
hsa-miR-4511,2
hsa-miR-4722-3p,4
hsa-miR-3130-3p,4
hsa-miR-6895-3p,4
hsa-miR-922,4
hsa-miR-6769b-5p,2
hsa-miR-548ah-5p,3
hsa-miR-512-5p,4
hsa-miR-218-2-3p,4
hsa-miR-4741,2
hsa-miR-4727-5p,4
hsa-miR-937-5p,4
hsa-miR-378c,4
hsa-miR-1250-5p,1
hsa-miR-1253,3
hsa-miR-520d-3p,4
hsa-miR-6734-3p,4
hsa-miR-1229-3p,2
hsa-miR-4439,3
hsa-miR-6815-5p,4
hsa-miR-4462,4
hsa-miR-4749-5p,2
hsa-miR-6774-3p,4
hsa-miR-6829-3p,3
hsa-miR-3975,4
hsa-miR-5582-5p,4
hsa-miR-7151-5p,4
hsa-miR-449c-3p,2
hsa-miR-139-3p,4
hsa-miR-6847-3p,2
hsa-miR-4647,4
hsa-miR-5587-5p,4
hsa-miR-5585-3p,1
hsa-miR-6802-3p,4
hsa-miR-6722-3p,2
hsa-miR-105-3p,4
hsa-miR-4282,2
hsa-miR-6715b-5p,4
hsa-miR-6857-3p,2
hsa-miR-6869-3p,3
hsa-miR-1205,4
hsa-miR-7703,4
hsa-miR-1227-5p,1
hsa-miR-134-3p,4
hsa-miR-3155b,4
hsa-miR-4516,1
hsa-miR-4472,3
hsa-miR-4474-3p,4
hsa-miR-4524b-5p,2
hsa-miR-412-3p,2
hsa-miR-29b-1-5p,4
hsa-miR-371b-5p,4
