Feature,Importance,Classifier
hsa-miR-8073,0.1569028212563373,SVM
hsa-miR-6861-5p,-0.11564296147886538,SVM
hsa-miR-5100,0.029176992293050236,SVM
hsa-miR-8069,-0.16387717170145616,SVM
hsa-miR-6802-5p,-2.6407980588486332e-05,SVM
hsa-miR-1307-3p,0.11646436380282953,SVM
hsa-miR-6729-5p,0.13430249137359107,SVM
hsa-miR-6131,0.20900271643512902,SVM
hsa-miR-320a,-0.04102615483198485,SVM
hsa-miR-614,0.08277348089859594,SVM
hsa-miR-1247-3p,-0.006702252832956896,SVM
hsa-miR-663a,0.11577090145945956,SVM
hsa-miR-1228-5p,-0.2268302004164604,SVM
hsa-miR-642b-3p,0.14023832356242252,SVM
hsa-miR-1260b,-0.031402287712367694,SVM
hsa-miR-4532,0.14888787892777514,SVM
hsa-miR-6756-5p,-0.1875346387670589,SVM
hsa-miR-575,-0.09446440191077181,SVM
hsa-miR-6746-5p,0.19863176482134945,SVM
hsa-miR-4690-5p,0.151007215484958,SVM
hsa-miR-4730,-0.24391774621360499,SVM
hsa-miR-6784-5p,-0.15753217164833444,SVM
hsa-miR-92b-5p,0.033163921791143254,SVM
hsa-miR-4687-5p,-0.03135006027907346,SVM
hsa-miR-1238-5p,0.06802418103760671,SVM
hsa-miR-8059,-0.036609569503591365,SVM
hsa-miR-1469,0.1429689359290614,SVM
hsa-miR-4758-5p,0.14120886387251697,SVM
hsa-miR-6805-5p,-0.15765223330259476,SVM
hsa-miR-1203,-0.18078002956833017,SVM
hsa-miR-4706,0.06030927431170448,SVM
hsa-miR-197-5p,0.05641922319473659,SVM
hsa-miR-92a-2-5p,-0.19072063175897727,SVM
hsa-miR-3940-5p,-0.037585923551589365,SVM
hsa-miR-1233-5p,0.007923605311934319,SVM
hsa-miR-4734,0.20617087882014942,SVM
hsa-miR-3917,-0.23844210897576118,SVM
hsa-miR-4783-3p,0.13997828342176455,SVM
hsa-miR-6765-5p,-0.15404820132339297,SVM
hsa-miR-1343-3p,0.11749452679872872,SVM
hsa-miR-4419b,-0.033871507714878124,SVM
hsa-miR-6787-5p,-0.036616070261541095,SVM
hsa-miR-4732-5p,-0.13345372442546377,SVM
hsa-miR-6769a-5p,-0.06358908875706545,SVM
hsa-miR-8073,0.2464420050382614,XGBoost
hsa-miR-6861-5p,0.0,XGBoost
hsa-miR-5100,0.0009403822477906942,XGBoost
hsa-miR-8069,0.0020274268463253975,XGBoost
hsa-miR-6802-5p,0.24300406873226166,XGBoost
hsa-miR-1307-3p,0.0002507526951376349,XGBoost
hsa-miR-6729-5p,0.0006101168692111969,XGBoost
hsa-miR-6131,0.001147510833106935,XGBoost
hsa-miR-320a,0.0002442302065901458,XGBoost
hsa-miR-614,0.0,XGBoost
hsa-miR-1247-3p,0.002215196145698428,XGBoost
hsa-miR-663a,0.40228670835494995,XGBoost
hsa-miR-1228-5p,0.0015682345256209373,XGBoost
hsa-miR-642b-3p,0.0009261505911126733,XGBoost
hsa-miR-1260b,0.008246348239481449,XGBoost
hsa-miR-4532,0.0,XGBoost
hsa-miR-6756-5p,0.0010529088322073221,XGBoost
hsa-miR-575,0.00024564802879467607,XGBoost
hsa-miR-6746-5p,0.0006938963779248297,XGBoost
hsa-miR-4690-5p,0.010897464118897915,XGBoost
hsa-miR-4730,0.006483591627329588,XGBoost
hsa-miR-6784-5p,8.125278691295534e-05,XGBoost
hsa-miR-92b-5p,0.0,XGBoost
hsa-miR-4687-5p,0.008878440596163273,XGBoost
hsa-miR-1238-5p,0.002543243346735835,XGBoost
hsa-miR-8059,0.0006476067937910557,XGBoost
hsa-miR-1469,0.0005533064249902964,XGBoost
hsa-miR-4758-5p,0.003575144102796912,XGBoost
hsa-miR-6805-5p,0.0012047041673213243,XGBoost
hsa-miR-1203,0.00041754342964850366,XGBoost
hsa-miR-4706,0.00037503131898120046,XGBoost
hsa-miR-197-5p,0.00036552510573528707,XGBoost
hsa-miR-92a-2-5p,0.0030356685165315866,XGBoost
hsa-miR-3940-5p,0.00039968013879843056,XGBoost
hsa-miR-1233-5p,0.0,XGBoost
hsa-miR-4734,0.04625542461872101,XGBoost
hsa-miR-3917,0.0009101683390326798,XGBoost
hsa-miR-4783-3p,0.00021131073299329728,XGBoost
hsa-miR-6765-5p,4.842413545702584e-05,XGBoost
hsa-miR-1343-3p,0.0005041860858909786,XGBoost
hsa-miR-4419b,0.0006106626824475825,XGBoost
hsa-miR-6787-5p,0.00010008548997575417,XGBoost
