"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Annotations derived over miRTarBase (Gene Ontology)","enzyme-linked receptor protein signaling pathway GO0007167","depleted","8.10e-4","8.10e-4","0.504321","3","hsa-miR-6784-5p; hsa-miR-6861-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","interleukin-15-mediated signaling pathway GO0035723","depleted","8.10e-4","8.10e-4","0.504321","3","hsa-miR-6784-5p; hsa-miR-6861-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of calcium ion transport GO0051924","depleted","8.10e-4","8.10e-4","0.504321","3","hsa-miR-6784-5p; hsa-miR-6861-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","gamma-catenin binding GO0045295","enriched","0.0011074","0.0011074","0.504321","2","hsa-miR-663a; hsa-miR-8073"
"Annotations derived over miRTarBase (Gene Ontology)","mannosyl-oligosaccharide 1,2-alpha-mannosidase activity GO0004571","depleted","0.0011074","0.0011074","0.504321","2","hsa-miR-6769a-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of T cell proliferation GO0042130","enriched","0.0011074","0.0011074","0.504321","2","hsa-miR-663a; hsa-miR-8073"
"Annotations derived over miRTarBase (Gene Ontology)","protein hexamerization GO0034214","enriched","0.0016206","0.0016206","0.504321","3","hsa-miR-8073; hsa-miR-6131; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","protein localization to kinetochore GO0034501","enriched","0.0016206","0.0016206","0.504321","3","hsa-miR-663a; hsa-miR-6802-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","interleukin-1-mediated signaling pathway GO0070498","depleted","0.0016396","0.0016396","0.504321","8","hsa-miR-1233-5p; hsa-miR-92a-2-5p; hsa-miR-1247-3p; hsa-miR-6805-5p; hsa-miR-6756-5p; hsa-miR-1203; hsa-miR-6765-5p; hsa-miR-6769a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of T cell proliferation GO0042102","depleted","0.0029053","0.0029053","0.504321","8","hsa-miR-1260b; hsa-miR-92a-2-5p; hsa-miR-1247-3p; hsa-miR-6756-5p; hsa-miR-1203; hsa-miR-6765-5p; hsa-miR-6769a-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","SNARE complex assembly GO0035493","depleted","0.0033223","0.0033223","0.504321","2","hsa-miR-6861-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cyclin-dependent protein kinase activity GO0097472","enriched","0.0033223","0.0033223","0.504321","2","hsa-miR-663a; hsa-miR-6802-5p"
"Annotations derived over miRTarBase (Gene Ontology)","histone kinase activity GO0035173","enriched","0.0033223","0.0033223","0.504321","2","hsa-miR-663a; hsa-miR-6802-5p"
"Annotations derived over miRTarBase (Gene Ontology)","mucus secretion GO0070254","depleted","0.0033223","0.0033223","0.504321","2","hsa-miR-6861-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of secretion by cell GO1903531","depleted","0.0033223","0.0033223","0.504321","2","hsa-miR-6861-5p; hsa-miR-4732-5p"
"KEGG (miRPathDB)","FoxO signaling pathway","enriched","0.0033223","0.0033223","0.0385382","2","hsa-miR-663a; hsa-miR-6802-5p"
"KEGG (miRPathDB)","Melanoma","enriched","0.0033223","0.0033223","0.0385382","2","hsa-miR-663a; hsa-miR-6802-5p"
"KEGG (miRPathDB)","Pathways in cancer","enriched","0.0033223","0.0033223","0.0385382","2","hsa-miR-663a; hsa-miR-6802-5p"
"KEGG (miRPathDB)","Proteoglycans in cancer","enriched","0.0033223","0.0033223","0.0385382","2","hsa-miR-663a; hsa-miR-6802-5p"
"KEGG (miRPathDB)","p53 signaling pathway","enriched","0.0033223","0.0033223","0.0385382","2","hsa-miR-663a; hsa-miR-6802-5p"
"Reactome (miRPathDB)","Signal Transduction","enriched","0.0033223","0.0033223","0.336655","2","hsa-miR-663a; hsa-miR-6802-5p"
"WikiPathways (miRPathDB)","Chromosomal and microsatellite instability in colorectal cancer","enriched","0.0033223","0.0033223","0.0671834","2","hsa-miR-663a; hsa-miR-6802-5p"
"WikiPathways (miRPathDB)","DNA Damage Response only ATM dependent","enriched","0.0033223","0.0033223","0.0671834","2","hsa-miR-663a; hsa-miR-6802-5p"
"WikiPathways (miRPathDB)","Integrin-mediated Cell Adhesion","enriched","0.0033223","0.0033223","0.0671834","2","hsa-miR-663a; hsa-miR-6802-5p"
