Feature,Importance,Classifier
hsa-miR-4525,0.0033207294951037667,SVM
hsa-miR-8073,0.020515833154995635,SVM
hsa-miR-6802-5p,0.012388362023751343,SVM
hsa-miR-1307-3p,0.08300030499677098,SVM
hsa-miR-6800-5p,-0.027714841338743676,SVM
hsa-miR-6131,0.07218649623378745,SVM
hsa-miR-320a,0.019647406049281464,SVM
hsa-miR-6766-5p,0.02175371861767178,SVM
hsa-miR-663a,0.03715899917308683,SVM
hsa-miR-1228-5p,-0.0728475887353656,SVM
hsa-miR-642b-3p,0.02070277629062096,SVM
hsa-miR-4728-5p,0.0023931913800795857,SVM
hsa-miR-4532,0.04221763294618616,SVM
hsa-miR-6756-5p,0.012455303198904762,SVM
hsa-miR-887-3p,-0.023787303771030593,SVM
hsa-miR-4787-5p,-0.03480522110731198,SVM
hsa-miR-6090,0.06807914522587247,SVM
hsa-miR-575,-0.056369281376940195,SVM
hsa-miR-6746-5p,0.005945552514400901,SVM
hsa-miR-4690-5p,0.0169763013499963,SVM
hsa-miR-4730,-0.08831051867009775,SVM
hsa-miR-6784-5p,-0.020917542854970415,SVM
hsa-miR-92b-5p,-0.003643905204593133,SVM
hsa-miR-4687-5p,-0.02472686464960662,SVM
hsa-miR-1238-5p,0.023482252778942427,SVM
hsa-miR-8059,-0.006947231115943667,SVM
hsa-miR-1469,0.044391283895821546,SVM
hsa-miR-4675,-0.008914307449402447,SVM
hsa-miR-4758-5p,0.03738813987100595,SVM
hsa-miR-6805-5p,-0.0251526133855852,SVM
hsa-miR-3184-5p,-0.0509596041463489,SVM
hsa-miR-1203,-0.08290027050732975,SVM
hsa-miR-4706,-0.03680508998673198,SVM
hsa-miR-197-5p,0.040509312970250164,SVM
hsa-miR-3940-5p,-0.01755444314768729,SVM
hsa-miR-1233-5p,0.0672174235961682,SVM
hsa-miR-4648,-0.04958042404738268,SVM
hsa-miR-4276,-0.020415171947360238,SVM
hsa-miR-4783-3p,0.06999030765772578,SVM
hsa-miR-1343-3p,0.0056250692749411964,SVM
hsa-miR-6787-5p,0.02573225730070845,SVM
hsa-miR-4732-5p,0.02911857321219418,SVM
hsa-miR-4525,0.0,XGBoost
hsa-miR-8073,0.020194830372929573,XGBoost
hsa-miR-6802-5p,0.0015689892461523414,XGBoost
hsa-miR-1307-3p,0.0,XGBoost
hsa-miR-6800-5p,0.0,XGBoost
hsa-miR-6131,0.0,XGBoost
hsa-miR-320a,0.0,XGBoost
hsa-miR-6766-5p,0.0,XGBoost
hsa-miR-663a,0.0,XGBoost
hsa-miR-1228-5p,0.001590259256772697,XGBoost
hsa-miR-642b-3p,0.0,XGBoost
hsa-miR-4728-5p,0.0,XGBoost
hsa-miR-4532,0.0,XGBoost
hsa-miR-6756-5p,0.0,XGBoost
hsa-miR-887-3p,0.0,XGBoost
hsa-miR-4787-5p,0.0,XGBoost
hsa-miR-6090,0.0,XGBoost
hsa-miR-575,0.0,XGBoost
hsa-miR-6746-5p,0.0,XGBoost
hsa-miR-4690-5p,0.0,XGBoost
hsa-miR-4730,0.0,XGBoost
hsa-miR-6784-5p,0.0012164522195234895,XGBoost
hsa-miR-92b-5p,0.0,XGBoost
hsa-miR-4687-5p,0.0,XGBoost
hsa-miR-1238-5p,0.00042785887490026653,XGBoost
hsa-miR-8059,0.0,XGBoost
hsa-miR-1469,0.0006098776939325035,XGBoost
hsa-miR-4675,0.0,XGBoost
hsa-miR-4758-5p,0.0,XGBoost
hsa-miR-6805-5p,0.0,XGBoost
hsa-miR-3184-5p,0.029420537874102592,XGBoost
hsa-miR-1203,0.009319024160504341,XGBoost
hsa-miR-4706,0.0,XGBoost
hsa-miR-197-5p,0.0,XGBoost
hsa-miR-3940-5p,0.00010877839667955413,XGBoost
hsa-miR-1233-5p,0.00422200420871377,XGBoost
hsa-miR-4648,0.0,XGBoost
hsa-miR-4276,0.0,XGBoost
hsa-miR-4783-3p,0.931321382522583,XGBoost
hsa-miR-1343-3p,0.0,XGBoost
hsa-miR-6787-5p,0.0,XGBoost
