"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10","microRNA 11"
"SLC47A1","0.00000104","0.00348","0.105","8","hsa-miR-4730","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-1307-3p","hsa-miR-6784-5p","hsa-miR-4525","hsa-miR-4728-5p","","",""
"ABL1","0.0000538","0.0226","0.148","7","hsa-miR-3184-5p","hsa-miR-1233-5p","hsa-miR-6090","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-6802-5p","hsa-miR-8073","","","",""
"AFG1L","0.0000266","0.0226","0.0485","4","hsa-miR-1228-5p","hsa-miR-4730","hsa-miR-6787-5p","hsa-miR-663a","","","","","","",""
"AHDC1","0.0000315","0.0226","0.108","6","hsa-miR-1233-5p","hsa-miR-3184-5p","hsa-miR-4728-5p","hsa-miR-6756-5p","hsa-miR-6766-5p","hsa-miR-6805-5p","","","","",""
"C10orf95","0.0000380","0.0226","0.0525","4","hsa-miR-4787-5p","hsa-miR-6090","hsa-miR-663a","hsa-miR-6787-5p","","","","","","",""
"CALR","0.0000538","0.0226","0.203","9","hsa-miR-320a","hsa-miR-1343-3p","hsa-miR-6766-5p","hsa-miR-6756-5p","hsa-miR-4525","hsa-miR-4728-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","",""
"RNASEK","0.0000179","0.0226","0.0444","4","hsa-miR-92b-5p","hsa-miR-6766-5p","hsa-miR-4648","hsa-miR-6756-5p","","","","","","",""
"STMN3","0.0000420","0.0226","0.113","6","hsa-miR-6766-5p","hsa-miR-6756-5p","hsa-miR-4525","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4787-5p","","","","",""
"LSG1","0.0000810","0.0302","0.127","6","hsa-miR-1233-5p","hsa-miR-1228-5p","hsa-miR-6766-5p","hsa-miR-6756-5p","hsa-miR-4728-5p","hsa-miR-575","","","","",""
"ARHGAP31","0.000129","0.0373","0.137","6","hsa-miR-4730","hsa-miR-4728-5p","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-4706","hsa-miR-6131","","","","",""
"H2AFX","0.000145","0.0373","0.140","6","hsa-miR-320a","hsa-miR-6090","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-6131","","","","",""
"HIST1H2BL","0.000121","0.0373","0.0687","4","hsa-miR-320a","hsa-miR-3940-5p","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","","",""
"SFN","0.000138","0.0373","0.171","7","hsa-miR-1307-3p","hsa-miR-4525","hsa-miR-663a","hsa-miR-6756-5p","hsa-miR-6766-5p","hsa-miR-6787-5p","hsa-miR-6805-5p","","","",""
"NEUROD2","0.000179","0.0409","0.145","6","hsa-miR-4728-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-6805-5p","hsa-miR-6784-5p","hsa-miR-4532","","","","",""
"SCAMP4","0.000183","0.0409","0.237","9","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-4728-5p","hsa-miR-1228-5p","hsa-miR-1343-3p","hsa-miR-6756-5p","hsa-miR-6766-5p","hsa-miR-887-3p","",""
"CTDNEP1","0.000227","0.0453","0.185","7","hsa-miR-1233-5p","hsa-miR-6766-5p","hsa-miR-6756-5p","hsa-miR-4728-5p","hsa-miR-3184-5p","hsa-miR-6787-5p","hsa-miR-663a","","","",""
"MNT","0.000233","0.0453","0.216","8","hsa-miR-4728-5p","hsa-miR-3184-5p","hsa-miR-92b-5p","hsa-miR-6766-5p","hsa-miR-6756-5p","hsa-miR-6090","hsa-miR-663a","hsa-miR-6787-5p","","",""
"SPRY4","0.000243","0.0453","0.246","9","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-3184-5p","hsa-miR-1233-5p","hsa-miR-4728-5p","hsa-miR-6090","hsa-miR-6746-5p","hsa-miR-6756-5p","hsa-miR-6766-5p","",""
"YPEL2","0.000257","0.0454","0.120","5","hsa-miR-320a","hsa-miR-1233-5p","hsa-miR-4728-5p","hsa-miR-6756-5p","hsa-miR-6766-5p","","","","","",""
"ADGRB2","0.000308","0.0472","0.0485","3","hsa-miR-4687-5p","hsa-miR-4728-5p","hsa-miR-6746-5p","","","","","","","",""
"SBF1","0.000309","0.0472","0.194","7","hsa-miR-320a","hsa-miR-4675","hsa-miR-4690-5p","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-92b-5p","","","",""
"SETD1B","0.000303","0.0472","0.253","9","hsa-miR-3940-5p","hsa-miR-4758-5p","hsa-miR-1238-5p","hsa-miR-4525","hsa-miR-6766-5p","hsa-miR-6756-5p","hsa-miR-6090","hsa-miR-1233-5p","hsa-miR-6746-5p","",""
"SUSD6","0.000374","0.0524","0.129","5","hsa-miR-1233-5p","hsa-miR-1343-3p","hsa-miR-4525","hsa-miR-4648","hsa-miR-4728-5p","","","","","",""
"ZNF787","0.000374","0.0524","0.129","5","hsa-miR-3184-5p","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-6805-5p","","","","","",""
"PPP1R14A","0.000435","0.0585","0.0539","3","hsa-miR-320a","hsa-miR-1228-5p","hsa-miR-6784-5p","","","","","","","",""
"ANKRD13B","0.000472","0.0610","0.136","5","hsa-miR-6756-5p","hsa-miR-6766-5p","hsa-miR-4525","hsa-miR-4728-5p","hsa-miR-3184-5p","","","","","",""
"HIST1H2BO","0.000496","0.0617","0.0970","4","hsa-miR-92b-5p","hsa-miR-320a","hsa-miR-4758-5p","hsa-miR-1238-5p","","","","","","",""
"ARHGAP40","0.000592","0.0642","0.0593","3","hsa-miR-6131","hsa-miR-6784-5p","hsa-miR-4532","","","","","","","",""
"C3orf36","0.000545","0.0642","0.178","6","hsa-miR-3184-5p","hsa-miR-4758-5p","hsa-miR-1238-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","",""
"NRGN","0.000589","0.0642","0.142","5","hsa-miR-4728-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1233-5p","hsa-miR-4648","","","","","",""
"PTPN9","0.000589","0.0642","0.142","5","hsa-miR-320a","hsa-miR-197-5p","hsa-miR-4690-5p","hsa-miR-6756-5p","hsa-miR-6766-5p","","","","","",""
"UBE2Q1","0.000641","0.0673","0.183","6","hsa-miR-6802-5p","hsa-miR-4758-5p","hsa-miR-1238-5p","hsa-miR-6800-5p","hsa-miR-4648","hsa-miR-197-5p","","","","",""
"KCNK3","0.000726","0.0739","0.149","5","hsa-miR-1233-5p","hsa-miR-6766-5p","hsa-miR-6756-5p","hsa-miR-4728-5p","hsa-miR-3184-5p","","","","","",""
"ABHD12","0.000802","0.0770","0.152","5","hsa-miR-320a","hsa-miR-4532","hsa-miR-4706","hsa-miR-6800-5p","hsa-miR-6802-5p","","","","","",""
"BARHL1","0.000802","0.0770","0.152","5","hsa-miR-4675","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-3184-5p","","","","","",""
"ASB6","0.000901","0.0827","0.231","7","hsa-miR-4648","hsa-miR-4728-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-320a","hsa-miR-1233-5p","","","",""
"CHST12","0.000911","0.0827","0.113","4","hsa-miR-4728-5p","hsa-miR-1228-5p","hsa-miR-6766-5p","hsa-miR-6756-5p","","","","","","",""
"AP2S1","0.00100","0.0827","0.0700","3","hsa-miR-3184-5p","hsa-miR-4690-5p","hsa-miR-6784-5p","","","","","","","",""
"GNAI2","0.000974","0.0827","0.158","5","hsa-miR-6787-5p","hsa-miR-6090","hsa-miR-663a","hsa-miR-4706","hsa-miR-92b-5p","","","","","",""
"NKX6-2","0.00100","0.0827","0.0700","3","hsa-miR-4728-5p","hsa-miR-3184-5p","hsa-miR-6784-5p","","","","","","","",""
"SRCIN1","0.00101","0.0827","0.199","6","hsa-miR-92b-5p","hsa-miR-4706","hsa-miR-4728-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-6746-5p","","","","",""
"C10orf55","0.00104","0.0835","0.117","4","hsa-miR-4728-5p","hsa-miR-3184-5p","hsa-miR-6746-5p","hsa-miR-6784-5p","","","","","","",""
"GATAD2A","0.00108","0.0840","0.238","7","hsa-miR-4648","hsa-miR-92b-5p","hsa-miR-4525","hsa-miR-4706","hsa-miR-4787-5p","hsa-miR-663a","hsa-miR-6787-5p","","","",""
