"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Annotations derived over miRTarBase (Gene Ontology)","cytokine activity GO0005125","enriched","6.43e-5","6.43e-5","0.361506","13","hsa-miR-125a-3p; hsa-miR-6802-5p; hsa-miR-1307-3p; hsa-miR-6729-5p; hsa-miR-6800-5p; hsa-miR-663a; hsa-miR-1228-5p; hsa-miR-642b-3p; hsa-miR-6756-5p; hsa-miR-887-3p; hsa-miR-128-1-5p; hsa-miR-4732-5p; hsa-miR-6769a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","monocyte chemotaxis GO0002548","enriched","7.05e-4","7.05e-4","0.361506","3","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6729-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of cytoskeleton organization GO0051495","enriched","7.05e-4","7.05e-4","0.361506","3","hsa-miR-6861-5p; hsa-miR-125a-3p; hsa-miR-6729-5p"
"Annotations derived over miRTarBase (Gene Ontology)","triglyceride metabolic process GO0006641","enriched","7.05e-4","7.05e-4","0.361506","3","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6729-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of DNA-binding transcription factor activity GO0051090","enriched","8.24e-4","8.24e-4","0.361506","8","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6729-5p; hsa-miR-6131; hsa-miR-642b-3p; hsa-miR-6756-5p; hsa-miR-6090; hsa-miR-1343-3p"
"Annotations derived over miRTarBase (Gene Ontology)","inositol hexakisphosphate 5-kinase activity GO0000832","enriched","0.0010101","0.0010101","0.361506","2","hsa-miR-6861-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","mannosyl-oligosaccharide 1,2-alpha-mannosidase activity GO0004571","depleted","0.0010101","0.0010101","0.361506","2","hsa-miR-4732-5p; hsa-miR-6769a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","photoreceptor cell morphogenesis GO0008594","enriched","0.0010101","0.0010101","0.361506","2","hsa-miR-6861-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","white fat cell differentiation GO0050872","enriched","0.0010101","0.0010101","0.361506","2","hsa-miR-6861-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","RNA polymerase II transcription regulator complex GO0090575","depleted","0.001388","0.001388","0.361506","24","hsa-miR-125a-3p; hsa-miR-6131; hsa-miR-663a; hsa-miR-6756-5p; hsa-miR-6090; hsa-miR-6746-5p; hsa-miR-1238-5p; hsa-miR-4675; hsa-miR-4758-5p; hsa-miR-6805-5p; hsa-miR-3184-5p; hsa-miR-4706; hsa-miR-197-5p; hsa-miR-92a-2-5p; hsa-miR-3940-5p; hsa-miR-128-1-5p; hsa-miR-6857-5p; hsa-miR-1233-5p; hsa-miR-4648; hsa-miR-4734; hsa-miR-1343-3p; hsa-miR-6787-5p; hsa-miR-4732-5p; hsa-miR-6769a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","tRNA pseudouridine synthesis GO0031119","enriched","0.0014094","0.0014094","0.361506","3","hsa-miR-6802-5p; hsa-miR-1307-3p; hsa-miR-6800-5p"
"Target genes (miRTarBase)","ZKSCAN1","enriched","0.0014094","0.0014094","0.312272","3","hsa-miR-125a-3p; hsa-miR-6802-5p; hsa-miR-6800-5p"
"Annotations derived over miRTarBase (Gene Ontology)","G2M transition of mitotic cell cycle GO0000086","enriched","0.0014536","0.0014536","0.361506","10","hsa-miR-125a-3p; hsa-miR-6802-5p; hsa-miR-1307-3p; hsa-miR-6729-5p; hsa-miR-6800-5p; hsa-miR-663a; hsa-miR-642b-3p; hsa-miR-575; hsa-miR-3184-5p; hsa-miR-1233-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of G2M transition of mitotic cell cycle GO0010971","enriched","0.0023857","0.0023857","0.361506","6","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6729-5p; hsa-miR-663a; hsa-miR-642b-3p; hsa-miR-3940-5p"
"Annotations derived over miRTarBase (Gene Ontology)","RNA polymerase III general transcription initiation factor binding GO0001025","enriched","0.0024665","0.0024665","0.361506","3","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6131"
"Annotations derived over miRTarBase (Gene Ontology)","high-density lipoprotein particle remodeling GO0034375","enriched","0.0024665","0.0024665","0.361506","3","hsa-miR-125a-3p; hsa-miR-6729-5p; hsa-miR-6131"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of NLRP3 inflammasome complex assembly GO1900226","enriched","0.0024665","0.0024665","0.361506","3","hsa-miR-6861-5p; hsa-miR-125a-3p; hsa-miR-6131"
"Pathways (KEGG)","Fatty acid elongation","enriched","0.0024665","0.0024665","0.518934","3","hsa-miR-6802-5p; hsa-miR-1307-3p; hsa-miR-6131"
"Target genes (miRTarBase)","DDX19B","enriched","0.0024665","0.0024665","0.312272","3","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6131"
"Target genes (miRTarBase)","ZBTB43","enriched","0.0024665","0.0024665","0.312272","3","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6131"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to hydrogen peroxide GO0070301","enriched","0.0025562","0.0025562","0.361506","15","hsa-miR-125a-3p; hsa-miR-6802-5p; hsa-miR-1307-3p; hsa-miR-6729-5p; hsa-miR-6800-5p; hsa-miR-6131; hsa-miR-663a; hsa-miR-642b-3p; hsa-miR-6756-5p; hsa-miR-6090; hsa-miR-6805-5p; hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-1233-5p; hsa-miR-6787-5p"
"Annotations derived over miRTarBase (Gene Ontology)","integrin-mediated signaling pathway GO0007229","enriched","0.0025562","0.0025562","0.361506","15","hsa-miR-6861-5p; hsa-miR-125a-3p; hsa-miR-6802-5p; hsa-miR-6729-5p; hsa-miR-6131; hsa-miR-663a; hsa-miR-1228-5p; hsa-miR-642b-3p; hsa-miR-6756-5p; hsa-miR-6090; hsa-miR-3184-5p; hsa-miR-4706; hsa-miR-1233-5p; hsa-miR-1343-3p; hsa-miR-6787-5p"
"Annotations derived over miRTarBase (Gene Ontology)","DNA replication GO0006260","enriched","0.0028148","0.0028148","0.361506","9","hsa-miR-125a-3p; hsa-miR-6802-5p; hsa-miR-6729-5p; hsa-miR-6800-5p; hsa-miR-6131; hsa-miR-663a; hsa-miR-575; hsa-miR-3184-5p; hsa-miR-197-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cytoplasmic side of lysosomal membrane GO0098574","enriched","0.0028263","0.0028263","0.361506","5","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-663a; hsa-miR-6756-5p; hsa-miR-575"
"Immune cells","CD15 expressed","enriched","0.0028263","0.0028263","0.0169575","5","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-663a; hsa-miR-642b-3p; hsa-miR-575"
"Annotations derived over miRTarBase (Gene Ontology)","cytosolic small ribosomal subunit GO0022627","enriched","0.0031145","0.0031145","0.361506","6","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6729-5p; hsa-miR-6131; hsa-miR-575; hsa-miR-4730"
"Annotations derived over miRTarBase (Gene Ontology)","kinetochore GO0000776","enriched","0.0031405","0.0031405","0.361506","27","hsa-miR-6861-5p; hsa-miR-125a-3p; hsa-miR-6802-5p; hsa-miR-1307-3p; hsa-miR-6729-5p; hsa-miR-6800-5p; hsa-miR-6131; hsa-miR-663a; hsa-miR-1228-5p; hsa-miR-642b-3p; hsa-miR-6756-5p; hsa-miR-6090; hsa-miR-575; hsa-miR-6746-5p; hsa-miR-4690-5p; hsa-miR-4730; hsa-miR-92b-5p; hsa-miR-4687-5p; hsa-miR-5195-3p; hsa-miR-6805-5p; hsa-miR-1203; hsa-miR-92a-2-5p; hsa-miR-1233-5p; hsa-miR-4648; hsa-miR-4276; hsa-miR-1343-3p; hsa-miR-6769a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","mannosyltransferase activity GO0000030","depleted","0.0033223","0.0033223","0.361506","4","hsa-miR-128-1-5p; hsa-miR-1233-5p; hsa-miR-1343-3p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","protein methyltransferase activity GO0008276","depleted","0.0033223","0.0033223","0.361506","4","hsa-miR-128-1-5p; hsa-miR-6857-5p; hsa-miR-4648; hsa-miR-6769a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","ribosome binding GO0043022","enriched","0.0035803","0.0035803","0.361506","12","hsa-miR-125a-3p; hsa-miR-6802-5p; hsa-miR-6729-5p; hsa-miR-6800-5p; hsa-miR-6131; hsa-miR-6756-5p; hsa-miR-6090; hsa-miR-575; hsa-miR-6746-5p; hsa-miR-92a-2-5p; hsa-miR-1233-5p; hsa-miR-4276"
"Annotations derived over miRTarBase (Gene Ontology)","cyclin-dependent protein kinase activity GO0097472","enriched","0.0039464","0.0039464","0.361506","3","hsa-miR-6802-5p; hsa-miR-6800-5p; hsa-miR-663a"
"Annotations derived over miRTarBase (Gene Ontology)","histone kinase activity GO0035173","enriched","0.0039464","0.0039464","0.361506","3","hsa-miR-6802-5p; hsa-miR-6800-5p; hsa-miR-663a"
"Gene Ontology (miRWalk)","GO0003700 sequence specific dna binding transcription factor activity","enriched","0.0039464","0.0039464","0.140797","3","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-663a"
"Gene Ontology (miRWalk)","GO0005654 nucleoplasm","enriched","0.0039464","0.0039464","0.140797","3","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-663a"
"WikiPathways (miRPathDB)","G1 to S cell cycle control","enriched","0.0039464","0.0039464","0.266763","3","hsa-miR-6802-5p; hsa-miR-6729-5p; hsa-miR-663a"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of NLRP3 inflammasome complex assembly GO1900227","enriched","0.0044059","0.0044059","0.361506","5","hsa-miR-6861-5p; hsa-miR-1307-3p; hsa-miR-6131; hsa-miR-575; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","endocrine pancreas development GO0031018","enriched","0.0047988","0.0047988","0.361506","4","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6131; hsa-miR-887-3p"
"Gene Ontology (miRWalk)","GO0005524 atp binding","enriched","0.0047988","0.0047988","0.140797","4","hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-663a; hsa-miR-887-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of cytokine production GO0001819","enriched","0.0048742","0.0048742","0.361506","10","hsa-miR-6861-5p; hsa-miR-125a-3p; hsa-miR-1307-3p; hsa-miR-6131; hsa-miR-663a; hsa-miR-1228-5p; hsa-miR-6756-5p; hsa-miR-1233-5p; hsa-miR-4276; hsa-miR-6769a-5p"
