Feature,Importance,Classifier
hsa-miR-4783-3p,0.931321382522583,XGBoost
hsa-miR-1307-3p,0.0830003049967709,SVM
hsa-miR-6131,0.0721864962337874,SVM
hsa-miR-4783-3p,0.0699903076577257,SVM
hsa-miR-6090,0.0680791452258724,SVM
hsa-miR-1233-5p,0.0672174235961682,SVM
hsa-miR-1469,0.0443912838958215,SVM
hsa-miR-4532,0.0422176329461861,SVM
hsa-miR-197-5p,0.0405093129702501,SVM
hsa-miR-4758-5p,0.0373881398710059,SVM
hsa-miR-663a,0.0371589991730868,SVM
hsa-miR-3184-5p,0.0294205378741025,XGBoost
hsa-miR-4732-5p,0.0291185732121941,SVM
hsa-miR-6787-5p,0.0257322573007084,SVM
hsa-miR-1238-5p,0.0234822527789424,SVM
hsa-miR-6766-5p,0.0217537186176717,SVM
hsa-miR-642b-3p,0.0207027762906209,SVM
hsa-miR-8073,0.0205158331549956,SVM
hsa-miR-8073,0.0201948303729295,XGBoost
hsa-miR-320a,0.0196474060492814,SVM
hsa-miR-4690-5p,0.0169763013499963,SVM
hsa-miR-6756-5p,0.0124553031989047,SVM
hsa-miR-6802-5p,0.0123883620237513,SVM
hsa-miR-1203,0.0093190241605043,XGBoost
hsa-miR-6746-5p,0.0059455525144009,SVM
hsa-miR-1343-3p,0.0056250692749411,SVM
hsa-miR-1233-5p,0.0042220042087137,XGBoost
hsa-miR-4525,0.0033207294951037,SVM
hsa-miR-4728-5p,0.0023931913800795,SVM
hsa-miR-1228-5p,0.0015902592567726,XGBoost
hsa-miR-6802-5p,0.0015689892461523,XGBoost
hsa-miR-6784-5p,0.0012164522195234,XGBoost
hsa-miR-1469,0.0006098776939325,XGBoost
hsa-miR-1238-5p,0.0004278588749002,XGBoost
hsa-miR-3940-5p,0.0001087783966795,XGBoost
hsa-miR-6756-5p,0.0,XGBoost
hsa-miR-4687-5p,0.0,XGBoost
hsa-miR-6090,0.0,XGBoost
hsa-miR-575,0.0,XGBoost
hsa-miR-6746-5p,0.0,XGBoost
hsa-miR-4690-5p,0.0,XGBoost
hsa-miR-4730,0.0,XGBoost
hsa-miR-92b-5p,0.0,XGBoost
hsa-miR-8059,0.0,XGBoost
hsa-miR-887-3p,0.0,XGBoost
hsa-miR-4675,0.0,XGBoost
hsa-miR-4758-5p,0.0,XGBoost
hsa-miR-6805-5p,0.0,XGBoost
hsa-miR-4706,0.0,XGBoost
hsa-miR-197-5p,0.0,XGBoost
hsa-miR-4648,0.0,XGBoost
hsa-miR-4276,0.0,XGBoost
hsa-miR-1343-3p,0.0,XGBoost
hsa-miR-4787-5p,0.0,XGBoost
hsa-miR-6787-5p,0.0,XGBoost
hsa-miR-4728-5p,0.0,XGBoost
hsa-miR-642b-3p,0.0,XGBoost
hsa-miR-663a,0.0,XGBoost
hsa-miR-6766-5p,0.0,XGBoost
hsa-miR-320a,0.0,XGBoost
hsa-miR-6131,0.0,XGBoost
hsa-miR-6800-5p,0.0,XGBoost
hsa-miR-1307-3p,0.0,XGBoost
hsa-miR-4525,0.0,XGBoost
hsa-miR-4532,0.0,XGBoost
hsa-miR-92b-5p,-0.0036439052045931,SVM
hsa-miR-8059,-0.0069472311159436,SVM
hsa-miR-4675,-0.0089143074494024,SVM
hsa-miR-3940-5p,-0.0175544431476872,SVM
hsa-miR-4276,-0.0204151719473602,SVM
hsa-miR-6784-5p,-0.0209175428549704,SVM
hsa-miR-887-3p,-0.0237873037710305,SVM
hsa-miR-4687-5p,-0.0247268646496066,SVM
hsa-miR-6805-5p,-0.0251526133855852,SVM
hsa-miR-6800-5p,-0.0277148413387436,SVM
hsa-miR-4787-5p,-0.0348052211073119,SVM
hsa-miR-4706,-0.0368050899867319,SVM
hsa-miR-4648,-0.0495804240473826,SVM
hsa-miR-3184-5p,-0.0509596041463489,SVM
hsa-miR-575,-0.0563692813769401,SVM
hsa-miR-1228-5p,-0.0728475887353656,SVM
hsa-miR-1203,-0.0829002705073297,SVM
hsa-miR-4730,-0.0883105186700977,SVM
