Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11
NACC1,0.1325301204819277,0.00297,0.144,0.4,11,hsa-miR-6766-5p,hsa-miR-6756-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-1233-5p,hsa-miR-197-5p,hsa-miR-3184-5p,hsa-miR-4728-5p,hsa-miR-6090,hsa-miR-6131,hsa-miR-6802-5p
NFIC,0.12048192771084343,0.00805,0.237,0.43,10,hsa-miR-4690-5p,hsa-miR-6766-5p,hsa-miR-6756-5p,hsa-miR-4728-5p,hsa-miR-4687-5p,hsa-miR-1343-3p,hsa-miR-197-5p,hsa-miR-4532,hsa-miR-6805-5p,hsa-miR-92b-5p,
SETD1B,0.10843373493975905,0.000303,0.0472,0.253,9,hsa-miR-3940-5p,hsa-miR-4758-5p,hsa-miR-1238-5p,hsa-miR-4525,hsa-miR-6766-5p,hsa-miR-6756-5p,hsa-miR-6090,hsa-miR-1233-5p,hsa-miR-6746-5p,,
SCAMP4,0.10843373493975905,0.000183,0.0409,0.237,9,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-4728-5p,hsa-miR-1228-5p,hsa-miR-1343-3p,hsa-miR-6756-5p,hsa-miR-6766-5p,hsa-miR-887-3p,,
KHSRP,0.10843373493975905,0.00237,0.129,0.336,9,hsa-miR-4728-5p,hsa-miR-1343-3p,hsa-miR-92b-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-6805-5p,hsa-miR-1233-5p,hsa-miR-6766-5p,hsa-miR-6756-5p,,
CALR,0.10843373493975905,5.38e-05,0.0226,0.203,9,hsa-miR-320a,hsa-miR-1343-3p,hsa-miR-6766-5p,hsa-miR-6756-5p,hsa-miR-4525,hsa-miR-4728-5p,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,,
CDKN1A,0.10843373493975905,0.0773,0.519,0.594,9,hsa-miR-6802-5p,hsa-miR-663a,hsa-miR-1233-5p,hsa-miR-4648,hsa-miR-4728-5p,hsa-miR-642b-3p,hsa-miR-6787-5p,hsa-miR-6805-5p,hsa-miR-4732-5p,,
SPRY4,0.10843373493975905,0.000243,0.0453,0.246,9,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-3184-5p,hsa-miR-1233-5p,hsa-miR-4728-5p,hsa-miR-6090,hsa-miR-6746-5p,hsa-miR-6756-5p,hsa-miR-6766-5p,,
PKM,0.09638554216867468,0.00338,0.147,0.323,8,hsa-miR-320a,hsa-miR-4525,hsa-miR-1238-5p,hsa-miR-4648,hsa-miR-4675,hsa-miR-4758-5p,hsa-miR-6756-5p,hsa-miR-6766-5p,,,
MNT,0.09638554216867468,0.000233,0.0453,0.216,8,hsa-miR-4728-5p,hsa-miR-3184-5p,hsa-miR-92b-5p,hsa-miR-6766-5p,hsa-miR-6756-5p,hsa-miR-6090,hsa-miR-663a,hsa-miR-6787-5p,,,
SLC47A1,0.09638554216867468,1.04e-06,0.00348,0.105,8,hsa-miR-4730,hsa-miR-6787-5p,hsa-miR-663a,hsa-miR-4706,hsa-miR-1307-3p,hsa-miR-6784-5p,hsa-miR-4525,hsa-miR-4728-5p,,,
