Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
MED28,0.1724137931034483,0.00434,0.332,0.234,5,hsa-miR-3178,hsa-miR-4439,hsa-miR-6857-3p,hsa-miR-4647,hsa-miR-6769b-5p
FEM1A,0.1724137931034483,0.00731,0.384,0.264,5,hsa-miR-4472,hsa-miR-4439,hsa-miR-6857-3p,hsa-miR-6769b-5p,hsa-miR-3178
MAPKAPK5,0.13793103448275867,0.0163,0.453,0.258,4,hsa-miR-6895-3p,hsa-miR-4439,hsa-miR-6857-3p,hsa-miR-7846-3p,
NFIX,0.13793103448275867,0.00545,0.332,0.189,4,hsa-miR-6769b-5p,hsa-miR-4749-5p,hsa-miR-6869-3p,hsa-miR-139-3p,
KMT2D,0.13793103448275867,0.0131,0.42,0.242,4,hsa-miR-4472,hsa-miR-4749-5p,hsa-miR-4439,hsa-miR-6857-3p,
ANTXR2,0.10344827586206895,0.00437,0.332,0.115,3,hsa-miR-4439,hsa-miR-6857-3p,hsa-miR-937-5p,,
NACC2,0.10344827586206895,0.0771,0.458,0.341,3,hsa-miR-4472,hsa-miR-7846-3p,hsa-miR-548h-5p,,
ORAI2,0.10344827586206895,0.12,0.458,0.412,3,hsa-miR-6769b-5p,hsa-miR-3178,hsa-miR-139-3p,,
MPRIP,0.10344827586206895,0.00978,0.405,0.154,3,hsa-miR-4439,hsa-miR-4462,hsa-miR-6857-3p,,
ZNF621,0.10344827586206895,0.0088,0.405,0.148,3,hsa-miR-3155b,hsa-miR-4439,hsa-miR-6857-3p,,
ZNF708,0.10344827586206895,0.0372,0.458,0.254,3,hsa-miR-4647,hsa-miR-6895-3p,hsa-miR-6769b-5p,,
ARHGAP18,0.10344827586206895,0.00191,0.332,0.0866,3,hsa-miR-6895-3p,hsa-miR-4439,hsa-miR-6857-3p,,
FOXC1,0.10344827586206895,0.021,0.458,0.204,3,hsa-miR-139-3p,hsa-miR-4439,hsa-miR-6857-3p,,
TXNIP,0.10344827586206895,0.138,0.458,0.439,3,hsa-miR-4439,hsa-miR-6857-3p,hsa-miR-4647,,
ZNF701,0.10344827586206895,0.0131,0.42,0.171,3,hsa-miR-4439,hsa-miR-6857-3p,hsa-miR-4472,,
C17orf105,0.10344827586206895,0.0165,0.453,0.187,3,hsa-miR-937-5p,hsa-miR-6895-3p,hsa-miR-4647,,
AGO2,0.10344827586206895,0.246,0.462,0.577,3,hsa-miR-548h-5p,hsa-miR-6769b-5p,hsa-miR-937-5p,,
DDR2,0.10344827586206895,0.00622,0.341,0.131,3,hsa-miR-4439,hsa-miR-6857-3p,hsa-miR-6895-3p,,
BARHL1,0.10344827586206895,0.00217,0.332,0.0904,3,hsa-miR-3178,hsa-miR-4749-5p,hsa-miR-139-3p,,
CBARP,0.10344827586206895,0.000575,0.332,0.0577,3,hsa-miR-4472,hsa-miR-6895-3p,hsa-miR-6857-3p,,
