Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
MED28,0.125,0.00459,0.592,0.312,7,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6847-3p,hsa-miR-660-5p,hsa-miR-4741,hsa-miR-7703,hsa-miR-6769b-5p
CELF1,0.125,0.00526,0.592,0.32,7,hsa-miR-1229-3p,hsa-miR-412-3p,hsa-miR-6847-3p,hsa-miR-5587-5p,hsa-miR-4741,hsa-miR-6722-3p,hsa-miR-7854-3p
OTUD7B,0.1071428571428571,0.00097,0.539,0.201,6,hsa-miR-1229-3p,hsa-miR-371b-5p,hsa-miR-4282,hsa-miR-7703,hsa-miR-6847-3p,hsa-miR-7854-3p,
PIGO,0.1071428571428571,0.000653,0.539,0.187,6,hsa-miR-371b-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-1227-5p,hsa-miR-6802-3p,hsa-miR-412-3p,
RAD51,0.1071428571428571,0.00395,0.592,0.264,6,hsa-miR-7854-3p,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-6847-3p,hsa-miR-7703,hsa-miR-6722-3p,
KDELR1,0.1071428571428571,0.00166,0.585,0.223,6,hsa-miR-1227-5p,hsa-miR-3130-3p,hsa-miR-5585-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6802-3p,
NUDT3,0.1071428571428571,0.0124,0.592,0.334,6,hsa-miR-7703,hsa-miR-5587-5p,hsa-miR-4282,hsa-miR-371b-5p,hsa-miR-1253,hsa-miR-6769b-5p,
SKI,0.1071428571428571,0.0216,0.592,0.377,6,hsa-miR-4524b-5p,hsa-miR-6722-3p,hsa-miR-4282,hsa-miR-371b-5p,hsa-miR-1227-5p,hsa-miR-4741,
SETD1B,0.0892857142857143,0.0156,0.592,0.304,5,hsa-miR-4524b-5p,hsa-miR-412-3p,hsa-miR-5591-5p,hsa-miR-1253,hsa-miR-6769b-5p,,
TIMM8A,0.0892857142857143,0.0106,0.592,0.276,5,hsa-miR-7703,hsa-miR-4722-3p,hsa-miR-7151-5p,hsa-miR-1229-3p,hsa-miR-6829-3p,,
PEX26,0.0892857142857143,0.0386,0.592,0.384,5,hsa-miR-4741,hsa-miR-134-3p,hsa-miR-4722-3p,hsa-miR-6829-3p,hsa-miR-4749-5p,,
WIPF2,0.0892857142857143,0.00726,0.592,0.252,5,hsa-miR-7854-3p,hsa-miR-449c-3p,hsa-miR-1253,hsa-miR-371b-5p,hsa-miR-4722-3p,,
OCIAD2,0.0892857142857143,0.00989,0.592,0.271,5,hsa-miR-4722-3p,hsa-miR-3130-3p,hsa-miR-6829-3p,hsa-miR-371b-5p,hsa-miR-7703,,
KMT2D,0.0892857142857143,0.031,0.592,0.362,5,hsa-miR-1229-3p,hsa-miR-1227-5p,hsa-miR-4749-5p,hsa-miR-5591-5p,hsa-miR-7854-3p,,
FOXK1,0.0892857142857143,0.14,0.592,0.558,5,hsa-miR-1229-3p,hsa-miR-548h-5p,hsa-miR-4524b-5p,hsa-miR-134-3p,hsa-miR-4741,,
HNRNPA1,0.0892857142857143,0.0152,0.592,0.302,5,hsa-miR-1229-3p,hsa-miR-412-3p,hsa-miR-660-5p,hsa-miR-4524b-5p,hsa-miR-4722-3p,,
KLHL36,0.0892857142857143,0.00154,0.585,0.177,5,hsa-miR-218-2-3p,hsa-miR-5587-5p,hsa-miR-371b-5p,hsa-miR-7854-3p,hsa-miR-4722-3p,,
ZNF460,0.0892857142857143,0.343,0.593,0.774,5,hsa-miR-7151-5p,hsa-miR-1253,hsa-miR-3130-3p,hsa-miR-7703,hsa-miR-5585-3p,,
BMPR1A,0.0892857142857143,0.00581,0.592,0.239,5,hsa-miR-5585-3p,hsa-miR-1253,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6802-3p,,
TMEM154,0.0714285714285714,0.013,0.592,0.234,4,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-5585-3p,hsa-miR-6829-3p,,,
BCL2L1,0.0714285714285714,0.0801,0.592,0.415,4,hsa-miR-7854-3p,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-6722-3p,,,
HMGA1,0.0714285714285714,0.0894,0.592,0.431,4,hsa-miR-4741,hsa-miR-6802-3p,hsa-miR-5591-5p,hsa-miR-4722-3p,,,
IPP,0.0714285714285714,0.0244,0.592,0.283,4,hsa-miR-7703,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-371b-5p,,,
SAMD8,0.0714285714285714,0.0416,0.592,0.334,4,hsa-miR-548h-5p,hsa-miR-6829-3p,hsa-miR-6802-3p,hsa-miR-4722-3p,,,
PKD1,0.0714285714285714,0.0146,0.592,0.242,4,hsa-miR-412-3p,hsa-miR-5591-5p,hsa-miR-6722-3p,hsa-miR-548h-5p,,,
