"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors GO1902042","enriched","1.58e-4","1.58e-4","0.237114","11","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-5587-5p; hsa-miR-412-3p; hsa-miR-371b-5p; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","Hsp70 protein binding GO0030544","enriched","2.14e-4","2.14e-4","0.237114","5","hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to retinoic acid GO0071300","enriched","2.23e-4","2.23e-4","0.237114","6","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-5587-5p"
"Annotations derived over miRTarBase (Gene Ontology)","calcium-activated potassium channel activity GO0015269","enriched","3.05e-4","3.05e-4","0.237114","3","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p"
"Target genes (miRTarBase)","FAM241A","enriched","3.05e-4","3.05e-4","0.276668","3","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p"
"Target genes (miRTarBase)","KCNMB1","enriched","3.05e-4","3.05e-4","0.276668","3","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p"
"Annotations derived over miRTarBase (Gene Ontology)","RNA polymerase III complex GO0005666","enriched","6.41e-4","6.41e-4","0.237114","8","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-218-2-3p; hsa-miR-371b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","DNA endonuclease activity GO0004520","enriched","7.33e-4","7.33e-4","0.237114","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p"
"Annotations derived over miRTarBase (Gene Ontology)","selenocysteine incorporation GO0001514","enriched","7.33e-4","7.33e-4","0.237114","4","hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p"
"Annotations derived over miRTarBase (Gene Ontology)","tRNA transcription by RNA polymerase III GO0042797","enriched","7.33e-4","7.33e-4","0.237114","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p"
"Pathways (KEGG)","Glycosaminoglycan degradation","enriched","7.33e-4","7.33e-4","0.169786","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p"
"Pathways (KEGG)","RNA polymerase","enriched","0.0010228","0.0010228","0.169786","11","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-218-2-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-1229-3p"
"Annotations derived over miRTarBase (Gene Ontology)","Golgi cis cisterna GO0000137","enriched","0.0010415","0.0010415","0.237114","8","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-6847-3p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand GO2001240","enriched","0.0010473","0.0010473","0.237114","7","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-371b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","chondrocyte differentiation GO0002062","enriched","0.001221","0.001221","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of hematopoietic progenitor cell differentiation GO1901533","enriched","0.001221","0.001221","0.237114","3","hsa-miR-3130-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of DNA-directed DNA polymerase activity GO1900264","enriched","0.001221","0.001221","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p"
"Target genes (miRTarBase)","ASB16","enriched","0.001221","0.001221","0.276668","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p"
"Target genes (miRTarBase)","RRP36","enriched","0.001221","0.001221","0.276668","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","replication fork GO0005657","enriched","0.0012821","0.0012821","0.237114","5","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-5587-5p"
"Diseases (MNDR)","Hepatocellular carcinoma","depleted","0.0012821","0.0012821","0.304575","5","hsa-miR-660-5p; hsa-miR-1253; hsa-miR-134-3p; hsa-miR-6802-3p; hsa-miR-1229-3p"
