Feature,Importance,Classifier
hsa-miR-1205,0.014709901002911443,SVM
hsa-miR-29b-1-5p,0.02792880142555269,SVM
hsa-miR-1250-5p,0.02669011720572015,SVM
hsa-miR-4516,0.029116084772471396,SVM
hsa-miR-6715b-5p,0.028757845625186143,SVM
hsa-miR-520d-3p,0.01740820897502871,SVM
hsa-miR-6769b-5p,-0.02576088186919639,SVM
hsa-miR-3975,0.0351761704282797,SVM
hsa-miR-548h-5p,-0.03119944007537516,SVM
hsa-miR-4474-3p,0.01947720521751981,SVM
hsa-miR-4511,0.025615313848852257,SVM
hsa-miR-6756-5p,0.026932390329150988,SVM
hsa-miR-1225-3p,0.02467691274854459,SVM
hsa-miR-922,0.015370560907946342,SVM
hsa-miR-6735-5p,-0.033987044743770047,SVM
hsa-miR-6815-5p,0.020522505157070357,SVM
hsa-miR-378c,-0.041755450174226036,SVM
hsa-miR-4727-5p,0.015261952801962596,SVM
hsa-miR-6734-3p,0.01678066001432783,SVM
hsa-miR-512-5p,0.024844659995599476,SVM
hsa-miR-105-3p,0.00933248140909752,SVM
hsa-miR-4803,0.018156721924835244,SVM
hsa-miR-5582-5p,0.01958438743419887,SVM
hsa-miR-134-3p,-0.04362003965859316,SVM
hsa-miR-139-3p,0.045384234701642844,SVM
hsa-miR-548ah-5p,0.019331169201987894,SVM
hsa-miR-1205,0.0,XGBoost
hsa-miR-29b-1-5p,0.04120704531669617,XGBoost
hsa-miR-1250-5p,0.03879837319254875,XGBoost
hsa-miR-4516,0.0,XGBoost
hsa-miR-6715b-5p,0.1086617037653923,XGBoost
hsa-miR-520d-3p,0.03365226462483406,XGBoost
hsa-miR-6769b-5p,0.07405200600624084,XGBoost
hsa-miR-3975,0.0,XGBoost
hsa-miR-548h-5p,0.07600607722997665,XGBoost
hsa-miR-4474-3p,0.08301224559545517,XGBoost
hsa-miR-4511,0.12208711355924606,XGBoost
hsa-miR-6756-5p,0.0,XGBoost
hsa-miR-1225-3p,0.06668554991483688,XGBoost
hsa-miR-922,0.03239208459854126,XGBoost
hsa-miR-6735-5p,0.0,XGBoost
hsa-miR-6815-5p,0.040082331746816635,XGBoost
hsa-miR-378c,0.09342674165964127,XGBoost
hsa-miR-4727-5p,0.0,XGBoost
hsa-miR-6734-3p,0.0,XGBoost
hsa-miR-512-5p,0.056085050106048584,XGBoost
hsa-miR-105-3p,0.0,XGBoost
hsa-miR-4803,0.0,XGBoost
hsa-miR-5582-5p,0.08616834133863449,XGBoost
hsa-miR-134-3p,0.0,XGBoost
hsa-miR-139-3p,0.04768305644392967,XGBoost
hsa-miR-548ah-5p,0.0,XGBoost
