Score,SuperPath Name,# SuperPath Total Genes,# SuperPath Matched Genes,Matched Genes (Symbols),Evidence URL
166.10,Signal Transduction,2597,453,"MAP2K1, ARL4C, NHS, CARM1, ADM, ADM2, NCKAP1, STAT3, EMC3, PPP1R15A, DLC1, TAX1BP3, ADRA2B, PTPN1, ADRB1, EIF4EBP1, TXNL1, BRAP, CCL5, TAB3, PFN1, STK10, TIAL1, NCOA3, DIAPH1, LRRC1, POLR2E, CCND1, TNKS2, VEGFA, VEGFB, PTPN3, NUP98, MDK, MDM2, CSNK1A1, SP1, CSNK1E, RANGAP1, MYC, RAP1B, ABCG8, INTU, STK4, RAP1GDS1, MAPK1, NPY2R, KITLG, GLI2, PTPN6, SPC25, BRS3, CSNK2A1, MAPK13, STMN1, ABHD12, HSP90AA1, ARPC3, F2R, F2RL1, FGF19, CENPK, USP15, DLGAP5, DLL4, F2RL3, F3, CENPM, CENPN, B4GALT1, CENPQ, SLC1A5, ZDHHC21, SOCS1, HCAR2, COL1A1, FGF5, FGF7, STRN, COL3A1, DSN1, PPP2R5C, PPP2R5D, NR1H2, DAB2IP, COL5A1, VHL, RASGEF1A, GLP1R, HEYL, KLK2, PPP3R1, WIPF2, TMOD3, SFN, CCNT1, CCP110, TLN1, PHC2, PHC3, OTUD3, BUB3, OTUD7B, CAV1, IRAK4, UBE2D1, UBE2D2, CAVIN1, TP53, NR3C1, BAG4, RND2, AGO1, AGO2, AGO3, ABHD17B, ABI2, KMT2D, ABL1, COMMD3-BMI1, TBL1XR1, MAPK6, MAPK7, GNA13, GNAI2, GNAQ, ITGA2, CBX2, CBX8, RBBP4, RBBP6, AP2B1, AP2M1, HIF1A, DTX2, ITGA3, KPNA2, CEP97, CTBP2, LTBP2, RBCK1, DUSP10, MAPKAPK2, SCD, MAPKAPK5, SGK1, DUSP2, NRAS, SOWAHC, GNB5, WWC1, DUSP4, ITGB1, FKBP5, FAM135A, PHLPP2, HDAC5, CHEK1, KREMEN1, TMED5, MEMO1, DUSP9, CTNNB1, XIAP, RPS6KA1, RPS6KA2, SOX4, MYH9, TRIB3, MYL12A, P2RY10, RPS6KA5, GFRA1, DVL3, PICALM, EPHA2, FMNL2, FMNL3, SPOPL, PXN, APH1A, P4HB, YAP1, ITPR1, ITPR2, SPPL2A, SPRED1, LFNG, SMAD3, GOLGA7, FNBP1L, APLN, HTR1F, TNRC6A, TNRC6B, CD28, EPN1, TRIM27, NSFL1C, NSL1, DYNLL2, CUL3, YKT6, H2AC18, H2AC19, H2AC20, UHMK1, BCAP31, REST, H2AC7, H2AC8, EPS15L1, SMAD5, RBPJ, BCAR1, MFN1, JAK3, MSI2, MYLIP, AKAP12, QRFPR, ERBB2, SH3KBP1, SH3PXD2A, YWHAB, YWHAE, FOSL1, H2BC11, H2BC12, SHC1, E2F3, E2F4, RNF41, CXCL10, CXCL11, ZFYVE9, H2BC15, H2BC21, BCL2L1, BCL2L11, RCC2, RCE1, GIPC1, RRAGC, RRAS2, YWHAZ, YY1, H2BC26, H2BC3, H2BC5, CPSF7, CPT1A, PDE11A, BCL9L, IKBKG, SUZ12, TNFAIP1, RCOR1, JUND, H3-4, ICMT, DDX39B, TAOK1, TRIP10, FRK, TNFRSF10B, CD55, H3C10, ATP1B4, GPC5, PLEKHG2, PLEKHG3, TRA2B, PLEKHG4B, ACTC1, ACTG1, POU2F1, AKT1, AKT1S1, CREB1, ULK1, PDE4C, C5AR2, DNM2, RDH11, RDH13, SREBF1, PRKAA2, PRKAB1, PRKACB, VAMP3, ACTR2, AKT3, SRF, SRGAP1, H3C14, H3C15, H3C2, ACVR1B, ACVR2B, PRKCB, PRKCH, SHMT2, TERT, PDGFRA, TRADD, TRAF1, SEM1, PDHB, PAG1, SHOC2, ADAM17, CDC14B, NOTCH2, NOTCH3, TRAF6, RTKN, OPTN, PRKG2, CLASP1, EDN1, ARC, EDN3, RHOA, RHOB, RHOBTB3, RHOC, RHOF, CAB39, RHOG, RAB4A, PAK2, PAK6, RHOH, CYBB, CDC37, IL2RA, PDPK1, VAV3, PMEPA1, GPR27, HNRNPC, CRK, TPM3, RUNX1, PEA15, FURIN, GPR37L1, GPR45, RICTOR, PSMD11, ATP6V0A2, NF2, TPM4, ATP6V0B, CCDC88C, NAB2, SSTR1, SSTR3, BIRC5, CLIP1, LIMK1, TGFA, ESR1, ESR2, TGFB1, TGFB2, IGF1R, IGF2BP1, GLP2R, ATP6V1C1, RUNX3, TGFBR2, RXFP4, CYLD, ESYT1, PARD3, WASF2, FZD6, WASF3, FZD9, PARD6B, SNAP23, IL6ST, ATP6V1G3, PARP1, BMI1, BMP2, GRB10, EGF, BMPR1A, ARHGAP42, RAC3, GABRB1, NPFFR1, THBS1, THEM4, ADCY9, ADCYAP1, ARHGDIA, NLK, ARHGEF12, CDH5, PTBP1, KSR2, EVC, ARHGEF37, TUBB2A, ARHGEF39, POFUT1, CRKL, SKI, AMER1, AMOTL1, AMOTL2, ANGPTL3, GRK2, KIF2C, KIF3A, ZWINT, BOC, S1PR3, CDK2, GRM5, TULP3, DGKE, LAMA2, LAMA4, LAMA5, CAMK4, LAMC1, KIF5B, ANKFY1, CDK4, CCL16, SAA1, INHBA, WNT7B, MTMR1, GALNT3, ARL13B, CDKN1A, CDKN1B, ELK1, MTA1, CBX6, PYGO1, PAK4, MEF2D, CSK, PRKAB2, ITGB8, WNT8B",https://pathcards.genecards.org/card/signal_transduction
166.10,Infectious Disease,1818,339,"CANX, CAPN1, RPS2, MAP2K1, MAP2K3, RPL12, MUC4, MAP2K4, MAP2K6, ABCA12, SLC12A6, LARP1, NCKAP1, EXT1, EXT2, MVB12B, STAT3, SLC16A1, RPS24, RAN, TXNIP, BRAP, NUP35, NUP42, NUP62, TAB3, B2M, GTF2H3, GTF2H5, ABCC6, HAVCR1, RPL13A, CCNB1, ABCC9, POLR2E, CCND1, CCND2, CEBPB, TNKS2, RPL14, VEGFA, NUP98, PCBP2, NUS1, SAR1B, MDM2, CSNK1A1, SP1, RANGAP1, MYC, RAP1B, BRIP1, ABCG8, SLC6A5, MAPK1, KITLG, MECP2, PTPN6, SPCS1, CSNK2A1, SPCS3, RMI1, HSP90AA1, MED16, MED17, ARPC3, ANO4, FGF19, HSPA1B, DLL4, B4GALT1, HSPA8, COL1A1, FGF5, FGF7, STRN, PPP2R5C, PPP2R5D, ZDHHC5, TAF12, MED18, VHL, MED21, MED23, HEYL, DAD1, SOD2, WIPF2, SFN, CCNT1, TLN1, CAV1, TAF2, ELOC, IRAK2, IRAK4, UBE2D1, FCGR2A, LRRFIP1, TP53, NR3C1, IRF4, BAG4, RNF103-CHMP3, AGO1, AGO2, AGO3, MED28, TAF6, ENTPD1, ABI2, SLC24A4, ABL1, TBL1XR1, MED7, CEP43, ENTPD5, UBE2V1, GNAI2, TAF7, RPL24, CBX1, RBBP4, AP2B1, AP2M1, ACACA, KPNA1, KPNA2, CTBP2, DUSP10, HIP1, GEMIN4, TLR7, NRAS, WRN, HSPG2, AGTRAP, GEMIN8, GNB5, ITGB1, RPL41, STX1B, HDAC5, AHCY, CD209, KREMEN1, DUSP9, CTNNB1, MYH9, GNS, GOLGA2, SLC2A1, DVL3, XRCC5, XRCC6, PYCARD, APH1A, RNF185, ITPR1, ITPR2, SPRED1, LFNG, SMAD3, GOLGA7, HLA-A, HLA-B, PDCD1, GGCX, H2AC1, H2AC11, H2AC12, CD28, RPS7, SDC1, SDC2, RPS8, CHMP3, TRIM27, H2AC13, SUMO1, DYNLL2, HLA-E, CUL3, QKI, H2AC18, H2AC19, H2AC20, BCAP31, REST, MSH3, H2AC7, H2AC8, RBPJ, PRDX1, JAK3, HMGA1, HUS1, HMGB1, GP5, ATIC, ERBB2, SH3KBP1, MSN, YWHAB, YWHAE, H2BC11, H2BC12, CHSY1, SHC1, RPL35A, E2F2, E2F3, ZFYVE9, H2BC15, H2BC21, BCL2L1, BCL2L11, YWHAZ, H2BC26, H2BC3, H2BC5, CPSF6, PRELP, IKBKG, SUZ12, GPC4, MYO10, RCOR1, RFC2, MYO18A, MYO5A, MGAT4A, MGAT5, ATP1A1, PRIM1, H3C10, SV2B, ATP1B3, PABPN1, GPC5, ACTG1, RFT1, AKT1, AKT1S1, CREB1, HMOX1, SEC31A, PRKACB, ACTR2, AKT3, H3C14, H3C15, H3C2, PDGFRA, TRADD, PIM1, SEM1, SHOC2, ADAM17, NOTCH2, NOTCH3, TRAF6, RHBDF2, CDC25A, ALG14, RHOG, PAK2, IFNAR2, CDC37, PDPK1, ALG9, VAV3, PALS1, CRK, IFNGR1, TPM3, RUNX1, FURIN, RPS11, RICTOR, PSMD11, TPM4, VPS37B, SSRP1, TGFA, ESR1, ESR2, TGFB1, IGF1R, TGFBR2, RPS15A, CYP11A1, ADAMTS9, WASF2, FZD6, WASF3, FZR1, PEDS1-UBE2V1, TTR, MCL1, SNAP25, PARP1, G3BP1, G3BP2, PARP16, EGF, THBS1, ADCY9, SND1, DPM2, RPA1, RAD50, KSR2, CALR, ZC3HAV1, TUBB2A, CNBP, AMER1, SYT2, CDK2, CAMK4, SNRPD1, KIF5B, CDK4, HPRT1, ARID4B, MAP1B, SNRPD3, ARIH1, GALNT1, CDK6, GALNT3, CDKN1A, CDKN1B, ELK1, MTA1, PCCB, RAB5B, CSK",https://pathcards.genecards.org/card/infectious_disease
166.10,Gene Expression (Transcription),1543,320,"LRPPRC, MAP2K6, ZNF317, CARM1, ZNF154, HAND2, POLR1B, DR1, ZNF682, ZNF689, ZNF699, ZNF70, CNOT6L, ZNF550, ZNF554, ZNF561, ZNF562, ZNF703, ZNF704, ZNF706, ZNF708, MDC1, RAN, GATA2, PTPN1, TXNIP, NUP35, NUP42, NUP62, GTF2H3, GTF2H5, CCNB1, POLR2E, CCND1, CCND2, CEBPB, VEGFA, PTPN4, NUP98, MDM2, MDM4, SP1, MYC, BRIP1, POLR3A, ZNF264, ZNF28, MAPK1, BRPF1, MECP2, SESN1, SESN2, GLI2, CSNK2A1, ZNF385A, RMI1, ZNF394, ZNF398, HSP90AA1, LDB1, MED16, MED17, GTF3C3, SATB2, POLR3F, PHAX, SETD9, BTG1, BTG2, TADA2A, ZNF570, COL1A1, ZNF583, ZNF584, ZNF585B, ZNF589, PPP2R5C, NR1D2, NR1H2, HCFC1, TAF12, MED23, CSTF2, NR2C2, SOD2, SFN, CCNT1, ZNF711, ZNF716, PHC2, PHC3, CAV1, TAF1D, TAF2, ELOC, UBE2D1, CAVIN1, TP53, NR2F6, NR3C1, AGO1, AGO2, AGO3, TAF6, ZNF614, KMT2A, KMT2D, ABL1, COMMD3-BMI1, TBL1XR1, MED7, TAF7, PHF19, CBX2, CBX3, CBX5, CBX8, RBBP4, ZNF417, OCLN, ZFHX3, ZFP14, ZFP28, TP53INP1, MAPKAPK5, SGK1, PCGF5, NR6A1, WRN, ZNF3, FKBP5, HDAC5, CHEK1, CHEK2, ZFP30, APAF1, ZNF740, ZNF747, BAZ2A, BBC3, ZNF641, COX19, CTNNB1, UBTF, ATAD2, YAP1, ZNF426, SMAD3, ZNF430, ZNF439, ZNF440, RBM8A, TNRC6A, TNRC6B, COX6B1, OGT, COX8A, SUMO1, RNF34, TAL1, H2AC18, H2AC19, H2AC20, TSN, REST, TCF3, H2AC7, H2AC8, RBPJ, PRDX1, PRDX5, HUS1, ERBB2, TRIM63, YWHAB, YWHAE, PRELID1, H2BC11, H2BC12, DDIT4, E2F4, H2BC15, H2BC21, BCL2L11, RRAGC, YWHAZ, YY1, H2BC26, H2BC3, H2BC5, CPSF6, CPSF7, NOC2L, SUV39H1, SUZ12, ZNF764, ZNF770, ZNF331, E2F6, RFC2, RNPS1, SMARCA5, RRM2, RRN3, DDX39B, BDP1, ZNF442, ZNF445, ZNF446, ZNF454, MAF, TEAD4, ZNF774, ZNF785, ZNF786, TNFRSF10B, ZNF790, H3C10, ATP1B4, PABPN1, CRCP, SMARCD1, POU2F1, AKT1, SMARCE1, CREB1, SREBF1, PRKAA2, PRKAB1, ZNF33A, AKT3, ZNF34, KCTD15, SRF, H3C14, H3C15, H3C2, PRKCB, SEM1, PPARA, PPARGC1B, RPRD2, NOTCH2, NOTCH3, SRSF1, SRSF11, ZNF665, SRSF2, ZNF460, IL2RA, ZNF347, TET3, PDPK1, CYCS, PMAIP1, TFAM, RUNX1, TFAP2A, TFAP2C, FURIN, RICTOR, PSMD11, NABP1, SSRP1, SSU72, ZNF486, BIRC5, ZNF101, NFIB, ZNF12, TGFA, ESR1, ESR2, TGFB1, ALYREF, RUNX3, NFIC, NFIX, ESRRB, SMYD2, ZNF510, ZNF514, RYBP, FZR1, PARP1, G6PD, BMI1, BMP2, NAMPT, VDR, THBS1, RORA, ZNF124, RPA1, RAD50, ZNF529, ZNF543, ZNF546, SKI, MLLT1, BOD1, CDK2, ING5, AURKA, WDR33, CAMK4, CDK4, ARID2, ARID4B, SNRPD3, PAX5, DYRK2, CDK6, CDKN1A, CDKN1B, MTA1, CBX6, ZNF714, COX6C, PRKAB2",https://pathcards.genecards.org/card/gene_expression_(transcription)
53.00,Regulation of Activated PAK-2p34 By Proteasome Mediated Degradation,943,193,"CANX, EIF2S1, EIF2S3, MAP2K4, ABCA12, FBXL7, TNFSF15, HAND2, TXK, INO80D, ADRM1, TAB3, B2M, PFN1, ABCC6, WEE1, NCOA3, CCNB1, ABCC9, CCND1, TNKS2, VEGFA, MDM2, MDM4, CSNK1A1, MYC, ABCG4, ABCG8, MAPK1, SET, GLI2, PTPN6, CSNK2A1, ZNF385A, HSP90AA1, ELAVL1, HSP90B1, SATB2, USP15, HSPA1B, HSPA4, DLL4, HSPA6, HSPA8, COL1A1, FBXW11, PPP2R5C, PPP2R5D, HCFC1, DAB2IP, VHL, PPP3R1, OTUD3, BUB3, FCER1G, ELOC, UBD, UBE2B, UBE2D1, UBE2D2, UBE2G1, TP53, NR3C1, AGMAT, AGO1, AGO2, AGO3, GMNN, ABL1, MAPK6, UBE2V1, RBBP4, AP2B1, AP2M1, HIF1A, HIGD1A, CTBP2, ZFHX3, MAPKAPK2, MAPKAPK5, NRAS, GNB5, CHEK1, CHEK2, ZFP36L1, CTNNB1, XIAP, DCP2, DVL3, SPOPL, APH1A, RNF185, P4HB, YAP1, ITPR1, ITPR2, SPRED1, SMAD3, HLA-A, HLA-B, H2AC1, H2AC11, H2AC12, TNRC6A, TNRC6B, OGT, TRIM27, H2AC13, HLA-E, CUL3, H2AC18, H2AC19, H2AC20, H2AC7, H2AC8, RBPJ, SH3KBP1, YWHAB, SHC1, E2F4, BCL2L11, GINS3, GINS4, YWHAZ, YY1, IKBKG, RFC2, FOXK1, FOXK2, MAF, TEAD4, PRIM1, FRK, GPC5, AKT1, PRKACB, TNFRSF13C, AKT3, SEC61A1, PRKCB, ORAI2, SEM1, PPARGC1B, ADAM17, CDC14B, NOTCH2, TRAF6, ORC4, PRKG2, CDC25A, CKS1B, RHOA, CABLES1, PAK2, PDPK1, VAV3, RUNX1, PSMD11, ESR1, TGFB1, IGF2BP1, RUNX3, TGFBR2, LIN52, LIN54, FZD6, FZR1, PEDS1-UBE2V1, LIN9, BMP2, KHSRP, RAC3, EGLN3, ATXN1, NLK, MCM7, RPA1, LIMD1, EVC, CALR, ATXN2, MCM8, TUBB2A, AMER1, GRK2, KIF3A, BOC, CDK2, AURKA, CDK4, FBXL18, CDKN1A, CDKN1B",https://pathcards.genecards.org/card/regulation_of_activated_pak-2p34_by_proteasome_mediated_degradation
53.00,Cellular Responses to Stimuli,819,175,"EIF2S1, RPS2, MAP2K3, RPL12, EIF2S3, CAPZA1, CAPZA2, RAI1, SZT2, NPLOC4, LRPPRC, MAP2K4, MAP2K6, CARM1, EXTL3, STAT3, HDGF, PPP1R15A, RPS24, TXNIP, NUP35, NUP42, NUP62, RPL13A, CEBPB, RPL14, VEGFA, NUP98, MDM2, MDM4, SP1, MYC, MAPK1, SESN1, SESN2, CSNK2A1, HSP90AA1, HSP90B1, HSPA13, CASTOR2, SLC7A11, CSRP1, HSPA1B, HSPA4, HSPA4L, HSPA6, HSPA8, VHL, SOD2, TLN1, PHB2, PHC2, PHC3, BACH1, ELOC, UBE2D1, UBE2D2, CHAC1, TP53, NR3C1, BAG4, AGO1, AGO3, COMMD3-BMI1, TBL1XR1, MAPK7, RPL24, CBX2, CBX8, RBBP4, HIF1A, HIGD1A, MAPKAPK2, MAPKAPK5, FKBP14, FKBP5, RPL41, FLCN, COX19, RPS6KA1, RPS6KA2, TRIB3, DCP2, H1-0, H1-4, DCTN5, DCTN6, P4HB, TNRC6A, TNRC6B, COX6B1, RPS7, RPS8, COX8A, DYNLL2, CUL3, H2AC18, H2AC19, H2AC20, H2AC7, H2AC8, PRDX1, PRDX5, HMGA1, DNAJB9, YWHAE, H2BC11, H2BC12, SHC1, RPL35A, E2F2, E2F3, H2BC15, H2BC21, BCL2L1, RRAGC, H2BC26, H2BC3, H2BC5, SUZ12, H3-4, MAFK, H3C10, AKT1, AKT1S1, CREB1, CREB3L2, ERN1, HMOX1, SEC31A, PRKAA2, AKT3, H3C14, H3C15, H3C2, CREBRF, TERF2, SEM1, PPARA, MINK1, CYBB, MT1X, CYCS, RPS11, PSMD11, ATP6V0B, CRTC3, ATP6V1C1, SLC46A1, RPS15A, FZR1, ATP6V1G3, G6PD, BMI1, GRB10, EGF, KHSRP, EGLN3, RORA, CLOCK, RPA1, LIMD1, RAD50, CALR, TUBB2A, AMER1, CDK2, CDK4, CDK6, CDKN1A, CDKN1B, CBX6, MEF2D, CCS, COX6C",https://pathcards.genecards.org/card/cellular_responses_to_stimuli
46.93,RNA Polymerase I Promoter Opening,555,128,"CAPN1, RPS2, CARM1, POLR1B, DR1, STAT3, WDR77, CNOT6L, EIF4A2, GATA2, B2M, GTF2H3, GTF2H5, NCOA3, CCNB1, POLR2E, CCND1, CEBPB, MYC, SET, TADA2A, HCFC1, KLK2, SOD2, SFN, TAF1D, CAVIN1, TP53, AGO1, AGO2, AGO3, KMT2A, KMT2D, TBL1XR1, PHF19, CBX1, CBX3, CBX5, RBBP4, KPNA1, KPNA6, HSPG2, BAZ2A, CTNNB1, MYH9, MYL12A, GOLGA2, PKNOX1, GGA2, APH1A, UBTF, YAP1, H2AC1, H2AC11, H2AC12, TNRC6A, TNRC6B, OGT, H2AC13, TAL1, H2AC18, H2AC19, H2AC20, REST, H2AC7, H2AC8, PRDX1, YWHAB, YWHAE, H2BC11, H2BC12, H2BC15, H2BC21, BCL2L11, YWHAZ, YY1, H2BC26, H2BC3, H2BC5, BCL9L, SUV39H1, SUZ12, RCOR1, SMARCA5, H3-4, RRN3, TEAD4, PRIM1, H3C10, PABPN1, TSPAN14, SMARCD1, SMARCE1, CREB1, SREBF1, H3C14, H3C15, H3C2, TERT, TRADD, KDM5A, KDM5C, ORC4, CDC25A, RHOA, RHOB, RHOC, TET3, PDPK1, RUNX1, FURIN, HOXA3, RUNX3, HOXB3, TTR, THBS1, HOXC4, HOXD4, BOD1, CDK2, CDK4, ARID2, ARID4B, SAA1, CDKN1A, MTA1, PYGO1, DUXA",https://pathcards.genecards.org/card/rna_polymerase_i_promoter_opening
41.85,Pleural Mesothelioma,409,100,"MAP2K1, MAP2K3, MAP2K4, MAP2K6, MCU, EIF4EBP1, MAP3K2, CCL5, CCND1, CCND2, VEGFA, VEGFB, MDK, MDM2, MDM4, CSNK1A1, SP1, CSNK1E, MYC, MAPK1, KITLG, CSNK2A1, FGF19, SLC7A5, SETD5, SETDB1, FGF5, FGF7, HCFC1, VGLL4, RASSF4, TP53, MAPK7, ITGA2, RBBP4, HIF1A, ITGA3, CTBP2, MAPKAPK2, WWC1, ITGB1, KREMEN1, BBC3, CTNNB1, RPS6KA1, SLC2A1, RPS6KA5, DVL3, EPHA2, YAP1, OGT, HMGB1, FOSL1, SHC1, CXCL10, YY1, SUZ12, CD44, TEAD4, CD47, ACTC1, ACTG1, AKT1, AKT1S1, CREB1, ULK1, AKT3, TERT, PDGFRA, MINK1, PAK2, CYCS, SENP2, NF2, TGFA, TGFB1, IGF1R, EFNA1, EFNA5, FZD6, FZD9, BMI1, DEPTOR, EGF, GABPA, MKNK2, LIMD1, KIF23, CDK2, LAMA2, LAMA4, LAMA5, LAMC1, CDK4, WNT7B, CDKN1A, ELK1, PAK4, MEF2D, PRKAB2",https://pathcards.genecards.org/card/pleural_mesothelioma
39.51,Metabolism of Proteins,2077,332,"CANX, EIF2S1, RPS2, GAN, RPL12, EIF2S3, PEX2, CAPZA1, CAPZA2, MUC4, FBXL20, NPLOC4, EIF3H, FBXL5, FBXL7, FBXO17, TNIP2, TNIP3, STAT3, INO80D, NARS1, STC2, EIF4A2, RPS24, DRG1, MDC1, MDGA1, EIF4EBP1, ADRM1, FEM1A, FEM1B, FEM1C, BRCC3, NUP35, NUP42, NUP62, B2M, B3GALNT2, FBXO41, WDTC1, EIF4H, THY1, RPL13A, TNKS2, RPL14, NUP98, NUS1, SAR1B, MDM2, MDM4, RANGAP1, MYC, SPCS1, TIMM10, CSNK2A1, SPCS3, TIMM17A, FBXO44, TIMM22, MRPL12, HSP90B1, SATB2, USP14, USP15, KLHL11, B4GALT1, KLHL21, TADA2B, ARSJ, ARSK, HSPA8, B4GALT5, B4GALT6, FBXW11, NR1H2, UBA6, KLHL42, SOCS5, HCFC1, LDHD, VHL, GCNT3, USP22, DAD1, USP3, KLK2, CCP110, STX17, PHC2, PHC3, OTUD3, OTUD5, OTUD7B, PUM2, ELOC, UBD, UBE2B, UBE2D1, UBE2D2, UBE2F, UBE2G1, UBE2H, DARS1, TP53, GMDS, NR3C1, ASB11, MRPL36, ASB16, PPP6R1, COMMD3-BMI1, UBE2V2, GNAQ, RPL24, COPS7B, COPZ1, CBX2, CBX5, CBX8, MRPL9, MRPS10, HIF1A, PPP6R3, AP3M1, ASGR1, WRN, WSB1, HSPG2, GNB5, MRPS15, RPL41, FKBP8, DCAF7, DCAF8, MRPS16, MRPS18A, TMED10, USP48, USP49, TMED7, TMED9, CTNNB1, MARCHF6, RNF152, GOLGA2, SUCLG2, MRPS23, GFPT2, METTL21A, GGA2, LY6E, APH1A, DCTN5, DCTN6, RNF185, P4HB, YARS1, DCUN1D5, MRPS5, DDA1, SMAD3, HLA-A, FN3K, FN3KRP, DDB1, GGCX, MRRF, H2AC1, H2AC11, H2AC12, UGGT1, RPS7, OGT, SDC2, RPS8, TRIM27, H2AC13, PIGA, SUMO1, DYNLL2, MARS2, CUL3, CUL4B, YKT6, YOD1, APLP2, H2AC18, H2AC19, H2AC20, PIGO, CPE, PIGQ, H2AC7, H2AC8, FOLR1, QSOX1, PRELID1, H2BC11, H2BC12, RPL35A, MSRB2, RNF40, H2BC15, H2BC21, RCE1, YY1, H2BC26, H2BC3, SPSB1, H2BC5, IKBKG, SUZ12, RAB11B, NUCB1, FOXK1, FOXK2, DDX17, ZBED1, MYO5A, MGAT4A, MGAT5, ICMT, CD55, H3C10, SEC16A, SEC22C, IDH3A, TSPAN14, ASB6, RFT1, GPIHBP1, SEC31A, ATP5F1A, PLET1, TPGS1, SEC61A1, KDELR1, H3C14, H3C15, H3C2, CCDC59, CD59, RAB1A, SHMT2, RAB22A, RAB25, KBTBD6, RAB2B, SELENOS, SEM1, PPARA, PDHB, RAB39B, EDEM3, TRAF6, KDM8, CDC25A, ALG14, RHOA, RAB42, RAB4A, ALG9, VASH1, VASH2, TOMM20, TRAPPC2, HNRNPC, TFAM, SENP2, TFAP2A, TFAP2C, FURIN, RPS11, PSMD11, MCFD2, VWA1, BIRC5, TGFA, ESR1, TGFB1, PMPCA, TGFBR2, IGFBP5, CYLD, RPS15A, ADAMTS9, WARS2, RAB8B, TTR, PARP1, NAGK, BMI1, VDAC2, VDR, THBS1, RORA, PNPLA2, CLPX, KIF13A, ZNF131, DPM2, RPA1, CALR, PTCD3, TUBB2A, CALU, POFUT2, MTRF1L, AMDHD2, AMER1, MAN1C1, AURKA, LAMC1, KIF5B, CAND1, SAA1, INHBA, FBXL18, GALNT1, GALNT17, EIF1AX, GALNT3, CDKN1A, EIF2B2, GATA6, MTA1, PCCB, RAB17, RAB15, RAB5B, RAB1B, RAB32",https://pathcards.genecards.org/card/metabolism_of_proteins
38.42,Cellular Senescence,195,60,"MAP2K3, MAP2K4, MAP2K6, STAT3, CEBPB, MDM2, MDM4, SP1, MAPK1, PHC2, PHC3, UBE2D1, TP53, AGO1, AGO3, COMMD3-BMI1, MAPK7, CBX2, CBX8, RBBP4, MAPKAPK2, MAPKAPK5, RPS6KA1, RPS6KA2, H1-0, H1-4, TNRC6A, TNRC6B, H2AC18, H2AC19, H2AC20, H2AC7, H2AC8, HMGA1, H2BC11, H2BC12, E2F2, E2F3, H2BC15, H2BC21, H2BC26, H2BC3, H2BC5, SUZ12, H3-4, H3C10, H3C14, H3C15, H3C2, TERF2, MINK1, FZR1, BMI1, RAD50, CDK2, CDK4, CDK6, CDKN1A, CDKN1B, CBX6",https://pathcards.genecards.org/card/cellular_senescence
37.68,Signaling By Receptor Tyrosine Kinases,532,116,"MAP2K1, NCKAP1, STAT3, PTPN1, TIAL1, DIAPH1, POLR2E, VEGFA, VEGFB, PTPN3, MDK, MYC, RAP1B, MAPK1, KITLG, PTPN6, MAPK13, STMN1, HSP90AA1, FGF19, F3, SOCS1, COL1A1, FGF5, FGF7, COL3A1, PPP2R5D, COL5A1, CAV1, ABI2, MAPK7, ITGA2, AP2B1, AP2M1, HIF1A, ITGA3, MAPKAPK2, SGK1, NRAS, DUSP4, ITGB1, CHEK1, MEMO1, CTNNB1, RPS6KA1, RPS6KA2, TRIB3, RPS6KA5, PXN, APH1A, YAP1, ITPR1, ITPR2, SPRED1, EPN1, REST, EPS15L1, BCAR1, JAK3, ERBB2, SH3KBP1, YWHAB, FOSL1, SHC1, RNF41, GIPC1, JUND, ACTG1, AKT1, CREB1, DNM2, PRKACB, AKT3, SRF, PRKCB, PDGFRA, PAG1, ADAM17, ARC, RHOA, RAB4A, PAK2, CYBB, CDC37, PDPK1, VAV3, CRK, FURIN, RICTOR, ATP6V0A2, ATP6V0B, NAB2, TGFA, ESR1, IGF1R, ATP6V1C1, WASF2, WASF3, ATP6V1G3, GRB10, EGF, GABRB1, THBS1, THEM4, ADCYAP1, CDH5, PTBP1, CRKL, LAMA2, LAMA4, LAMA5, LAMC1, GALNT3, ELK1, MEF2D, CSK",https://pathcards.genecards.org/card/signaling_by_receptor_tyrosine_kinases
